"Time","/bin/busybox","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp","/usr/local/bin/scaphandre","/usr/bin/mongod"
2024-12-19 15:42:30,0 B,0 B,0 B,0 B
2024-12-19 15:42:45,0 B,0 B,0 B,0 B
2024-12-19 15:43:00,0 B,0 B,0 B,0 B
2024-12-19 15:43:15,0 B,0 B,0 B,0 B
2024-12-19 15:43:30,0 B,0 B,0 B,0 B
2024-12-19 15:43:45,0 B,0 B,0 B,0 B
2024-12-19 15:44:00,0 B,0 B,0 B,0 B
2024-12-19 15:44:15,0 B,0 B,0 B,0 B
2024-12-19 15:44:30,0 B,0 B,0 B,0 B
2024-12-19 15:44:45,0 B,0 B,0 B,0 B
2024-12-19 15:45:00,0 B,0 B,0 B,0 B
2024-12-19 15:45:15,0 B,0 B,0 B,0 B
2024-12-19 15:45:30,0 B,0 B,0 B,0 B
2024-12-19 15:45:45,0 B,0 B,0 B,0 B
2024-12-19 15:46:00,0 B,0 B,0 B,0 B
2024-12-19 15:46:15,0 B,0 B,0 B,0 B
2024-12-19 15:46:30,0 B,0 B,0 B,0 B
2024-12-19 15:46:45,0 B,0 B,0 B,0 B
2024-12-19 15:47:00,0 B,0 B,0 B,0 B
2024-12-19 15:47:15,0 B,0 B,0 B,0 B
2024-12-19 15:47:30,0 B,0 B,0 B,0 B
2024-12-19 15:47:45,0 B,0 B,0 B,0 B
2024-12-19 15:48:00,0 B,0 B,0 B,0 B
2024-12-19 15:48:15,0 B,0 B,0 B,0 B
2024-12-19 15:48:30,0 B,0 B,0 B,0 B
2024-12-19 15:48:45,0 B,0 B,0 B,0 B
2024-12-19 15:49:00,0 B,0 B,0 B,0 B
2024-12-19 15:49:15,0 B,0 B,0 B,0 B
2024-12-19 15:49:30,0 B,0 B,0 B,0 B
2024-12-19 15:49:45,0 B,0 B,0 B,0 B
2024-12-19 15:50:00,0 B,0 B,0 B,0 B
2024-12-19 15:50:15,0 B,0 B,0 B,0 B
2024-12-19 15:50:30,0 B,0 B,0 B,0 B
2024-12-19 15:50:45,0 B,0 B,0 B,0 B
2024-12-19 15:51:00,0 B,0 B,0 B,0 B
2024-12-19 15:51:15,0 B,0 B,0 B,0 B
2024-12-19 15:51:30,0 B,0 B,0 B,0 B
2024-12-19 15:51:45,0 B,0 B,0 B,0 B
2024-12-19 15:52:00,0 B,0 B,0 B,0 B
