"Time","/bin/busybox - /bin/sh/opt/rabbitmq/sbin/rabbitmq-server","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp - /opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp-Ww-MBasageffcbf-MHasageffcbf-MBlmbcs512-MHlmbcs512-MMmcs30-pcunicode-P1048576-t5000000-stbtdb-zdbbl128000-sbwtnone-sbwtdcpunone-sbwtdionone-Bi---root/opt/erlang/lib/erlang-bindir/opt/erlang/lib/erlang/erts-14.2.5/bin-prognameerl---home/var/lib/rabbitmq---pa-noshell-noinput-srabbitboot-bootstart_sasl-sysloglogger[]-syslogsyslog_error_loggerfalse-kernelprevent_overlapping_partitionsfalse","/usr/local/bin/scaphandre - /usr/local/bin/scaphandreprometheus","/usr/bin/mongod - mongod--auth--bind_ip_all"
2024-12-19 15:42:30,0 W,3.36 W,175 mW,12.4 W
2024-12-19 15:42:45,0 W,5.92 W,72.2 mW,11.2 W
2024-12-19 15:43:00,0 W,8.64 W,481 mW,12.0 W
2024-12-19 15:43:15,0 W,13.9 W,554 mW,11.9 W
2024-12-19 15:43:30,0 W,17.4 W,368 mW,12.6 W
2024-12-19 15:43:45,0 W,21.7 W,593 mW,13.0 W
2024-12-19 15:44:00,0 W,28.8 W,474 mW,13.7 W
2024-12-19 15:44:15,0 W,30.3 W,311 mW,13.8 W
2024-12-19 15:44:30,0 W,38.5 W,525 mW,14.5 W
2024-12-19 15:44:45,0 W,34.8 W,208 mW,14.9 W
2024-12-19 15:45:00,0 W,31.9 W,584 mW,15.3 W
2024-12-19 15:45:15,0 W,36.9 W,673 mW,15.0 W
2024-12-19 15:45:30,0 W,38.4 W,550 mW,15.2 W
2024-12-19 15:45:45,0 W,38.7 W,245 mW,15.3 W
2024-12-19 15:46:00,0 W,31.4 W,251 mW,15.7 W
2024-12-19 15:46:15,0 W,33.6 W,489 mW,15.0 W
2024-12-19 15:46:30,0 W,37.8 W,645 mW,15.3 W
2024-12-19 15:46:45,0 W,36.2 W,586 mW,15.3 W
2024-12-19 15:47:00,0 W,32.7 W,838 mW,15.4 W
2024-12-19 15:47:15,0 W,33.0 W,338 mW,14.9 W
2024-12-19 15:47:30,0 W,34.9 W,248 mW,15.4 W
2024-12-19 15:47:45,0 W,34.0 W,552 mW,15.2 W
2024-12-19 15:48:00,0 W,36.7 W,646 mW,15.2 W
2024-12-19 15:48:15,0 W,39.9 W,458 mW,15.2 W
2024-12-19 15:48:30,0 W,39.5 W,273 mW,15.2 W
2024-12-19 15:48:45,0 W,39.4 W,395 mW,15.1 W
2024-12-19 15:49:00,0 W,38.8 W,521 mW,15.2 W
2024-12-19 15:49:15,0 W,42.6 W,644 mW,15.4 W
2024-12-19 15:49:30,0 W,36.3 W,153 mW,15.2 W
2024-12-19 15:49:45,0 W,41.8 W,896 mW,15.5 W
2024-12-19 15:50:00,0 W,37.4 W,307 mW,15.2 W
2024-12-19 15:50:15,0 W,34.9 W,186 mW,15.3 W
2024-12-19 15:50:30,0 W,39.6 W,515 mW,15.0 W
2024-12-19 15:50:45,0 W,40.8 W,495 mW,15.6 W
2024-12-19 15:51:00,0 W,35.8 W,338 mW,15.3 W
2024-12-19 15:51:15,0 W,40.7 W,214 mW,15.0 W
2024-12-19 15:51:30,0 W,32.0 W,368 mW,15.1 W
2024-12-19 15:51:45,0 W,35.5 W,401 mW,15.2 W
2024-12-19 15:52:00,0 W,36.4 W,552 mW,15.2 W
2024-12-19 15:52:15,0 W,35.3 W,403 mW,15.4 W
2024-12-19 15:52:30,0 W,32.8 W,401 mW,15.2 W
2024-12-19 15:52:45,0 W,38.8 W,465 mW,15.2 W
2024-12-19 15:53:00,0 W,39.5 W,553 mW,15.3 W
2024-12-19 15:53:15,0 W,37.0 W,523 mW,15.2 W
2024-12-19 15:53:30,0 W,35.4 W,123 mW,15.4 W
2024-12-19 15:53:45,0 W,33.8 W,151 mW,14.9 W
2024-12-19 15:54:00,0 W,39.8 W,124 mW,15.5 W
2024-12-19 15:54:15,0 W,41.3 W,154 mW,15.5 W
2024-12-19 15:54:30,0 W,38.3 W,183 mW,15.3 W
2024-12-19 15:54:45,0 W,38.5 W,122 mW,15.3 W
2024-12-19 15:55:00,0 W,38.5 W,125 mW,15.8 W
2024-12-19 15:55:15,0 W,40.7 W,185 mW,15.4 W
2024-12-19 15:55:30,0 W,38.4 W,123 mW,15.3 W
2024-12-19 15:55:45,0 W,37.5 W,153 mW,15.4 W
2024-12-19 15:56:00,0 W,44.9 W,154 mW,15.3 W
2024-12-19 15:56:15,0 W,37.1 W,153 mW,15.2 W
2024-12-19 15:56:30,0 W,41.8 W,124 mW,15.6 W
2024-12-19 15:56:45,0 W,35.5 W,125 mW,15.7 W
2024-12-19 15:57:00,0 W,35.2 W,157 mW,15.7 W
2024-12-19 15:57:15,0 W,41.1 W,124 mW,15.5 W
2024-12-19 15:57:30,0 W,37.5 W,152 mW,15.3 W
2024-12-19 15:57:45,0 W,35.8 W,92.9 mW,15.5 W
2024-12-19 15:58:00,0 W,42.3 W,91.1 mW,15.0 W
2024-12-19 15:58:15,0 W,37.5 W,154 mW,15.1 W
2024-12-19 15:58:30,0 W,36.7 W,155 mW,15.5 W
2024-12-19 15:58:45,0 W,36.8 W,123 mW,15.5 W
2024-12-19 15:59:00,0 W,41.6 W,124 mW,15.5 W
2024-12-19 15:59:15,0 W,38.7 W,92.2 mW,15.1 W
2024-12-19 15:59:30,0 W,42.1 W,121 mW,15.2 W
2024-12-19 15:59:45,0 W,41.3 W,124 mW,15.5 W
2024-12-19 16:00:00,0 W,37.8 W,93.6 mW,15.6 W
2024-12-19 16:00:15,0 W,36.5 W,154 mW,15.5 W
2024-12-19 16:00:30,0 W,41.6 W,122 mW,15.3 W
2024-12-19 16:00:45,0 W,43.0 W,123 mW,15.5 W
2024-12-19 16:01:00,0 W,39.4 W,123 mW,15.4 W
2024-12-19 16:01:15,0 W,36.2 W,123 mW,15.4 W
2024-12-19 16:01:30,0 W,39.6 W,124 mW,15.5 W
2024-12-19 16:01:45,0 W,40.8 W,152 mW,15.0 W
2024-12-19 16:02:00,0 W,42.7 W,154 mW,15.4 W
2024-12-19 16:02:15,0 W,35.5 W,155 mW,15.5 W
2024-12-19 16:02:30,0 W,37.2 W,121 mW,15.1 W
2024-12-19 16:02:45,0 W,44.4 W,91.2 mW,15.1 W
2024-12-19 16:03:00,0 W,35.2 W,154 mW,15.5 W
2024-12-19 16:03:15,0 W,39.3 W,156 mW,15.6 W
