"Time","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp - /opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp-Ww-MBasageffcbf-MHasageffcbf-MBlmbcs512-MHlmbcs512-MMmcs30-pcunicode-P1048576-t5000000-stbtdb-zdbbl128000-sbwtnone-sbwtdcpunone-sbwtdionone-Bi---root/opt/erlang/lib/erlang-bindir/opt/erlang/lib/erlang/erts-14.2.5/bin-prognameerl---home/var/lib/rabbitmq---pa-noshell-noinput-srabbitboot-bootstart_sasl-sysloglogger[]-syslogsyslog_error_loggerfalse-kernelprevent_overlapping_partitionsfalse","/usr/local/bin/scaphandre - /usr/local/bin/scaphandreprometheus","/bin/bash - bash/usr/local/bin/docker-entrypoint.shrabbitmq-server","/usr/bin/mongod - mongod--auth--bind_ip_all"
2024-12-18 14:55:00,400 mW,100 mW,0 W,12.5 W
2024-12-18 14:55:15,492 mW,49.2 mW,0 W,12.1 W
2024-12-18 14:55:30,989 mW,49.5 mW,0 W,12.4 W
2024-12-18 14:55:45,1.37 W,125 mW,0 W,12.6 W
2024-12-18 14:56:00,2.15 W,124 mW,0 W,12.2 W
2024-12-18 14:56:15,2.35 W,240 mW,0 W,11.4 W
2024-12-18 14:56:30,3.27 W,589 mW,0 W,10.9 W
2024-12-18 14:56:45,3.98 W,528 mW,0 W,11.2 W
2024-12-18 14:57:00,4.37 W,531 mW,0 W,11.3 W
2024-12-18 14:57:15,4.68 W,268 mW,0 W,11.3 W
2024-12-18 14:57:30,4.82 W,271 mW,0 W,11.5 W
2024-12-18 14:57:45,5.31 W,642 mW,0 W,11.6 W
2024-12-18 14:58:00,5.80 W,706 mW,0 W,11.4 W
2024-12-18 14:58:15,5.46 W,318 mW,0 W,11.4 W
2024-12-18 14:58:30,5.37 W,104 mW,0 W,13.1 W
2024-12-18 14:58:45,6.02 W,156 mW,0 W,13.1 W
2024-12-18 14:59:00,5.85 W,104 mW,0 W,13.0 W
2024-12-18 14:59:15,5.60 W,130 mW,0 W,13.1 W
2024-12-18 14:59:30,5.39 W,130 mW,0 W,13.1 W
2024-12-18 14:59:45,5.17 W,77.6 mW,0 W,13.0 W
2024-12-18 15:00:00,5.12 W,104 mW,0 W,13.1 W
2024-12-18 15:00:15,5.70 W,77.7 mW,0 W,13.1 W
2024-12-18 15:00:30,5.92 W,491 mW,0 W,11.5 W
2024-12-18 15:00:45,6.32 W,418 mW,0 W,11.6 W
2024-12-18 15:01:00,6.18 W,591 mW,0 W,11.5 W
2024-12-18 15:01:15,5.93 W,170 mW,0 W,11.4 W
2024-12-18 15:01:30,5.38 W,270 mW,0 W,11.5 W
2024-12-18 15:01:45,5.65 W,221 mW,0 W,11.5 W
2024-12-18 15:02:00,5.13 W,368 mW,0 W,11.4 W
2024-12-18 15:02:15,5.51 W,640 mW,0 W,11.6 W
2024-12-18 15:02:30,5.15 W,569 mW,0 W,11.6 W
2024-12-18 15:02:45,5.73 W,230 mW,0 W,12.4 W
2024-12-18 15:03:00,6.43 W,51.9 mW,0 W,13.0 W
2024-12-18 15:03:15,6.14 W,130 mW,0 W,13.0 W
2024-12-18 15:03:30,5.96 W,52.2 mW,0 W,13.1 W
2024-12-18 15:03:45,5.48 W,130 mW,0 W,13.2 W
2024-12-18 15:04:00,6.29 W,157 mW,0 W,13.1 W
2024-12-18 15:04:15,6.23 W,77.5 mW,0 W,12.9 W
2024-12-18 15:04:30,6.35 W,131 mW,0 W,13.1 W
2024-12-18 15:04:45,6.59 W,105 mW,0 W,13.2 W
2024-12-18 15:05:00,6.07 W,493 mW,0 W,11.6 W
2024-12-18 15:05:15,5.73 W,514 mW,0 W,11.4 W
2024-12-18 15:05:30,6.01 W,293 mW,0 W,11.5 W
2024-12-18 15:05:45,6.51 W,442 mW,0 W,11.4 W
2024-12-18 15:06:00,6.53 W,297 mW,0 W,11.5 W
2024-12-18 15:06:15,5.81 W,416 mW,0 W,11.5 W
2024-12-18 15:06:30,6.13 W,470 mW,0 W,11.5 W
2024-12-18 15:06:45,6.79 W,248 mW,0 W,11.6 W
2024-12-18 15:07:00,6.01 W,331 mW,0 W,12.4 W
2024-12-18 15:07:15,5.48 W,129 mW,0 W,12.9 W
2024-12-18 15:07:30,6.18 W,129 mW,0 W,12.9 W
2024-12-18 15:07:45,6.60 W,104 mW,0 W,13.2 W
2024-12-18 15:08:00,6.37 W,104 mW,0 W,13.1 W
2024-12-18 15:08:15,6.06 W,157 mW,0 W,13.2 W
2024-12-18 15:08:30,5.77 W,78.7 mW,0 W,13.2 W
2024-12-18 15:08:45,6.79 W,105 mW,0 W,13.2 W
2024-12-18 15:09:00,7.19 W,52.1 mW,0 W,13.2 W
2024-12-18 15:09:15,6.59 W,375 mW,0 W,12.0 W
