"Time","/bin/busybox - /bin/sh/opt/rabbitmq/sbin/rabbitmq-server","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp - /opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp-Ww-MBasageffcbf-MHasageffcbf-MBlmbcs512-MHlmbcs512-MMmcs30-pcunicode-P1048576-t5000000-stbtdb-zdbbl128000-sbwtnone-sbwtdcpunone-sbwtdionone-Bi---root/opt/erlang/lib/erlang-bindir/opt/erlang/lib/erlang/erts-14.2.5/bin-prognameerl---home/var/lib/rabbitmq---pa-noshell-noinput-srabbitboot-bootstart_sasl-sysloglogger[]-syslogsyslog_error_loggerfalse-kernelprevent_overlapping_partitionsfalse","/usr/local/bin/scaphandre - /usr/local/bin/scaphandreprometheus","/usr/bin/mongod - mongod--auth--bind_ip_all"
2024-12-17 13:01:15,0 W,43.2 mW,136 mW,37.0 mW
2024-12-17 13:01:30,0 W,1.50 W,558 mW,13.8 W
2024-12-17 13:01:45,0 W,2.10 W,453 mW,11.3 W
2024-12-17 13:02:00,0 W,17.2 W,372 mW,14.8 W
2024-12-17 13:02:15,0 W,12.5 W,640 mW,14.4 W
2024-12-17 13:02:30,0 W,20.5 W,466 mW,15.9 W
2024-12-17 13:02:45,0 W,29.3 W,228 mW,18.3 W
2024-12-17 13:03:00,0 W,33.8 W,312 mW,21.3 W
2024-12-17 13:03:15,0 W,39.1 W,523 mW,21.0 W
2024-12-17 13:03:30,0 W,6.07 W,506 mW,14.3 W
2024-12-17 13:03:45,0 W,38.0 W,661 mW,21.3 W
2024-12-17 13:04:00,0 W,40.7 W,771 mW,20.5 W
2024-12-17 13:04:15,0 W,22.8 W,621 mW,17.9 W
2024-12-17 13:04:30,0 W,36.5 W,653 mW,20.6 W
2024-12-17 13:04:45,0 W,11.2 W,192 mW,15.5 W
2024-12-17 13:05:00,0 W,26.0 W,447 mW,17.6 W
2024-12-17 13:05:15,0 W,37.0 W,713 mW,19.9 W
2024-12-17 13:05:30,0 W,11.4 W,85.4 mW,16.7 W
2024-12-17 13:05:45,0 W,8.69 W,137 mW,16.1 W
2024-12-17 13:06:00,0 W,22.0 W,126 mW,18.2 W
2024-12-17 13:06:15,0 W,22.3 W,160 mW,18.4 W
2024-12-17 13:06:30,0 W,12.3 W,182 mW,17.9 W
2024-12-17 13:06:45,0 W,15.2 W,92.8 mW,18.2 W
