"Time","/bin/busybox","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp","/usr/local/bin/scaphandre","/usr/bin/mongod"
2024-12-17 13:01:15,0 B,0 B,0 B,20.5 kB
2024-12-17 13:01:30,0 B,0 B,0 B,20.5 kB
2024-12-17 13:01:45,0 B,0 B,0 B,291 kB
2024-12-17 13:02:00,0 B,0 B,0 B,606 kB
2024-12-17 13:02:15,0 B,10.5 MB,0 B,561 kB
2024-12-17 13:02:30,0 B,64.9 MB,0 B,516 kB
2024-12-17 13:02:45,0 B,24.1 MB,0 B,471 kB
2024-12-17 13:03:00,0 B,89.0 MB,0 B,1.02 MB
2024-12-17 13:03:15,0 B,109 MB,0 B,516 kB
2024-12-17 13:03:30,0 B,6.55 MB,0 B,487 kB
2024-12-17 13:03:45,0 B,77.8 MB,0 B,516 kB
2024-12-17 13:04:00,0 B,117 MB,0 B,1.34 MB
2024-12-17 13:04:15,0 B,64.3 MB,0 B,508 kB
2024-12-17 13:04:30,0 B,108 MB,0 B,508 kB
2024-12-17 13:04:45,0 B,52.8 MB,0 B,508 kB
2024-12-17 13:05:00,0 B,57.6 MB,0 B,1.64 MB
2024-12-17 13:05:15,0 B,64.4 MB,0 B,524 kB
2024-12-17 13:05:30,0 B,402 MB,0 B,537 kB
2024-12-17 13:05:45,0 B,174 MB,0 B,504 kB
2024-12-17 13:06:00,0 B,391 MB,0 B,1.92 MB
2024-12-17 13:06:15,0 B,92.2 MB,0 B,561 kB
2024-12-17 13:06:30,0 B,43.4 MB,0 B,496 kB
2024-12-17 13:06:45,0 B,58.4 MB,0 B,483 kB
2024-12-17 13:07:00,0 B,0 B,0 B,647 kB
2024-12-17 13:07:15,0 B,597 MB,0 B,2.27 MB
2024-12-17 13:07:30,0 B,33.3 MB,0 B,459 kB
2024-12-17 13:07:45,0 B,37.1 MB,0 B,463 kB
2024-12-17 13:08:00,0 B,209 MB,0 B,520 kB
2024-12-17 13:08:15,0 B,176 MB,0 B,1.09 MB
2024-12-17 13:08:30,0 B,196 MB,0 B,496 kB
2024-12-17 13:08:45,0 B,88.5 MB,0 B,496 kB
2024-12-17 13:09:00,0 B,60.1 MB,0 B,508 kB
2024-12-17 13:09:15,0 B,62.3 MB,0 B,1.48 MB
2024-12-17 13:09:30,0 B,804 MB,0 B,500 kB
2024-12-17 13:09:45,0 B,4.42 MB,0 B,463 kB
2024-12-17 13:10:00,0 B,70.0 MB,0 B,483 kB
2024-12-17 13:10:15,0 B,109 MB,0 B,1.73 MB
2024-12-17 13:10:30,0 B,108 MB,0 B,500 kB
2024-12-17 13:10:45,0 B,85.3 MB,0 B,516 kB
2024-12-17 13:11:00,0 B,66.2 MB,0 B,492 kB
2024-12-17 13:11:15,0 B,106 MB,0 B,487 kB
2024-12-17 13:11:30,0 B,77.1 MB,0 B,516 kB
2024-12-17 13:11:45,0 B,92.1 MB,0 B,483 kB
2024-12-17 13:12:00,0 B,76.8 MB,0 B,475 kB
2024-12-17 13:12:15,0 B,62.0 MB,0 B,475 kB
2024-12-17 13:12:30,0 B,93.2 MB,0 B,459 kB
2024-12-17 13:12:45,0 B,88.9 MB,0 B,528 kB
2024-12-17 13:13:00,0 B,57.5 MB,0 B,487 kB
2024-12-17 13:13:15,0 B,124 MB,0 B,479 kB
2024-12-17 13:13:30,0 B,283 MB,0 B,578 kB
2024-12-17 13:13:45,0 B,12.8 MB,0 B,471 kB
