"Time","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp","/usr/local/bin/scaphandre","/bin/bash","/usr/bin/mongod"
2024-12-17 22:12:45,53.5 MB,0 B,0 B,111 kB
2024-12-17 22:13:00,144 MB,0 B,0 B,45.1 kB
2024-12-17 22:13:15,62.3 MB,0 B,0 B,94.2 kB
2024-12-17 22:13:30,114 MB,0 B,0 B,20.5 kB
2024-12-17 22:13:45,69.1 MB,0 B,0 B,119 kB
2024-12-17 22:14:00,93.5 MB,0 B,0 B,24.6 kB
2024-12-17 22:14:15,35.7 MB,0 B,0 B,24.6 kB
2024-12-17 22:14:30,27.3 MB,0 B,0 B,24.6 kB
2024-12-17 22:14:45,93.2 MB,0 B,0 B,28.7 kB
2024-12-17 22:15:00,29.8 MB,0 B,0 B,28.7 kB
2024-12-17 22:15:15,31.9 MB,0 B,0 B,28.7 kB
2024-12-17 22:15:30,45.1 MB,0 B,0 B,32.8 kB
2024-12-17 22:15:45,16.3 MB,0 B,0 B,32.8 kB
2024-12-17 22:16:00,27.8 MB,0 B,0 B,32.8 kB
2024-12-17 22:16:15,52.5 MB,0 B,0 B,36.9 kB
2024-12-17 22:16:30,44.4 MB,0 B,0 B,36.9 kB
2024-12-17 22:16:45,27.8 MB,0 B,0 B,36.9 kB
2024-12-17 22:17:00,27.0 MB,0 B,0 B,41.0 kB
2024-12-17 22:17:15,20.5 MB,0 B,0 B,41.0 kB
2024-12-17 22:17:30,15.9 MB,0 B,0 B,41.0 kB
2024-12-17 22:17:45,42.7 MB,0 B,0 B,45.1 kB
2024-12-17 22:18:00,31.5 MB,0 B,0 B,45.1 kB
2024-12-17 22:18:15,19.7 MB,0 B,0 B,94.2 kB
2024-12-17 22:18:30,13.9 MB,0 B,0 B,20.5 kB
2024-12-17 22:18:45,0 B,0 B,0 B,20.5 kB
2024-12-17 22:19:00,0 B,0 B,0 B,20.5 kB
2024-12-17 22:19:15,0 B,0 B,0 B,24.6 kB
2024-12-17 22:19:30,0 B,0 B,0 B,24.6 kB
2024-12-17 22:19:45,0 B,0 B,0 B,24.6 kB
2024-12-17 22:20:00,0 B,0 B,0 B,28.7 kB
2024-12-17 22:20:15,1.44 GB,0 B,0 B,28.7 kB
