"Time","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp - /opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp-Ww-MBasageffcbf-MHasageffcbf-MBlmbcs512-MHlmbcs512-MMmcs30-pcunicode-P1048576-t5000000-stbtdb-zdbbl128000-sbwtnone-sbwtdcpunone-sbwtdionone-Bi---root/opt/erlang/lib/erlang-bindir/opt/erlang/lib/erlang/erts-14.2.5/bin-prognameerl---home/var/lib/rabbitmq---pa-noshell-noinput-srabbitboot-bootstart_sasl-sysloglogger[]-syslogsyslog_error_loggerfalse-kernelprevent_overlapping_partitionsfalse","/usr/local/bin/scaphandre - /usr/local/bin/scaphandreprometheus","/bin/bash - bash/usr/local/bin/docker-entrypoint.shrabbitmq-server","/usr/bin/mongod - mongod--auth--bind_ip_all"
2024-12-17 22:10:15,1.96 W,110 mW,0 W,13.9 W
2024-12-17 22:10:30,104 W,211 mW,0 W,25.3 W
2024-12-17 22:10:45,115 W,305 mW,0 W,24.8 W
2024-12-17 22:11:00,101 W,204 mW,0 W,25.1 W
2024-12-17 22:11:15,67.8 W,187 mW,0 W,23.3 W
2024-12-17 22:11:30,71.1 W,470 mW,0 W,25.5 W
2024-12-17 22:11:45,125 W,336 mW,0 W,32.9 W
2024-12-17 22:12:00,116 W,432 mW,0 W,32.2 W
2024-12-17 22:12:15,73.2 W,368 mW,0 W,25.5 W
2024-12-17 22:12:30,119 W,264 mW,0 W,25.9 W
2024-12-17 22:12:45,49.8 W,207 mW,0 W,20.6 W
2024-12-17 22:13:00,63.6 W,219 mW,0 W,21.7 W
2024-12-17 22:13:15,68.8 W,239 mW,0 W,23.8 W
2024-12-17 22:13:30,76.9 W,251 mW,0 W,25.0 W
2024-12-17 22:13:45,78.6 W,188 mW,0 W,23.2 W
2024-12-17 22:14:00,100 W,812 mW,0 W,25.2 W
2024-12-17 22:14:15,75.4 W,697 mW,0 W,27.0 W
2024-12-17 22:14:30,103 W,229 mW,0 W,29.9 W
2024-12-17 22:14:45,109 W,486 mW,0 W,31.9 W
2024-12-17 22:15:00,61.7 W,205 mW,0 W,26.5 W
2024-12-17 22:15:15,60.3 W,305 mW,0 W,26.2 W
2024-12-17 22:15:30,70.6 W,266 mW,0 W,26.1 W
2024-12-17 22:15:45,58.8 W,299 mW,0 W,25.5 W
2024-12-17 22:16:00,62.1 W,218 mW,0 W,28.1 W
2024-12-17 22:16:15,84.2 W,335 mW,0 W,31.2 W
2024-12-17 22:16:30,68.5 W,332 mW,0 W,28.1 W
2024-12-17 22:16:45,58.9 W,204 mW,0 W,25.7 W
2024-12-17 22:17:00,58.4 W,256 mW,0 W,25.9 W
2024-12-17 22:17:15,61.9 W,262 mW,0 W,26.6 W
2024-12-17 22:17:30,59.4 W,157 mW,0 W,27.0 W
2024-12-17 22:17:45,60.1 W,256 mW,0 W,26.4 W
2024-12-17 22:18:00,58.8 W,156 mW,0 W,26.1 W
2024-12-17 22:18:15,81.3 W,376 mW,0 W,32.2 W
2024-12-17 22:18:30,178 W,253 mW,0 W,29.1 W
2024-12-17 22:18:45,541 W,488 mW,0 W,44.1 W
2024-12-17 22:19:00,516 W,488 mW,0 W,65.1 W
2024-12-17 22:19:15,564 W,462 mW,0 W,41.7 W
2024-12-17 22:19:30,545 W,529 mW,0 W,65.4 W
2024-12-17 22:19:45,552 W,440 mW,0 W,39.6 W
2024-12-17 22:20:00,529 W,440 mW,0 W,70.9 W
2024-12-17 22:20:15,423 W,492 mW,0 W,38.2 W
