"Time","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp","/usr/local/bin/scaphandre","/bin/bash","/usr/bin/mongod"
2024-12-17 14:55:15,142 MB,0 B,0 B,49.2 kB
2024-12-17 14:55:30,212 MB,0 B,0 B,20.5 kB
2024-12-17 14:55:45,291 MB,0 B,0 B,127 kB
2024-12-17 14:56:00,72.7 MB,0 B,0 B,24.6 kB
2024-12-17 14:56:15,106 MB,0 B,0 B,24.6 kB
2024-12-17 14:56:30,184 MB,0 B,0 B,28.7 kB
2024-12-17 14:56:45,120 MB,0 B,0 B,102 kB
2024-12-17 14:57:00,478 MB,0 B,0 B,28.7 kB
2024-12-17 14:57:15,165 MB,0 B,0 B,32.8 kB
2024-12-17 14:57:30,414 MB,0 B,0 B,32.8 kB
2024-12-17 14:57:45,137 MB,0 B,0 B,32.8 kB
2024-12-17 14:58:00,277 MB,0 B,0 B,36.9 kB
2024-12-17 14:58:15,107 MB,0 B,0 B,45.1 kB
2024-12-17 14:58:30,25.1 MB,0 B,0 B,36.9 kB
2024-12-17 14:58:45,59.5 MB,0 B,0 B,41.0 kB
2024-12-17 14:59:00,18.5 MB,0 B,0 B,41.0 kB
2024-12-17 14:59:15,80.0 MB,0 B,0 B,41.0 kB
2024-12-17 14:59:30,33.1 MB,0 B,0 B,45.1 kB
2024-12-17 14:59:45,107 MB,0 B,0 B,45.1 kB
2024-12-17 15:00:00,102 MB,0 B,0 B,45.1 kB
2024-12-17 15:00:15,1.76 MB,0 B,0 B,53.2 kB
2024-12-17 15:00:30,148 MB,0 B,0 B,20.5 kB
2024-12-17 15:00:45,63.4 MB,0 B,0 B,20.5 kB
2024-12-17 15:01:00,22.6 MB,0 B,0 B,24.6 kB
2024-12-17 15:01:15,214 MB,0 B,0 B,24.6 kB
2024-12-17 15:01:30,9.92 MB,0 B,0 B,28.7 kB
2024-12-17 15:01:45,146 MB,0 B,0 B,28.7 kB
2024-12-17 15:02:00,129 MB,0 B,0 B,28.7 kB
2024-12-17 15:02:15,96.1 MB,0 B,0 B,28.7 kB
2024-12-17 15:02:30,171 MB,0 B,0 B,32.8 kB
2024-12-17 15:02:45,1.45 MB,0 B,0 B,32.8 kB
2024-12-17 15:03:00,152 MB,0 B,0 B,41.0 kB
2024-12-17 15:03:15,96.5 MB,0 B,0 B,36.9 kB
