"Time","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp - /opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp-Ww-MBasageffcbf-MHasageffcbf-MBlmbcs512-MHlmbcs512-MMmcs30-pcunicode-P1048576-t5000000-stbtdb-zdbbl128000-sbwtnone-sbwtdcpunone-sbwtdionone-Bi---root/opt/erlang/lib/erlang-bindir/opt/erlang/lib/erlang/erts-14.2.5/bin-prognameerl---home/var/lib/rabbitmq---pa-noshell-noinput-srabbitboot-bootstart_sasl-sysloglogger[]-syslogsyslog_error_loggerfalse-kernelprevent_overlapping_partitionsfalse","/usr/local/bin/scaphandre - /usr/local/bin/scaphandreprometheus","/bin/bash - bash/usr/local/bin/docker-entrypoint.shrabbitmq-server","/usr/bin/mongod - mongod--auth--bind_ip_all"
2024-12-17 14:32:15,2.07 W,468 mW,0 W,12.4 W
2024-12-17 14:32:30,59.7 W,476 mW,0 W,20.9 W
2024-12-17 14:32:45,91.3 W,207 mW,0 W,21.0 W
2024-12-17 14:33:00,66.7 W,243 mW,0 W,24.2 W
2024-12-17 14:33:15,53.7 W,150 mW,0 W,25.1 W
2024-12-17 14:33:30,172 W,226 mW,0 W,27.0 W
2024-12-17 14:33:45,513 W,574 mW,0 W,68.8 W
2024-12-17 14:34:00,72.6 W,227 mW,0 W,31.7 W
2024-12-17 14:34:15,67.7 W,167 mW,0 W,29.3 W
2024-12-17 14:34:30,118 W,364 mW,0 W,29.5 W
2024-12-17 14:34:45,159 W,266 mW,0 W,32.3 W
2024-12-17 14:35:00,58.4 W,315 mW,0 W,26.2 W
2024-12-17 14:35:15,55.3 W,210 mW,0 W,26.3 W
2024-12-17 14:35:30,95.3 W,239 mW,0 W,34.7 W
2024-12-17 14:35:45,63.5 W,273 mW,0 W,29.3 W
2024-12-17 14:36:00,98.3 W,293 mW,0 W,33.0 W
2024-12-17 14:36:15,130 W,315 mW,0 W,39.7 W
2024-12-17 14:36:30,60.3 W,322 mW,0 W,28.6 W
2024-12-17 14:36:45,63.0 W,207 mW,0 W,26.1 W
2024-12-17 14:37:00,71.5 W,312 mW,0 W,25.5 W
2024-12-17 14:37:15,424 W,348 mW,0 W,38.7 W
2024-12-17 14:37:30,472 W,430 mW,0 W,59.4 W
2024-12-17 14:37:45,507 W,358 mW,0 W,40.0 W
2024-12-17 14:38:00,480 W,425 mW,0 W,64.6 W
2024-12-17 14:38:15,513 W,343 mW,0 W,38.3 W
2024-12-17 14:38:30,469 W,497 mW,0 W,60.6 W
2024-12-17 14:38:45,97.0 W,304 mW,0 W,29.9 W
2024-12-17 14:39:00,71.6 W,176 mW,0 W,29.3 W
2024-12-17 14:39:15,71.4 W,285 mW,0 W,28.3 W
2024-12-17 14:39:30,56.9 W,267 mW,0 W,26.7 W
2024-12-17 14:39:45,95.7 W,119 mW,0 W,29.8 W
2024-12-17 14:40:00,56.7 W,162 mW,0 W,27.1 W
2024-12-17 14:40:15,90.6 W,230 mW,0 W,31.3 W
2024-12-17 14:40:30,67.8 W,164 mW,0 W,29.1 W
2024-12-17 14:40:45,63.0 W,323 mW,0 W,28.9 W
2024-12-17 14:41:00,59.8 W,264 mW,0 W,28.0 W
2024-12-17 14:41:15,57.6 W,105 mW,0 W,27.5 W
2024-12-17 14:41:30,58.7 W,104 mW,0 W,28.4 W
2024-12-17 14:41:45,58.9 W,256 mW,0 W,29.7 W
2024-12-17 14:42:00,62.5 W,256 mW,0 W,25.5 W
2024-12-17 14:42:15,64.9 W,257 mW,0 W,25.6 W
2024-12-17 14:42:30,86.9 W,216 mW,0 W,26.8 W
2024-12-17 14:42:45,73.9 W,207 mW,0 W,25.6 W
2024-12-17 14:43:00,77.0 W,270 mW,0 W,26.8 W
2024-12-17 14:43:15,69.4 W,159 mW,0 W,26.5 W
2024-12-17 14:43:30,63.6 W,203 mW,0 W,25.5 W
2024-12-17 14:43:45,64.8 W,210 mW,0 W,28.4 W
2024-12-17 14:44:00,58.9 W,304 mW,0 W,26.7 W
2024-12-17 14:44:15,67.8 W,156 mW,0 W,29.5 W
2024-12-17 14:44:30,54.7 W,151 mW,0 W,27.8 W
2024-12-17 14:44:45,63.3 W,261 mW,0 W,27.8 W
2024-12-17 14:45:00,64.3 W,265 mW,0 W,26.5 W
2024-12-17 14:45:15,53.0 W,248 mW,0 W,24.8 W
2024-12-17 14:45:30,86.2 W,163 mW,0 W,26.7 W
2024-12-17 14:45:45,64.4 W,258 mW,0 W,25.7 W
2024-12-17 14:46:00,68.3 W,261 mW,0 W,26.1 W
2024-12-17 14:46:15,55.8 W,199 mW,0 W,24.8 W
2024-12-17 14:46:30,136 W,237 mW,0 W,28.4 W
2024-12-17 14:46:45,57.1 W,206 mW,0 W,27.3 W
