"Time","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp - /opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp-Ww-MBasageffcbf-MHasageffcbf-MBlmbcs512-MHlmbcs512-MMmcs30-pcunicode-P1048576-t5000000-stbtdb-zdbbl128000-sbwtnone-sbwtdcpunone-sbwtdionone-Bi---root/opt/erlang/lib/erlang-bindir/opt/erlang/lib/erlang/erts-14.2.5/bin-prognameerl---home/var/lib/rabbitmq---pa-noshell-noinput-srabbitboot-bootstart_sasl-sysloglogger[]-syslogsyslog_error_loggerfalse-kernelprevent_overlapping_partitionsfalse","/usr/local/bin/scaphandre - /usr/local/bin/scaphandreprometheus","/bin/bash - bash/usr/local/bin/docker-entrypoint.shrabbitmq-server","/usr/bin/mongod - mongod--auth--bind_ip_all"
2024-12-19 14:10:45,4.56 W,433 mW,0 W,12.4 W
2024-12-19 14:11:00,4.58 W,78.6 mW,0 W,13.2 W
2024-12-19 14:11:15,4.85 W,79.5 mW,0 W,13.3 W
2024-12-19 14:11:30,4.65 W,131 mW,0 W,13.1 W
2024-12-19 14:11:45,3.97 W,78.8 mW,0 W,13.2 W
2024-12-19 14:12:00,4.95 W,103 mW,0 W,13.0 W
2024-12-19 14:12:15,5.15 W,78.1 mW,0 W,13.1 W
2024-12-19 14:12:30,3.74 W,354 mW,0 W,12.2 W
2024-12-19 14:12:45,4.02 W,487 mW,0 W,11.3 W
2024-12-19 14:13:00,4.53 W,560 mW,0 W,11.2 W
2024-12-19 14:13:15,4.70 W,608 mW,0 W,11.2 W
2024-12-19 14:13:30,5.00 W,700 mW,0 W,11.1 W
2024-12-19 14:13:45,3.69 W,535 mW,0 W,11.2 W
2024-12-19 14:14:00,4.49 W,412 mW,0 W,11.2 W
2024-12-19 14:14:15,5.32 W,361 mW,0 W,11.1 W
2024-12-19 14:14:30,3.38 W,106 mW,0 W,13.4 W
2024-12-19 14:14:45,4.87 W,129 mW,0 W,13.0 W
2024-12-19 14:15:00,4.71 W,78.6 mW,0 W,13.2 W
2024-12-19 14:15:15,4.96 W,184 mW,0 W,13.2 W
2024-12-19 14:15:30,4.55 W,103 mW,0 W,12.9 W
