"Time","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp","/usr/local/bin/scaphandre","/bin/bash","/usr/bin/mongod"
2024-12-19 14:17:15,0 B,0 B,0 B,0 B
2024-12-19 14:17:30,0 B,0 B,0 B,0 B
2024-12-19 14:17:45,0 B,0 B,0 B,0 B
2024-12-19 14:18:00,0 B,0 B,0 B,0 B
2024-12-19 14:18:15,0 B,0 B,0 B,0 B
2024-12-19 14:18:30,0 B,0 B,0 B,0 B
2024-12-19 14:18:45,0 B,0 B,0 B,0 B
2024-12-19 14:19:00,0 B,0 B,0 B,0 B
2024-12-19 14:19:15,0 B,0 B,0 B,0 B
2024-12-19 14:19:30,0 B,0 B,0 B,0 B
2024-12-19 14:19:45,0 B,0 B,0 B,0 B
2024-12-19 14:20:00,0 B,0 B,0 B,0 B
2024-12-19 14:20:15,0 B,0 B,0 B,0 B
2024-12-19 14:20:30,0 B,0 B,0 B,0 B
