"Time","/bin/busybox","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp","/usr/local/bin/scaphandre","/usr/share/grafana/bin/grafana","/usr/bin/mongod"
2025-01-17 19:47:30,0 B,0 B,0 B,0 B,20.5 kB
2025-01-17 19:47:45,0 B,0 B,0 B,0 B,152 kB
2025-01-17 19:48:00,0 B,0 B,0 B,0 B,24.6 kB
2025-01-17 19:48:15,0 B,117 MB,0 B,0 B,24.6 kB
2025-01-17 19:48:30,0 B,54.0 MB,0 B,53.2 kB,24.6 kB
2025-01-17 19:48:45,0 B,46.0 MB,0 B,0 B,94.2 kB
2025-01-17 19:49:00,0 B,0 B,0 B,0 B,28.7 kB
2025-01-17 19:49:15,0 B,0 B,0 B,0 B,28.7 kB
2025-01-17 19:49:30,0 B,0 B,0 B,0 B,28.7 kB
2025-01-17 19:49:45,0 B,0 B,0 B,0 B,90.1 kB
2025-01-17 19:50:00,0 B,0 B,0 B,0 B,32.8 kB
2025-01-17 19:50:15,0 B,0 B,0 B,0 B,32.8 kB
2025-01-17 19:50:30,0 B,0 B,0 B,0 B,36.9 kB
2025-01-17 19:50:45,0 B,642 MB,0 B,0 B,98.3 kB
2025-01-17 19:51:00,0 B,2.36 GB,0 B,0 B,36.9 kB
2025-01-17 19:51:15,0 B,232 MB,0 B,0 B,41.0 kB
2025-01-17 19:51:30,0 B,429 MB,0 B,0 B,41.0 kB
2025-01-17 19:51:45,0 B,51.1 MB,0 B,0 B,184 kB
2025-01-17 19:52:00,0 B,17.4 MB,0 B,0 B,20.5 kB
2025-01-17 19:52:15,0 B,22.8 MB,0 B,36.9 kB,20.5 kB
2025-01-17 19:52:30,0 B,16.4 MB,0 B,0 B,24.6 kB
2025-01-17 19:52:45,0 B,2.87 MB,0 B,0 B,24.6 kB
2025-01-17 19:53:00,0 B,196 MB,0 B,0 B,106 kB
2025-01-17 19:53:15,0 B,494 MB,0 B,0 B,28.7 kB
2025-01-17 19:53:30,0 B,116 MB,0 B,0 B,28.7 kB
2025-01-17 19:53:45,0 B,172 MB,0 B,0 B,28.7 kB
2025-01-17 19:54:00,0 B,159 MB,0 B,0 B,98.3 kB
2025-01-17 19:54:15,0 B,322 MB,0 B,0 B,32.8 kB
2025-01-17 19:54:30,0 B,222 MB,0 B,0 B,32.8 kB
2025-01-17 19:54:45,0 B,266 MB,0 B,0 B,36.9 kB
2025-01-17 19:55:00,0 B,319 MB,0 B,0 B,106 kB
2025-01-17 19:55:15,0 B,148 MB,0 B,0 B,36.9 kB
2025-01-17 19:55:30,0 B,65.4 MB,0 B,0 B,36.9 kB
2025-01-17 19:55:45,0 B,137 MB,0 B,0 B,41.0 kB
2025-01-17 19:56:00,0 B,37.6 MB,0 B,0 B,106 kB
2025-01-17 19:56:15,0 B,6.39 MB,0 B,0 B,41.0 kB
2025-01-17 19:56:30,0 B,39.6 MB,0 B,0 B,45.1 kB
2025-01-17 19:56:45,0 B,57.1 MB,0 B,0 B,53.2 kB
2025-01-17 19:57:00,0 B,33.4 MB,0 B,0 B,123 kB
2025-01-17 19:57:15,0 B,12.6 MB,0 B,0 B,20.5 kB
2025-01-17 19:57:30,0 B,36.6 MB,0 B,0 B,24.6 kB
2025-01-17 19:57:45,0 B,55.5 MB,0 B,0 B,24.6 kB
2025-01-17 19:58:00,0 B,9.79 MB,0 B,0 B,111 kB
2025-01-17 19:58:15,0 B,160 MB,0 B,0 B,28.7 kB
2025-01-17 19:58:30,0 B,141 MB,0 B,0 B,28.7 kB
2025-01-17 19:58:45,0 B,26.6 MB,0 B,0 B,28.7 kB
2025-01-17 19:59:00,0 B,212 MB,0 B,0 B,94.2 kB
2025-01-17 19:59:15,0 B,561 kB,0 B,0 B,32.8 kB
2025-01-17 19:59:30,0 B,75.2 MB,0 B,131 kB,32.8 kB
2025-01-17 19:59:45,0 B,92.7 MB,0 B,0 B,32.8 kB
2025-01-17 20:00:00,0 B,101 MB,0 B,0 B,102 kB
2025-01-17 20:00:15,0 B,106 MB,0 B,0 B,36.9 kB
2025-01-17 20:00:30,0 B,105 MB,0 B,0 B,36.9 kB
2025-01-17 20:00:45,0 B,54.0 MB,0 B,0 B,41.0 kB
