"Time","core","dram"
2025-01-17 19:47:30,0.103 W,3.85 W
2025-01-17 19:48:00,20.4 W,6.33 W
2025-01-17 19:48:30,25.7 W,7.29 W
2025-01-17 19:49:00,54.1 W,9.56 W
2025-01-17 19:49:30,61.4 W,9.82 W
2025-01-17 19:50:00,52.6 W,10.2 W
2025-01-17 19:50:30,48.2 W,10.9 W
2025-01-17 19:51:00,35.1 W,6.95 W
2025-01-17 19:51:30,31.0 W,6.60 W
2025-01-17 19:52:00,30.3 W,6.48 W
2025-01-17 19:52:30,27.7 W,6.39 W
2025-01-17 19:53:00,27.0 W,6.55 W
2025-01-17 19:53:30,27.4 W,6.49 W
2025-01-17 19:54:00,28.7 W,6.53 W
2025-01-17 19:54:30,29.3 W,6.62 W
2025-01-17 19:55:00,29.7 W,6.62 W
2025-01-17 19:55:30,29.9 W,6.71 W
2025-01-17 19:56:00,31.7 W,6.76 W
2025-01-17 19:56:30,29.3 W,6.59 W
2025-01-17 19:57:00,28.7 W,6.58 W
2025-01-17 19:57:30,29.0 W,6.58 W
2025-01-17 19:58:00,28.6 W,6.51 W
2025-01-17 19:58:30,27.9 W,6.51 W
2025-01-17 19:59:00,37.4 W,7.23 W
2025-01-17 19:59:30,28.3 W,6.58 W
2025-01-17 20:00:00,28.1 W,6.53 W
2025-01-17 20:00:30,27.9 W,6.50 W
2025-01-17 20:01:00,27.8 W,6.50 W
2025-01-17 20:01:30,28.7 W,6.52 W
2025-01-17 20:02:00,33.5 W,7.21 W
2025-01-17 20:02:30,34.0 W,6.89 W
2025-01-17 20:03:00,27.6 W,6.35 W
2025-01-17 20:03:30,26.7 W,6.33 W
2025-01-17 20:04:00,28.1 W,6.36 W
2025-01-17 20:04:30,65.4 W,9.66 W
2025-01-17 20:05:00,52.3 W,10.0 W
2025-01-17 20:05:30,50.8 W,10.9 W
2025-01-17 20:06:00,31.8 W,6.51 W
2025-01-17 20:06:30,30.1 W,6.47 W
2025-01-17 20:07:00,28.9 W,6.37 W
2025-01-17 20:07:30,29.4 W,6.39 W
2025-01-17 20:08:00,30.4 W,6.62 W
2025-01-17 20:08:30,28.5 W,6.51 W
2025-01-17 20:09:00,28.2 W,6.47 W
2025-01-17 20:09:30,28.0 W,6.53 W
2025-01-17 20:10:00,30.3 W,6.63 W
2025-01-17 20:10:30,28.5 W,6.61 W
2025-01-17 20:11:00,30.6 W,6.81 W
2025-01-17 20:11:30,29.1 W,6.68 W
2025-01-17 20:12:00,29.0 W,6.60 W
2025-01-17 20:12:30,30.9 W,7.11 W
2025-01-17 20:13:00,56.5 W,9.03 W
2025-01-17 20:13:30,55.3 W,9.46 W
2025-01-17 20:14:00,50.6 W,10.3 W
2025-01-17 20:14:30,48.3 W,10.6 W
2025-01-17 20:15:00,32.3 W,6.56 W
2025-01-17 20:15:30,27.9 W,6.33 W
2025-01-17 20:16:00,30.4 W,6.50 W
2025-01-17 20:16:30,28.5 W,6.41 W
2025-01-17 20:17:00,29.2 W,6.51 W
2025-01-17 20:17:30,28.2 W,6.46 W
