"Time","/bin/busybox - /bin/sh/opt/rabbitmq/sbin/rabbitmq-server","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp - /opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp-Ww-MBasageffcbf-MHasageffcbf-MBlmbcs512-MHlmbcs512-MMmcs30-pcunicode-P1048576-t5000000-stbtdb-zdbbl128000-sbwtnone-sbwtdcpunone-sbwtdionone-Bi---root/opt/erlang/lib/erlang-bindir/opt/erlang/lib/erlang/erts-14.2.5/bin-prognameerl---home/var/lib/rabbitmq---pa-noshell-noinput-srabbitboot-bootstart_sasl-sysloglogger[]-syslogsyslog_error_loggerfalse-kernelprevent_overlapping_partitionsfalse","/usr/local/bin/scaphandre - /usr/local/bin/scaphandreprometheus","/usr/share/grafana/bin/grafana - grafanaserver--homepath=/usr/share/grafana--config=/etc/grafana/grafana.ini--packaging=dockercfg:default.log.mode=consolecfg:default.paths.data=/var/lib/grafanacfg:default.paths.logs=/var/log/grafanacfg:default.paths.plugins=/var/lib/grafana/pluginscfg:default.paths.provisioning=/etc/grafana/provisioning","/usr/bin/mongod - mongod--auth--bind_ip_all"
2025-01-17 20:04:15,0 W,524 W,491 mW,98.3 mW,52.8 W
2025-01-17 20:04:30,0 W,577 W,421 mW,0 W,82.4 W
2025-01-17 20:04:45,0 W,507 W,358 mW,179 mW,39.5 W
2025-01-17 20:05:00,0 W,514 W,449 mW,89.8 mW,68.3 W
2025-01-17 20:05:15,0 W,533 W,434 mW,86.9 mW,38.0 W
2025-01-17 20:05:30,0 W,546 W,443 mW,0 W,63.8 W
2025-01-17 20:05:45,0 W,344 W,449 mW,225 mW,34.4 W
2025-01-17 20:06:00,0 W,68.5 W,290 mW,0 W,29.0 W
2025-01-17 20:06:15,0 W,66.4 W,226 mW,0 W,28.2 W
2025-01-17 20:06:30,0 W,62.9 W,167 mW,0 W,27.9 W
2025-01-17 20:06:45,0 W,59.6 W,216 mW,54.1 mW,27.0 W
2025-01-17 20:07:00,0 W,56.7 W,270 mW,0 W,27.1 W
2025-01-17 20:07:15,0 W,56.7 W,215 mW,53.9 mW,26.9 W
2025-01-17 20:07:30,0 W,57.5 W,273 mW,54.6 mW,27.0 W
2025-01-17 20:07:45,0 W,57.9 W,164 mW,492 mW,27.4 W
2025-01-17 20:08:00,0 W,71.6 W,280 mW,0 W,27.5 W
2025-01-17 20:08:15,0 W,60.3 W,320 mW,0 W,26.3 W
2025-01-17 20:08:30,0 W,61.4 W,268 mW,53.5 mW,26.7 W
2025-01-17 20:08:45,0 W,58.6 W,206 mW,51.6 mW,25.7 W
2025-01-17 20:09:00,0 W,58.1 W,213 mW,53.2 mW,26.6 W
2025-01-17 20:09:15,0 W,61.8 W,324 mW,53.9 mW,27.0 W
2025-01-17 20:09:30,0 W,62.0 W,318 mW,0 W,26.5 W
2025-01-17 20:09:45,0 W,69.7 W,221 mW,110 mW,27.4 W
2025-01-17 20:10:00,0 W,73.6 W,225 mW,0 W,27.8 W
2025-01-17 20:10:15,0 W,69.8 W,221 mW,55.3 mW,27.2 W
2025-01-17 20:10:30,0 W,66.4 W,269 mW,0 W,26.6 W
2025-01-17 20:10:45,0 W,71.7 W,221 mW,55.3 mW,27.4 W
2025-01-17 20:11:00,0 W,91.3 W,226 mW,56.6 mW,27.8 W
2025-01-17 20:11:15,0 W,71.8 W,275 mW,0 W,27.2 W
2025-01-17 20:11:30,0 W,75.3 W,219 mW,54.6 mW,26.9 W
2025-01-17 20:11:45,0 W,73.1 W,268 mW,107 mW,26.0 W
2025-01-17 20:12:00,0 W,71.0 W,163 mW,163 mW,26.8 W
2025-01-17 20:12:15,0 W,61.1 W,215 mW,53.9 mW,26.9 W
2025-01-17 20:12:30,0 W,138 W,229 mW,0 W,28.1 W
2025-01-17 20:12:45,0 W,156 W,187 mW,0 W,30.5 W
2025-01-17 20:13:00,0 W,457 W,465 mW,93.1 mW,61.5 W
2025-01-17 20:13:15,0 W,550 W,498 mW,0 W,44.1 W
2025-01-17 20:13:30,0 W,511 W,646 mW,92.4 mW,42.8 W
2025-01-17 20:13:45,0 W,512 W,437 mW,262 mW,42.5 W
2025-01-17 20:14:00,0 W,527 W,439 mW,87.9 mW,39.2 W
2025-01-17 20:14:15,0 W,567 W,542 mW,0 W,53.5 W
2025-01-17 20:14:30,0 W,524 W,511 mW,170 mW,36.9 W
2025-01-17 20:14:45,0 W,69.2 W,231 mW,57.9 mW,28.8 W
