"Time","/bin/busybox","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp","/usr/local/bin/scaphandre","/usr/bin/mongod"
2024-12-19 19:15:30,0 B,0 B,0 B,135 kB
2024-12-19 19:15:45,0 B,0 B,0 B,24.6 kB
2024-12-19 19:16:00,0 B,32.8 kB,0 B,24.6 kB
2024-12-19 19:16:15,0 B,24.6 kB,0 B,24.6 kB
2024-12-19 19:16:30,0 B,45.6 MB,0 B,160 kB
2024-12-19 19:16:45,0 B,129 MB,0 B,28.7 kB
2024-12-19 19:17:00,0 B,129 MB,0 B,28.7 kB
2024-12-19 19:17:15,0 B,67.4 MB,0 B,32.8 kB
2024-12-19 19:17:30,0 B,118 MB,0 B,102 kB
2024-12-19 19:17:45,0 B,267 MB,0 B,32.8 kB
2024-12-19 19:18:00,0 B,143 MB,0 B,36.9 kB
2024-12-19 19:18:15,0 B,64.2 MB,0 B,36.9 kB
2024-12-19 19:18:30,0 B,52.9 MB,0 B,102 kB
2024-12-19 19:18:45,0 B,55.0 MB,0 B,36.9 kB
2024-12-19 19:19:00,0 B,85.3 MB,0 B,41.0 kB
2024-12-19 19:19:15,0 B,36.8 MB,0 B,41.0 kB
2024-12-19 19:19:30,0 B,68.8 MB,0 B,168 kB
2024-12-19 19:19:45,0 B,55.7 MB,0 B,20.5 kB
2024-12-19 19:20:00,0 B,39.3 MB,0 B,20.5 kB
2024-12-19 19:20:15,0 B,33.4 MB,0 B,24.6 kB
2024-12-19 19:20:30,0 B,72.7 MB,0 B,98.3 kB
2024-12-19 19:20:45,0 B,58.5 MB,0 B,32.8 kB
2024-12-19 19:21:00,0 B,62.7 MB,0 B,28.7 kB
2024-12-19 19:21:15,0 B,64.0 MB,0 B,28.7 kB
2024-12-19 19:21:30,0 B,25.4 MB,0 B,28.7 kB
2024-12-19 19:21:45,0 B,55.8 MB,0 B,94.2 kB
2024-12-19 19:22:00,0 B,51.0 MB,0 B,32.8 kB
2024-12-19 19:22:15,0 B,62.6 MB,0 B,32.8 kB
2024-12-19 19:22:30,0 B,55.6 MB,0 B,32.8 kB
2024-12-19 19:22:45,0 B,92.2 MB,0 B,102 kB
2024-12-19 19:23:00,0 B,48.1 MB,0 B,36.9 kB
2024-12-19 19:23:15,0 B,85.6 MB,0 B,36.9 kB
2024-12-19 19:23:30,0 B,120 MB,0 B,41.0 kB
2024-12-19 19:23:45,0 B,83.0 MB,0 B,106 kB
2024-12-19 19:24:00,0 B,60.4 MB,0 B,41.0 kB
2024-12-19 19:24:15,0 B,48.9 MB,0 B,45.1 kB
2024-12-19 19:24:30,0 B,102 MB,0 B,49.2 kB
2024-12-19 19:24:45,0 B,142 MB,0 B,127 kB
2024-12-19 19:25:00,0 B,140 MB,0 B,20.5 kB
2024-12-19 19:25:15,0 B,51.0 MB,0 B,24.6 kB
2024-12-19 19:25:30,0 B,34.5 MB,0 B,28.7 kB
2024-12-19 19:25:45,0 B,98.7 MB,0 B,160 kB
2024-12-19 19:26:00,0 B,170 MB,0 B,28.7 kB
2024-12-19 19:26:15,0 B,145 MB,0 B,28.7 kB
2024-12-19 19:26:30,0 B,223 MB,0 B,28.7 kB
2024-12-19 19:26:45,0 B,325 MB,0 B,119 kB
2024-12-19 19:27:00,0 B,170 MB,0 B,32.8 kB
2024-12-19 19:27:15,0 B,97.1 MB,0 B,32.8 kB
2024-12-19 19:27:30,0 B,94.6 MB,0 B,36.9 kB
2024-12-19 19:27:45,0 B,76.1 MB,0 B,102 kB
2024-12-19 19:28:00,0 B,75.3 MB,0 B,36.9 kB
2024-12-19 19:28:15,0 B,18.1 MB,0 B,41.0 kB
