"Time","/bin/busybox - /bin/sh/opt/rabbitmq/sbin/rabbitmq-server","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp - /opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp-Ww-MBasageffcbf-MHasageffcbf-MBlmbcs512-MHlmbcs512-MMmcs30-pcunicode-P1048576-t5000000-stbtdb-zdbbl128000-sbwtnone-sbwtdcpunone-sbwtdionone-Bi---root/opt/erlang/lib/erlang-bindir/opt/erlang/lib/erlang/erts-14.2.5/bin-prognameerl---home/var/lib/rabbitmq---pa-noshell-noinput-srabbitboot-bootstart_sasl-sysloglogger[]-syslogsyslog_error_loggerfalse-kernelprevent_overlapping_partitionsfalse","/usr/local/bin/scaphandre - /usr/local/bin/scaphandreprometheus","/usr/bin/mongod - mongod--auth--bind_ip_all"
2024-12-19 19:15:30,0 W,2.03 W,74.4 mW,12.3 W
2024-12-19 19:15:45,0 W,14.0 W,134 mW,13.5 W
2024-12-19 19:16:00,0 W,38.2 W,93.3 mW,15.5 W
2024-12-19 19:16:15,0 W,73.2 W,184 mW,18.3 W
2024-12-19 19:16:30,0 W,61.8 W,86.1 mW,21.2 W
2024-12-19 19:16:45,0 W,149 W,404 mW,27.1 W
2024-12-19 19:17:00,0 W,171 W,459 mW,39.4 W
2024-12-19 19:17:15,0 W,108 W,235 mW,30.3 W
2024-12-19 19:17:30,0 W,65.9 W,309 mW,27.4 W
2024-12-19 19:17:45,0 W,71.5 W,260 mW,27.0 W
2024-12-19 19:18:00,0 W,60.4 W,197 mW,25.7 W
2024-12-19 19:18:15,0 W,76.7 W,210 mW,26.9 W
2024-12-19 19:18:30,0 W,60.7 W,150 mW,25.1 W
2024-12-19 19:18:45,0 W,54.4 W,148 mW,25.5 W
2024-12-19 19:19:00,0 W,85.9 W,340 mW,25.8 W
2024-12-19 19:19:15,0 W,65.3 W,203 mW,25.0 W
2024-12-19 19:19:30,0 W,100 W,172 mW,30.8 W
2024-12-19 19:19:45,0 W,54.8 W,203 mW,25.6 W
2024-12-19 19:20:00,0 W,73.3 W,262 mW,28.0 W
2024-12-19 19:20:15,0 W,58.7 W,151 mW,25.7 W
2024-12-19 19:20:30,0 W,71.5 W,264 mW,26.4 W
2024-12-19 19:20:45,0 W,63.3 W,204 mW,25.3 W
2024-12-19 19:21:00,0 W,62.1 W,152 mW,25.2 W
2024-12-19 19:21:15,0 W,74.5 W,254 mW,25.2 W
2024-12-19 19:21:30,0 W,61.4 W,151 mW,25.0 W
2024-12-19 19:21:45,0 W,70.9 W,309 mW,25.4 W
2024-12-19 19:22:00,0 W,56.3 W,250 mW,24.9 W
2024-12-19 19:22:15,0 W,97.1 W,281 mW,27.8 W
2024-12-19 19:22:30,0 W,91.1 W,275 mW,27.1 W
2024-12-19 19:22:45,0 W,93.8 W,167 mW,27.3 W
2024-12-19 19:23:00,0 W,67.4 W,309 mW,25.6 W
2024-12-19 19:23:15,0 W,175 W,134 mW,36.7 W
