"Time","/bin/busybox - /bin/sh/opt/rabbitmq/sbin/rabbitmq-server","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp - /opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp-Ww-MBasageffcbf-MHasageffcbf-MBlmbcs512-MHlmbcs512-MMmcs30-pcunicode-P1048576-t5000000-stbtdb-zdbbl128000-sbwtnone-sbwtdcpunone-sbwtdionone-Bi---root/opt/erlang/lib/erlang-bindir/opt/erlang/lib/erlang/erts-14.2.5/bin-prognameerl---home/var/lib/rabbitmq---pa-noshell-noinput-srabbitboot-bootstart_sasl-sysloglogger[]-syslogsyslog_error_loggerfalse-kernelprevent_overlapping_partitionsfalse","/usr/local/bin/scaphandre - /usr/local/bin/scaphandreprometheus","/usr/share/grafana/bin/grafana - grafanaserver--homepath=/usr/share/grafana--config=/etc/grafana/grafana.ini--packaging=dockercfg:default.log.mode=consolecfg:default.paths.data=/var/lib/grafanacfg:default.paths.logs=/var/log/grafanacfg:default.paths.plugins=/var/lib/grafana/pluginscfg:default.paths.provisioning=/etc/grafana/provisioning","/usr/bin/mongod - mongod--auth--bind_ip_all"
2025-01-17 13:58:45,0 W,401 mW,150 mW,25.1 mW,12.6 W
2025-01-17 13:59:00,0 W,349 mW,125 mW,99.8 mW,12.4 W
2025-01-17 13:59:15,0 W,76.6 W,158 mW,0 W,19.6 W
2025-01-17 13:59:30,0 W,73.5 W,187 mW,514 mW,22.9 W
2025-01-17 13:59:45,0 W,63.9 W,314 mW,0 W,23.5 W
2025-01-17 14:00:00,0 W,143 W,685 mW,62.3 mW,36.4 W
2025-01-17 14:00:15,0 W,108 W,294 mW,58.7 mW,32.1 W
2025-01-17 14:00:30,0 W,84.8 W,167 mW,55.8 mW,29.6 W
2025-01-17 14:00:45,0 W,83.6 W,220 mW,0 W,28.6 W
2025-01-17 14:01:00,0 W,130 W,188 mW,188 mW,34.3 W
2025-01-17 14:01:15,0 W,113 W,237 mW,415 mW,30.1 W
2025-01-17 14:01:30,0 W,107 W,344 mW,0 W,28.4 W
2025-01-17 14:01:45,0 W,83.5 W,268 mW,53.6 mW,26.5 W
2025-01-17 14:02:00,0 W,106 W,299 mW,59.8 mW,29.4 W
2025-01-17 14:02:15,0 W,117 W,293 mW,0 W,28.5 W
2025-01-17 14:02:30,0 W,81.9 W,267 mW,53.4 mW,26.5 W
2025-01-17 14:02:45,0 W,86.4 W,224 mW,56.1 mW,27.8 W
2025-01-17 14:03:00,0 W,65.2 W,211 mW,106 mW,26.5 W
2025-01-17 14:03:15,0 W,64.8 W,258 mW,0 W,25.7 W
2025-01-17 14:03:30,0 W,76.8 W,222 mW,55.5 mW,27.5 W
2025-01-17 14:03:45,0 W,104 W,229 mW,0 W,27.8 W
2025-01-17 14:04:00,0 W,64.4 W,312 mW,104 mW,25.9 W
2025-01-17 14:04:15,0 W,69.5 W,277 mW,0 W,28.0 W
2025-01-17 14:04:30,0 W,90.4 W,228 mW,57.1 mW,28.4 W
2025-01-17 14:04:45,0 W,104 W,281 mW,0 W,27.9 W
2025-01-17 14:05:00,0 W,61.3 W,218 mW,109 mW,27.3 W
2025-01-17 14:05:15,0 W,81.2 W,261 mW,0 W,26.0 W
2025-01-17 14:05:30,0 W,65.7 W,274 mW,54.8 mW,27.2 W
2025-01-17 14:05:45,0 W,99.3 W,159 mW,53.1 mW,27.1 W
2025-01-17 14:06:00,0 W,59.6 W,267 mW,0 W,26.9 W
2025-01-17 14:06:15,0 W,98.2 W,236 mW,0 W,33.1 W
2025-01-17 14:06:30,0 W,65.8 W,377 mW,0 W,26.4 W
2025-01-17 14:06:45,0 W,582 W,420 mW,0 W,48.5 W
2025-01-17 14:07:00,0 W,533 W,577 mW,289 mW,43.4 W
2025-01-17 14:07:15,0 W,69.6 W,239 mW,0 W,29.5 W
2025-01-17 14:07:30,0 W,78.0 W,180 mW,60.0 mW,31.1 W
2025-01-17 14:07:45,0 W,71.3 W,227 mW,0 W,29.1 W
2025-01-17 14:08:00,0 W,114 W,257 mW,64.3 mW,35.6 W
2025-01-17 14:08:15,0 W,64.4 W,166 mW,55.4 mW,28.8 W
2025-01-17 14:08:30,0 W,62.0 W,214 mW,53.5 mW,27.8 W
2025-01-17 14:08:45,0 W,81.8 W,170 mW,0 W,29.4 W
2025-01-17 14:09:00,0 W,88.6 W,393 mW,225 mW,28.7 W
2025-01-17 14:09:15,0 W,62.5 W,702 mW,43.9 mW,23.9 W
2025-01-17 14:09:30,0 W,80.5 W,297 mW,0 W,26.7 W
2025-01-17 14:09:45,0 W,91.6 W,286 mW,57.3 mW,30.7 W
2025-01-17 14:10:00,0 W,64.3 W,204 mW,0 W,25.3 W
2025-01-17 14:10:15,0 W,94.7 W,289 mW,57.8 mW,29.4 W
2025-01-17 14:10:30,0 W,63.0 W,107 mW,0 W,26.7 W
2025-01-17 14:10:45,0 W,556 W,412 mW,103 mW,46.7 W
2025-01-17 14:11:00,0 W,546 W,397 mW,297 mW,71.4 W
2025-01-17 14:11:15,0 W,76.7 W,227 mW,56.7 mW,28.2 W
2025-01-17 14:11:30,0 W,70.4 W,228 mW,57.0 mW,28.4 W
2025-01-17 14:11:45,0 W,66.5 W,283 mW,56.5 mW,28.2 W
2025-01-17 14:12:00,0 W,66.6 W,168 mW,0 W,27.9 W
2025-01-17 14:12:15,0 W,100 W,244 mW,0 W,30.4 W
2025-01-17 14:12:30,0 W,62.5 W,216 mW,54.0 mW,27.0 W
2025-01-17 14:12:45,0 W,65.6 W,214 mW,0 W,26.6 W
2025-01-17 14:13:00,0 W,77.7 W,232 mW,139 mW,22.9 W
2025-01-17 14:13:15,0 W,79.3 W,333 mW,0 W,23.5 W
2025-01-17 14:13:30,0 W,72.8 W,196 mW,97.9 mW,24.4 W
2025-01-17 14:13:45,0 W,75.7 W,215 mW,323 mW,26.7 W
2025-01-17 14:14:00,0 W,102 W,354 mW,0 W,28.6 W
2025-01-17 14:14:15,0 W,92.6 W,292 mW,58.4 mW,31.6 W
2025-01-17 14:14:30,0 W,63.2 W,160 mW,0 W,27.5 W
2025-01-17 14:14:45,0 W,62.1 W,263 mW,52.5 mW,27.0 W
2025-01-17 14:15:00,0 W,62.9 W,265 mW,106 mW,26.5 W
2025-01-17 14:15:15,0 W,576 W,522 mW,104 mW,62.4 W
2025-01-17 14:15:30,0 W,538 W,476 mW,0 W,42.7 W
2025-01-17 14:15:45,0 W,427 W,426 mW,85.2 mW,63.8 W
2025-01-17 14:16:00,0 W,83.5 W,238 mW,59.5 mW,30.9 W
2025-01-17 14:16:15,0 W,74.9 W,234 mW,0 W,28.5 W
2025-01-17 14:16:30,0 W,61.6 W,285 mW,56.9 mW,27.9 W
2025-01-17 14:16:45,0 W,141 W,330 mW,66.1 mW,33.6 W
2025-01-17 14:17:00,0 W,66.6 W,171 mW,114 mW,28.4 W
2025-01-17 14:17:15,0 W,63.9 W,263 mW,52.5 mW,26.2 W
2025-01-17 14:17:30,0 W,67.4 W,220 mW,0 W,27.4 W
2025-01-17 14:17:45,0 W,18.9 W,162 mW,64.6 mW,16.1 W
2025-01-17 14:18:00,0 W,66.4 W,178 mW,0 W,21.8 W
2025-01-17 14:18:15,0 W,74.8 W,254 mW,0 W,20.6 W
2025-01-17 14:18:30,0 W,64.2 W,212 mW,42.3 mW,21.0 W
2025-01-17 14:18:45,0 W,83.2 W,256 mW,51.2 mW,25.0 W
2025-01-17 14:19:00,0 W,85.8 W,162 mW,108 mW,26.9 W
2025-01-17 14:19:15,0 W,72.6 W,213 mW,53.2 mW,26.2 W
2025-01-17 14:19:30,0 W,61.1 W,211 mW,52.6 mW,26.3 W
2025-01-17 14:19:45,0 W,65.2 W,329 mW,383 mW,27.3 W
2025-01-17 14:20:00,0 W,314 W,325 mW,0 W,44.8 W
2025-01-17 14:20:15,0 W,549 W,587 mW,0 W,48.0 W
2025-01-17 14:20:30,0 W,564 W,380 mW,94.9 mW,42.8 W
2025-01-17 14:20:45,0 W,150 W,273 mW,68.1 mW,35.1 W
2025-01-17 14:21:00,0 W,71.8 W,519 mW,115 mW,30.5 W
2025-01-17 14:21:15,0 W,60.7 W,281 mW,56.3 mW,28.4 W
2025-01-17 14:21:30,0 W,147 W,280 mW,0 W,35.8 W
2025-01-17 14:21:45,0 W,64.2 W,278 mW,55.7 mW,28.2 W
2025-01-17 14:22:00,0 W,66.5 W,166 mW,0 W,28.4 W
2025-01-17 14:22:15,0 W,64.6 W,325 mW,108 mW,27.0 W
2025-01-17 14:22:30,0 W,49.5 W,141 mW,0 W,23.5 W
