"Time","/bin/busybox","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp","/usr/local/bin/scaphandre","/usr/share/grafana/bin/grafana","/usr/bin/mongod"
2025-01-17 14:19:15,0 B,61.2 MB,0 B,0 B,28.7 kB
2025-01-17 14:19:30,0 B,34.5 MB,0 B,0 B,94.2 kB
2025-01-17 14:19:45,0 B,26.3 MB,0 B,0 B,28.7 kB
2025-01-17 14:20:00,0 B,7.05 MB,0 B,0 B,28.7 kB
2025-01-17 14:20:15,0 B,0 B,0 B,0 B,32.8 kB
2025-01-17 14:20:30,0 B,0 B,0 B,0 B,94.2 kB
2025-01-17 14:20:45,0 B,1.46 GB,0 B,0 B,32.8 kB
2025-01-17 14:21:00,0 B,328 MB,0 B,0 B,36.9 kB
2025-01-17 14:21:15,0 B,5.23 MB,0 B,36.9 kB,36.9 kB
2025-01-17 14:21:30,0 B,58.0 MB,0 B,0 B,102 kB
2025-01-17 14:21:45,0 B,58.1 MB,0 B,0 B,41.0 kB
2025-01-17 14:22:00,0 B,157 MB,0 B,0 B,41.0 kB
2025-01-17 14:22:15,0 B,116 MB,0 B,0 B,41.0 kB
2025-01-17 14:22:30,0 B,330 MB,0 B,0 B,102 kB
2025-01-17 14:22:45,0 B,224 MB,0 B,0 B,45.1 kB
2025-01-17 14:23:00,0 B,237 MB,0 B,0 B,53.2 kB
2025-01-17 14:23:15,0 B,120 MB,0 B,0 B,20.5 kB
2025-01-17 14:23:30,0 B,65.6 MB,0 B,0 B,20.5 kB
2025-01-17 14:23:45,0 B,37.8 MB,0 B,0 B,24.6 kB
2025-01-17 14:24:00,0 B,31.1 MB,0 B,0 B,28.7 kB
2025-01-17 14:24:15,0 B,54.9 MB,0 B,0 B,28.7 kB
2025-01-17 14:24:30,0 B,44.1 MB,0 B,0 B,28.7 kB
2025-01-17 14:24:45,0 B,32.9 MB,0 B,0 B,28.7 kB
2025-01-17 14:25:00,0 B,8.39 MB,0 B,0 B,28.7 kB
2025-01-17 14:25:15,0 B,0 B,0 B,0 B,32.8 kB
2025-01-17 14:25:30,0 B,3.90 MB,0 B,0 B,32.8 kB
2025-01-17 14:25:45,0 B,1.56 GB,0 B,0 B,32.8 kB
2025-01-17 14:26:00,0 B,35.3 MB,0 B,0 B,36.9 kB
2025-01-17 14:26:15,0 B,51.5 MB,0 B,0 B,36.9 kB
2025-01-17 14:26:30,0 B,7.58 MB,0 B,0 B,36.9 kB
2025-01-17 14:26:45,0 B,113 MB,0 B,0 B,41.0 kB
2025-01-17 14:27:00,0 B,152 MB,0 B,0 B,41.0 kB
2025-01-17 14:27:15,0 B,177 MB,0 B,0 B,41.0 kB
2025-01-17 14:27:30,0 B,228 MB,0 B,0 B,41.0 kB
2025-01-17 14:27:45,0 B,309 MB,0 B,0 B,45.1 kB
2025-01-17 14:28:00,0 B,172 MB,0 B,0 B,53.2 kB
2025-01-17 14:28:15,0 B,94.8 MB,0 B,0 B,20.5 kB
2025-01-17 14:28:30,0 B,144 MB,0 B,0 B,20.5 kB
2025-01-17 14:28:45,0 B,120 MB,0 B,0 B,36.9 kB
