"Time","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp","/usr/local/bin/scaphandre","/bin/bash","/usr/share/grafana/bin/grafana","/usr/bin/mongod"
2025-01-17 15:39:15,140 MB,0 B,0 B,0 B,28.7 kB
2025-01-17 15:39:30,222 MB,0 B,0 B,0 B,32.8 kB
2025-01-17 15:39:45,84.1 MB,0 B,0 B,0 B,98.3 kB
2025-01-17 15:40:00,208 MB,0 B,0 B,0 B,32.8 kB
2025-01-17 15:40:15,285 MB,0 B,0 B,0 B,36.9 kB
2025-01-17 15:40:30,261 MB,0 B,0 B,0 B,36.9 kB
2025-01-17 15:40:45,321 MB,0 B,0 B,0 B,102 kB
2025-01-17 15:41:00,220 MB,0 B,0 B,0 B,41.0 kB
2025-01-17 15:41:15,248 MB,0 B,0 B,0 B,41.0 kB
2025-01-17 15:41:30,189 MB,0 B,0 B,0 B,41.0 kB
2025-01-17 15:41:45,221 MB,0 B,0 B,0 B,115 kB
2025-01-17 15:42:00,18.9 MB,0 B,0 B,0 B,45.1 kB
2025-01-17 15:42:15,127 MB,0 B,0 B,0 B,53.2 kB
2025-01-17 15:42:30,77.9 MB,0 B,0 B,0 B,20.5 kB
2025-01-17 15:42:45,56.7 MB,0 B,0 B,0 B,53.2 kB
2025-01-17 15:43:00,43.2 MB,0 B,0 B,0 B,94.2 kB
2025-01-17 15:43:15,33.3 MB,0 B,0 B,0 B,24.6 kB
2025-01-17 15:43:30,22.1 MB,0 B,0 B,0 B,24.6 kB
2025-01-17 15:43:45,8.92 MB,0 B,0 B,0 B,28.7 kB
2025-01-17 15:44:00,21.5 MB,0 B,0 B,0 B,115 kB
2025-01-17 15:44:15,0 B,0 B,0 B,0 B,28.7 kB
2025-01-17 15:44:30,0 B,0 B,0 B,0 B,32.8 kB
2025-01-17 15:44:45,0 B,0 B,0 B,0 B,32.8 kB
2025-01-17 15:45:00,0 B,0 B,0 B,0 B,90.1 kB
2025-01-17 15:45:15,0 B,0 B,0 B,0 B,36.9 kB
2025-01-17 15:45:30,0 B,0 B,0 B,0 B,36.9 kB
2025-01-17 15:45:45,235 MB,0 B,0 B,0 B,36.9 kB
2025-01-17 15:46:00,2.62 GB,0 B,0 B,0 B,160 kB
2025-01-17 15:46:15,220 MB,0 B,0 B,0 B,41.0 kB
2025-01-17 15:46:30,318 MB,0 B,0 B,0 B,41.0 kB
2025-01-17 15:46:45,390 MB,0 B,0 B,0 B,41.0 kB
2025-01-17 15:47:00,231 MB,0 B,0 B,0 B,45.1 kB
2025-01-17 15:47:15,180 MB,0 B,0 B,0 B,53.2 kB
2025-01-17 15:47:30,101 MB,0 B,0 B,0 B,20.5 kB
2025-01-17 15:47:45,48.9 MB,0 B,0 B,0 B,20.5 kB
2025-01-17 15:48:00,39.9 MB,0 B,0 B,28.7 kB,24.6 kB
2025-01-17 15:48:15,75.2 MB,0 B,0 B,0 B,24.6 kB
2025-01-17 15:48:30,82.5 MB,0 B,0 B,0 B,24.6 kB
2025-01-17 15:48:45,105 MB,0 B,0 B,0 B,28.7 kB
