"Time","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp - /opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp-Ww-MBasageffcbf-MHasageffcbf-MBlmbcs512-MHlmbcs512-MMmcs30-pcunicode-P1048576-t5000000-stbtdb-zdbbl128000-sbwtnone-sbwtdcpunone-sbwtdionone-Bi---root/opt/erlang/lib/erlang-bindir/opt/erlang/lib/erlang/erts-14.2.5/bin-prognameerl---home/var/lib/rabbitmq---pa-noshell-noinput-srabbitboot-bootstart_sasl-sysloglogger[]-syslogsyslog_error_loggerfalse-kernelprevent_overlapping_partitionsfalse","/usr/local/bin/scaphandre - /usr/local/bin/scaphandreprometheus","/bin/bash - bash/usr/local/bin/docker-entrypoint.shrabbitmq-server","/usr/bin/mongod - mongod--auth--bind_ip_all"
2024-12-19 13:05:30,446 mW,124 mW,0 W,12.5 W
2024-12-19 13:05:45,695 mW,99.3 mW,0 W,12.5 W
2024-12-19 13:06:00,1.07 W,465 mW,0 W,10.7 W
2024-12-19 13:06:15,1.09 W,472 mW,0 W,10.8 W
2024-12-19 13:06:30,1.52 W,368 mW,0 W,10.5 W
2024-12-19 13:06:45,2.00 W,483 mW,0 W,10.6 W
2024-12-19 13:07:00,2.25 W,515 mW,0 W,10.8 W
2024-12-19 13:07:15,2.58 W,516 mW,0 W,10.9 W
2024-12-19 13:07:30,2.66 W,428 mW,0 W,11.0 W
2024-12-19 13:07:45,3.22 W,552 mW,0 W,11.2 W
2024-12-19 13:08:00,3.28 W,77.4 mW,0 W,13.0 W
2024-12-19 13:08:15,3.19 W,102 mW,0 W,12.9 W
2024-12-19 13:08:30,2.89 W,126 mW,0 W,12.6 W
2024-12-19 13:08:45,3.22 W,101 mW,0 W,12.7 W
2024-12-19 13:09:00,2.97 W,103 mW,0 W,12.9 W
2024-12-19 13:09:15,2.98 W,101 mW,0 W,12.6 W
2024-12-19 13:09:30,3.23 W,100 mW,0 W,12.3 W
2024-12-19 13:09:45,3.08 W,278 mW,0 W,12.5 W
2024-12-19 13:10:00,2.84 W,538 mW,0 W,11.3 W
2024-12-19 13:10:15,2.24 W,477 mW,0 W,11.0 W
2024-12-19 13:10:30,2.83 W,552 mW,0 W,11.1 W
2024-12-19 13:10:45,3.13 W,385 mW,0 W,11.2 W
2024-12-19 13:11:00,3.20 W,561 mW,0 W,11.3 W
2024-12-19 13:11:15,2.84 W,510 mW,0 W,11.3 W
2024-12-19 13:11:30,2.62 W,388 mW,0 W,11.2 W
2024-12-19 13:11:45,3.11 W,590 mW,0 W,10.9 W
2024-12-19 13:12:00,3.24 W,129 mW,0 W,12.9 W
2024-12-19 13:12:15,3.16 W,103 mW,0 W,12.8 W
2024-12-19 13:12:30,3.17 W,128 mW,0 W,12.8 W
2024-12-19 13:12:45,3.12 W,104 mW,0 W,13.1 W
2024-12-19 13:13:00,3.76 W,76.2 mW,0 W,12.8 W
2024-12-19 13:13:15,3.95 W,153 mW,0 W,12.8 W
2024-12-19 13:13:30,3.81 W,153 mW,0 W,12.9 W
2024-12-19 13:13:45,3.63 W,102 mW,0 W,12.9 W
2024-12-19 13:14:00,3.62 W,240 mW,0 W,11.0 W
2024-12-19 13:14:15,2.95 W,503 mW,0 W,11.1 W
2024-12-19 13:14:30,2.73 W,455 mW,0 W,11.1 W
2024-12-19 13:14:45,3.33 W,383 mW,0 W,11.1 W
2024-12-19 13:15:00,3.08 W,461 mW,0 W,11.2 W
2024-12-19 13:15:15,3.16 W,406 mW,0 W,11.1 W
2024-12-19 13:15:30,3.20 W,168 mW,0 W,11.2 W
2024-12-19 13:15:45,3.56 W,677 mW,0 W,11.3 W
2024-12-19 13:16:00,3.65 W,129 mW,0 W,13.0 W
2024-12-19 13:16:15,3.38 W,102 mW,0 W,12.9 W
2024-12-19 13:16:30,3.76 W,154 mW,0 W,12.9 W
2024-12-19 13:16:45,3.66 W,130 mW,0 W,13.1 W
2024-12-19 13:17:00,3.19 W,130 mW,0 W,13.0 W
2024-12-19 13:17:15,3.08 W,128 mW,0 W,12.9 W
2024-12-19 13:17:30,3.06 W,103 mW,0 W,13.0 W
2024-12-19 13:17:45,2.95 W,103 mW,0 W,12.8 W
2024-12-19 13:18:00,3.09 W,335 mW,0 W,11.1 W
2024-12-19 13:18:15,3.60 W,453 mW,0 W,11.1 W
2024-12-19 13:18:30,3.17 W,576 mW,0 W,11.2 W
2024-12-19 13:18:45,3.59 W,361 mW,0 W,11.2 W
2024-12-19 13:19:00,3.83 W,485 mW,0 W,11.3 W
2024-12-19 13:19:15,3.42 W,489 mW,0 W,11.3 W
2024-12-19 13:19:30,3.84 W,384 mW,0 W,11.1 W
2024-12-19 13:19:45,3.59 W,409 mW,0 W,11.2 W
2024-12-19 13:20:00,3.10 W,77.4 mW,0 W,12.8 W
2024-12-19 13:20:15,3.65 W,152 mW,0 W,12.6 W
2024-12-19 13:20:30,3.45 W,103 mW,0 W,13.0 W
2024-12-19 13:20:45,2.84 W,103 mW,0 W,13.0 W
2024-12-19 13:21:00,3.40 W,128 mW,0 W,12.8 W
2024-12-19 13:21:15,2.74 W,103 mW,0 W,12.9 W
2024-12-19 13:21:30,3.87 W,76.8 mW,0 W,12.9 W
2024-12-19 13:21:45,3.83 W,252 mW,0 W,12.3 W
2024-12-19 13:22:00,3.55 W,235 mW,0 W,10.8 W
