"Time","core","dram"
2024-12-17 19:02:30,10.0 W,4.51 W
2024-12-17 19:03:00,13.3 W,4.98 W
2024-12-17 19:03:30,23.1 W,6.40 W
2024-12-17 19:04:00,29.9 W,6.98 W
2024-12-17 19:04:30,26.9 W,6.63 W
2024-12-17 19:05:00,27.0 W,6.69 W
2024-12-17 19:05:30,30.4 W,6.94 W
2024-12-17 19:06:00,30.5 W,6.73 W
2024-12-17 19:06:30,33.5 W,7.05 W
2024-12-17 19:07:00,36.4 W,7.21 W
2024-12-17 19:07:30,28.4 W,6.48 W
2024-12-17 19:08:00,30.9 W,7.02 W
2024-12-17 19:08:30,27.1 W,6.34 W
2024-12-17 19:09:00,18.6 W,4.99 W
2024-12-17 19:09:30,26.0 W,6.26 W
2024-12-17 19:10:00,28.9 W,6.49 W
2024-12-17 19:10:30,28.5 W,6.45 W
2024-12-17 19:11:00,27.9 W,6.38 W
2024-12-17 19:11:30,28.0 W,6.43 W
2024-12-17 19:12:00,27.7 W,6.36 W
2024-12-17 19:12:30,63.7 W,10.1 W
2024-12-17 19:13:00,29.9 W,6.48 W
2024-12-17 19:13:30,28.9 W,6.10 W
2024-12-17 19:14:00,28.3 W,6.38 W
2024-12-17 19:14:30,27.8 W,6.26 W
2024-12-17 19:15:00,27.4 W,6.27 W
2024-12-17 19:15:30,32.6 W,6.74 W
2024-12-17 19:16:00,28.4 W,6.41 W
2024-12-17 19:16:30,32.3 W,6.71 W
2024-12-17 19:17:00,26.4 W,6.42 W
2024-12-17 19:17:30,63.5 W,9.91 W
2024-12-17 19:18:00,50.2 W,10.1 W
2024-12-17 19:18:30,29.7 W,6.21 W
2024-12-17 19:19:00,36.9 W,7.18 W
2024-12-17 19:19:30,27.7 W,6.39 W
2024-12-17 19:20:00,17.1 W,5.24 W
2024-12-17 19:20:30,28.6 W,6.30 W
2024-12-17 19:21:00,30.9 W,6.58 W
2024-12-17 19:21:30,26.6 W,6.38 W
2024-12-17 19:22:00,64.2 W,9.91 W
2024-12-17 19:22:30,30.6 W,6.48 W
2024-12-17 19:23:00,29.7 W,6.34 W
2024-12-17 19:23:30,27.2 W,6.28 W
2024-12-17 19:24:00,30.5 W,6.18 W
2024-12-17 19:24:30,28.9 W,6.31 W
2024-12-17 19:25:00,28.4 W,6.51 W
2024-12-17 19:25:30,26.0 W,6.38 W
2024-12-17 19:26:00,27.2 W,6.46 W
2024-12-17 19:26:30,64.8 W,9.88 W
2024-12-17 19:27:00,31.0 W,6.81 W
2024-12-17 19:27:30,29.9 W,6.44 W
2024-12-17 19:28:00,27.7 W,6.37 W
2024-12-17 19:28:30,21.1 W,5.22 W
2024-12-17 19:29:00,29.6 W,6.28 W
2024-12-17 19:29:30,29.4 W,6.54 W
2024-12-17 19:30:00,27.1 W,6.43 W
2024-12-17 19:30:30,62.5 W,9.87 W
2024-12-17 19:31:00,30.2 W,6.38 W
2024-12-17 19:31:30,29.9 W,6.60 W
2024-12-17 19:32:00,27.8 W,6.36 W
