"Time","/bin/busybox - /bin/sh/opt/rabbitmq/sbin/rabbitmq-server","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp - /opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp-Ww-MBasageffcbf-MHasageffcbf-MBlmbcs512-MHlmbcs512-MMmcs30-pcunicode-P1048576-t5000000-stbtdb-zdbbl128000-sbwtnone-sbwtdcpunone-sbwtdionone-Bi---root/opt/erlang/lib/erlang-bindir/opt/erlang/lib/erlang/erts-14.2.5/bin-prognameerl---home/var/lib/rabbitmq---pa-noshell-noinput-srabbitboot-bootstart_sasl-sysloglogger[]-syslogsyslog_error_loggerfalse-kernelprevent_overlapping_partitionsfalse","/usr/local/bin/scaphandre - /usr/local/bin/scaphandreprometheus","/usr/bin/mongod - mongod--auth--bind_ip_all"
2024-12-18 14:15:00,0 W,324 mW,209 mW,10.9 W
2024-12-18 14:15:15,0 W,216 mW,71.9 mW,11.8 W
2024-12-18 14:15:30,0 W,343 mW,123 mW,12.4 W
2024-12-18 14:15:45,0 W,271 mW,98.4 mW,12.4 W
2024-12-18 14:16:00,0 W,1.04 W,99.1 mW,12.5 W
2024-12-18 14:16:15,0 W,1.20 W,99.9 mW,12.6 W
2024-12-18 14:16:30,0 W,2.11 W,75.4 mW,12.7 W
2024-12-18 14:16:45,0 W,2.52 W,102 mW,12.8 W
2024-12-18 14:17:00,0 W,2.96 W,406 mW,11.2 W
2024-12-18 14:17:15,0 W,2.96 W,478 mW,11.2 W
2024-12-18 14:17:30,0 W,4.00 W,361 mW,11.3 W
2024-12-18 14:17:45,0 W,3.98 W,314 mW,11.2 W
2024-12-18 14:18:00,0 W,4.98 W,489 mW,11.4 W
2024-12-18 14:18:15,0 W,5.30 W,559 mW,11.3 W
2024-12-18 14:18:30,0 W,5.29 W,296 mW,11.6 W
2024-12-18 14:18:45,0 W,5.35 W,685 mW,11.4 W
2024-12-18 14:19:00,0 W,5.54 W,172 mW,11.5 W
2024-12-18 14:19:15,0 W,5.60 W,459 mW,12.5 W
2024-12-18 14:19:30,0 W,5.26 W,130 mW,13.1 W
2024-12-18 14:19:45,0 W,5.12 W,51.4 mW,13.0 W
2024-12-18 14:20:00,0 W,5.17 W,130 mW,13.0 W
2024-12-18 14:20:15,0 W,5.56 W,78.3 mW,13.2 W
