"Time","/bin/busybox - /bin/sh/opt/rabbitmq/sbin/rabbitmq-server","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp - /opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp-Ww-MBasageffcbf-MHasageffcbf-MBlmbcs512-MHlmbcs512-MMmcs30-pcunicode-P1048576-t5000000-stbtdb-zdbbl128000-sbwtnone-sbwtdcpunone-sbwtdionone-Bi---root/opt/erlang/lib/erlang-bindir/opt/erlang/lib/erlang/erts-14.2.5/bin-prognameerl---home/var/lib/rabbitmq---pa-noshell-noinput-srabbitboot-bootstart_sasl-sysloglogger[]-syslogsyslog_error_loggerfalse-kernelprevent_overlapping_partitionsfalse","/usr/local/bin/scaphandre - /usr/local/bin/scaphandreprometheus","/usr/share/grafana/bin/grafana - grafanaserver--homepath=/usr/share/grafana--config=/etc/grafana/grafana.ini--packaging=dockercfg:default.log.mode=consolecfg:default.paths.data=/var/lib/grafanacfg:default.paths.logs=/var/log/grafanacfg:default.paths.plugins=/var/lib/grafana/pluginscfg:default.paths.provisioning=/etc/grafana/provisioning","/usr/bin/mongod - mongod--auth--bind_ip_all"
2025-01-17 11:55:15,0 W,233 mW,466 mW,0 W,10.6 W
2025-01-17 11:55:30,0 W,1.26 W,500 mW,23.8 mW,10.9 W
2025-01-17 11:55:45,0 W,6.10 W,496 mW,49.6 mW,11.4 W
2025-01-17 11:56:00,0 W,8.51 W,507 mW,0 W,11.8 W
2025-01-17 11:56:15,0 W,12.7 W,339 mW,52.1 mW,12.3 W
2025-01-17 11:56:30,0 W,14.3 W,448 mW,26.4 mW,12.5 W
2025-01-17 11:56:45,0 W,15.1 W,637 mW,53.1 mW,12.7 W
2025-01-17 11:57:00,0 W,16.4 W,367 mW,26.2 mW,12.3 W
2025-01-17 11:57:15,0 W,16.2 W,139 mW,27.8 mW,14.0 W
2025-01-17 11:57:30,0 W,16.8 W,111 mW,55.4 mW,13.9 W
2025-01-17 11:57:45,0 W,16.9 W,111 mW,55.3 mW,13.9 W
2025-01-17 11:58:00,0 W,17.1 W,139 mW,27.7 mW,13.9 W
2025-01-17 11:58:15,0 W,17.3 W,139 mW,55.5 mW,13.9 W
2025-01-17 11:58:30,0 W,17.0 W,112 mW,28.1 mW,14.1 W
2025-01-17 11:58:45,0 W,17.4 W,55.7 mW,27.8 mW,14.0 W
2025-01-17 11:59:00,0 W,16.8 W,167 mW,27.8 mW,13.9 W
2025-01-17 11:59:15,0 W,17.2 W,112 mW,28.0 mW,14.1 W
2025-01-17 11:59:30,0 W,16.6 W,111 mW,0 W,13.9 W
2025-01-17 11:59:45,0 W,17.7 W,451 mW,26.5 mW,12.5 W
2025-01-17 12:00:00,0 W,16.4 W,533 mW,0 W,12.7 W
2025-01-17 12:00:15,0 W,17.0 W,485 mW,0 W,12.8 W
2025-01-17 12:00:30,0 W,17.6 W,512 mW,26.9 mW,12.9 W
2025-01-17 12:00:45,0 W,15.8 W,563 mW,53.7 mW,12.8 W
2025-01-17 12:01:00,0 W,16.5 W,503 mW,0 W,12.5 W
2025-01-17 12:01:15,0 W,15.6 W,608 mW,52.9 mW,12.5 W
2025-01-17 12:01:30,0 W,16.9 W,344 mW,26.5 mW,12.5 W
2025-01-17 12:01:45,0 W,16.6 W,395 mW,52.7 mW,12.5 W
2025-01-17 12:02:00,0 W,16.7 W,510 mW,26.8 mW,12.8 W
2025-01-17 12:02:15,0 W,17.1 W,687 mW,26.4 mW,12.4 W
2025-01-17 12:02:30,0 W,15.9 W,561 mW,26.7 mW,12.7 W
2025-01-17 12:02:45,0 W,15.9 W,139 mW,27.9 mW,14.0 W
2025-01-17 12:03:00,0 W,16.1 W,55.9 mW,55.9 mW,14.1 W
2025-01-17 12:03:15,0 W,16.4 W,82.8 mW,55.2 mW,13.9 W
2025-01-17 12:03:30,0 W,17.1 W,140 mW,28.0 mW,14.1 W
2025-01-17 12:03:45,0 W,17.0 W,84.1 mW,28.0 mW,14.1 W
2025-01-17 12:04:00,0 W,15.0 W,140 mW,28.1 mW,14.1 W
2025-01-17 12:04:15,0 W,15.7 W,112 mW,27.9 mW,14.1 W
2025-01-17 12:04:30,0 W,14.7 W,138 mW,27.6 mW,13.6 W
2025-01-17 12:04:45,0 W,15.2 W,111 mW,27.9 mW,14.0 W
2025-01-17 12:05:00,0 W,15.7 W,112 mW,28.0 mW,14.1 W
2025-01-17 12:05:15,0 W,14.8 W,112 mW,28.1 mW,14.1 W
2025-01-17 12:05:30,0 W,16.0 W,371 mW,26.5 mW,12.4 W
2025-01-17 12:05:45,0 W,11.3 W,267 mW,26.7 mW,12.6 W
2025-01-17 12:06:00,0 W,15.2 W,616 mW,26.8 mW,12.7 W
2025-01-17 12:06:15,0 W,15.5 W,566 mW,26.9 mW,12.8 W
2025-01-17 12:06:30,0 W,15.0 W,480 mW,213 mW,12.6 W
2025-01-17 12:06:45,0 W,14.3 W,455 mW,26.8 mW,12.7 W
2025-01-17 12:07:00,0 W,16.8 W,320 mW,26.7 mW,12.4 W
2025-01-17 12:07:15,0 W,17.1 W,450 mW,52.9 mW,12.5 W
2025-01-17 12:07:30,0 W,13.0 W,588 mW,26.7 mW,12.7 W
2025-01-17 12:07:45,0 W,16.7 W,397 mW,26.5 mW,12.5 W
2025-01-17 12:08:00,0 W,14.8 W,483 mW,26.8 mW,12.6 W
2025-01-17 12:08:15,0 W,14.8 W,111 mW,55.7 mW,14.0 W
2025-01-17 12:08:30,0 W,15.8 W,84.3 mW,28.1 mW,14.2 W
2025-01-17 12:08:45,0 W,16.0 W,83.3 mW,27.8 mW,14.0 W
2025-01-17 12:09:00,0 W,16.7 W,111 mW,27.7 mW,14.0 W
2025-01-17 12:09:15,0 W,16.0 W,111 mW,27.9 mW,14.0 W
2025-01-17 12:09:30,0 W,15.9 W,139 mW,27.8 mW,13.9 W
2025-01-17 12:09:45,0 W,15.7 W,112 mW,28.0 mW,14.0 W
2025-01-17 12:10:00,0 W,16.2 W,139 mW,0 W,14.0 W
2025-01-17 12:10:15,0 W,16.3 W,112 mW,28.0 mW,14.1 W
2025-01-17 12:10:30,0 W,15.2 W,112 mW,28.1 mW,14.1 W
2025-01-17 12:10:45,0 W,16.5 W,427 mW,26.7 mW,12.6 W
2025-01-17 12:11:00,0 W,15.3 W,536 mW,0 W,12.6 W
2025-01-17 12:11:15,0 W,13.0 W,349 mW,0 W,12.7 W
2025-01-17 12:11:30,0 W,13.8 W,348 mW,214 mW,12.6 W
2025-01-17 12:11:45,0 W,15.5 W,676 mW,27.1 mW,12.9 W
2025-01-17 12:12:00,0 W,16.3 W,458 mW,27.0 mW,12.7 W
2025-01-17 12:12:15,0 W,15.9 W,400 mW,26.6 mW,12.5 W
2025-01-17 12:12:30,0 W,16.3 W,456 mW,26.8 mW,12.6 W
2025-01-17 12:12:45,0 W,16.2 W,135 mW,26.9 mW,12.8 W
2025-01-17 12:13:00,0 W,15.7 W,188 mW,26.9 mW,12.7 W
2025-01-17 12:13:15,0 W,17.5 W,107 mW,26.9 mW,12.7 W
2025-01-17 12:13:30,0 W,17.7 W,84.3 mW,56.2 mW,14.2 W
2025-01-17 12:13:45,0 W,17.6 W,140 mW,56.1 mW,14.2 W
2025-01-17 12:14:00,0 W,17.1 W,111 mW,27.8 mW,14.0 W
2025-01-17 12:14:15,0 W,16.5 W,112 mW,55.8 mW,14.1 W
2025-01-17 12:14:30,0 W,15.7 W,112 mW,112 mW,14.1 W
2025-01-17 12:14:45,0 W,16.1 W,83.7 mW,0 W,14.0 W
2025-01-17 12:15:00,0 W,16.4 W,112 mW,55.8 mW,14.0 W
2025-01-17 12:15:15,0 W,14.7 W,111 mW,0 W,14.0 W
2025-01-17 12:15:30,0 W,14.4 W,110 mW,27.6 mW,13.9 W
2025-01-17 12:15:45,0 W,16.1 W,113 mW,0 W,14.1 W
2025-01-17 12:16:00,0 W,14.8 W,327 mW,27.3 mW,13.3 W
2025-01-17 12:16:15,0 W,17.0 W,482 mW,26.8 mW,12.6 W
2025-01-17 12:16:30,0 W,16.5 W,406 mW,0 W,13.0 W
2025-01-17 12:16:45,0 W,15.1 W,509 mW,0 W,12.7 W
2025-01-17 12:17:00,0 W,17.3 W,295 mW,26.8 mW,12.8 W
2025-01-17 12:17:15,0 W,16.4 W,619 mW,26.9 mW,12.8 W
2025-01-17 12:17:30,0 W,17.0 W,431 mW,26.9 mW,12.8 W
2025-01-17 12:17:45,0 W,17.3 W,511 mW,26.9 mW,12.7 W
2025-01-17 12:18:00,0 W,16.7 W,429 mW,26.8 mW,12.8 W
2025-01-17 12:18:15,0 W,16.3 W,561 mW,26.7 mW,12.6 W
2025-01-17 12:18:30,0 W,16.2 W,401 mW,53.5 mW,12.6 W
2025-01-17 12:18:45,0 W,15.3 W,460 mW,27.1 mW,12.9 W
2025-01-17 12:19:00,0 W,16.1 W,55.4 mW,27.7 mW,13.9 W
2025-01-17 12:19:15,0 W,14.9 W,167 mW,27.8 mW,14.0 W
2025-01-17 12:19:30,0 W,15.6 W,109 mW,54.7 mW,13.6 W
2025-01-17 12:19:45,0 W,15.2 W,83.9 mW,55.9 mW,14.1 W
2025-01-17 12:20:00,0 W,16.9 W,112 mW,27.9 mW,14.0 W
2025-01-17 12:20:15,0 W,16.2 W,112 mW,28.0 mW,14.0 W
2025-01-17 12:20:30,0 W,16.9 W,111 mW,55.5 mW,13.7 W
2025-01-17 12:20:45,0 W,16.5 W,170 mW,0 W,14.2 W
2025-01-17 12:21:00,0 W,16.1 W,138 mW,55.4 mW,13.7 W
2025-01-17 12:21:15,0 W,17.0 W,83.6 mW,27.9 mW,13.9 W
2025-01-17 12:21:30,0 W,17.0 W,140 mW,28.0 mW,14.1 W
2025-01-17 12:21:45,0 W,17.1 W,351 mW,27.0 mW,12.9 W
2025-01-17 12:22:00,0 W,17.5 W,538 mW,26.9 mW,12.7 W
2025-01-17 12:22:15,0 W,17.0 W,429 mW,0 W,12.8 W
2025-01-17 12:22:30,0 W,15.6 W,371 mW,26.5 mW,12.5 W
2025-01-17 12:22:45,0 W,17.7 W,295 mW,0 W,12.8 W
2025-01-17 12:23:00,0 W,15.9 W,454 mW,26.7 mW,12.7 W
2025-01-17 12:23:15,0 W,16.6 W,402 mW,0 W,12.8 W
2025-01-17 12:23:30,0 W,15.8 W,512 mW,53.9 mW,12.8 W
2025-01-17 12:23:45,0 W,16.3 W,515 mW,27.1 mW,12.9 W
2025-01-17 12:24:00,0 W,15.2 W,566 mW,0 W,12.9 W
2025-01-17 12:24:15,0 W,16.9 W,324 mW,27.0 mW,12.9 W
2025-01-17 12:24:30,0 W,17.0 W,571 mW,54.4 mW,13.0 W
2025-01-17 12:24:45,0 W,17.0 W,419 mW,55.9 mW,13.8 W
2025-01-17 12:25:00,0 W,16.6 W,110 mW,27.6 mW,13.6 W
2025-01-17 12:25:15,0 W,16.3 W,113 mW,595 mW,14.3 W
