"Time","core","dram"
2024-12-19 15:15:30,10.0 W,4.55 W
2024-12-19 15:16:00,10.8 W,4.59 W
2024-12-19 15:16:30,11.2 W,4.64 W
2024-12-19 15:17:00,11.4 W,4.66 W
2024-12-19 15:17:30,12.0 W,4.71 W
2024-12-19 15:18:00,12.3 W,4.72 W
2024-12-19 15:18:30,12.3 W,4.72 W
2024-12-19 15:19:00,12.0 W,4.74 W
2024-12-19 15:19:30,11.9 W,4.72 W
2024-12-19 15:20:00,12.5 W,4.72 W
2024-12-19 15:20:30,11.5 W,4.68 W
2024-12-19 15:21:00,11.5 W,4.67 W
2024-12-19 15:21:30,11.5 W,4.65 W
2024-12-19 15:22:00,11.5 W,4.66 W
2024-12-19 15:22:30,11.4 W,4.67 W
2024-12-19 15:23:00,11.7 W,4.68 W
2024-12-19 15:23:30,12.1 W,4.72 W
2024-12-19 15:24:00,12.4 W,4.71 W
2024-12-19 15:24:30,12.2 W,4.71 W
2024-12-19 15:25:00,12.3 W,4.75 W
2024-12-19 15:25:30,12.4 W,4.71 W
2024-12-19 15:26:00,11.3 W,4.67 W
2024-12-19 15:26:30,11.5 W,4.68 W
2024-12-19 15:27:00,11.3 W,4.67 W
2024-12-19 15:27:30,11.5 W,4.69 W
2024-12-19 15:28:00,11.2 W,4.70 W
2024-12-19 15:28:30,12.3 W,4.74 W
2024-12-19 15:29:00,11.8 W,4.71 W
2024-12-19 15:29:30,12.1 W,4.72 W
2024-12-19 15:30:00,12.3 W,4.77 W
2024-12-19 15:30:30,12.2 W,4.73 W
2024-12-19 15:31:00,11.5 W,4.69 W
2024-12-19 15:31:30,11.2 W,4.67 W
2024-12-19 15:32:00,11.2 W,4.68 W
2024-12-19 15:32:30,11.2 W,4.69 W
2024-12-19 15:33:00,11.6 W,4.69 W
2024-12-19 15:33:30,11.7 W,4.70 W
2024-12-19 15:34:00,12.1 W,4.72 W
2024-12-19 15:34:30,12.2 W,4.71 W
2024-12-19 15:35:00,12.2 W,4.74 W
2024-12-19 15:35:30,12.2 W,4.74 W
