Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
x_topic_3_50,x_topic_3_50_topic_0,169522,0,8,9.447793507627342,0.08399999999999999,131.23000000000002,0.0,94.18772999456233,0.0,8,10,12,13,17,22,28,33,70,89,130
x_topic_3_50,x_topic_3_50_topic_1,170091,0,8,9.453431433761926,0.11299999999999999,130.78500000000003,0.0,94.50387078081371,0.0,8,10,12,13,17,22,28,33,69,87,130
x_topic_3_50,x_topic_3_50_topic_2,170890,0,8,9.446653794838788,0.054,150.929,0.0,94.94780134006652,0.0,8,10,12,13,17,22,28,33,73,90,150
,Aggregated,510503,0,8,9.449290452749555,0.054,150.929,0.0,283.6394021154426,0.0,8,10,12,13,17,22,28,33,70,88,150
