"Time","/bin/busybox - /bin/sh/opt/rabbitmq/sbin/rabbitmq-server","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp - /opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp-Ww-MBasageffcbf-MHasageffcbf-MBlmbcs512-MHlmbcs512-MMmcs30-pcunicode-P1048576-t5000000-stbtdb-zdbbl128000-sbwtnone-sbwtdcpunone-sbwtdionone-Bi---root/opt/erlang/lib/erlang-bindir/opt/erlang/lib/erlang/erts-14.2.5/bin-prognameerl---home/var/lib/rabbitmq---pa-noshell-noinput-srabbitboot-bootstart_sasl-sysloglogger[]-syslogsyslog_error_loggerfalse-kernelprevent_overlapping_partitionsfalse","/usr/local/bin/scaphandre - /usr/local/bin/scaphandreprometheus","/usr/share/grafana/bin/grafana - grafanaserver--homepath=/usr/share/grafana--config=/etc/grafana/grafana.ini--packaging=dockercfg:default.log.mode=consolecfg:default.paths.data=/var/lib/grafanacfg:default.paths.logs=/var/log/grafanacfg:default.paths.plugins=/var/lib/grafana/pluginscfg:default.paths.provisioning=/etc/grafana/provisioning","/usr/bin/mongod - mongod--auth--bind_ip_all"
2025-01-17 17:59:45,0 W,4.97 W,80.1 mW,53.4 mW,13.4 W
2025-01-17 18:00:00,0 W,4.86 W,53.4 mW,0 W,13.4 W
2025-01-17 18:00:15,0 W,4.32 W,523 mW,26.2 mW,12.3 W
2025-01-17 18:00:30,0 W,4.40 W,432 mW,76.3 mW,11.9 W
2025-01-17 18:00:45,0 W,4.44 W,301 mW,25.1 mW,11.8 W
2025-01-17 18:01:00,0 W,5.15 W,578 mW,25.1 mW,11.7 W
2025-01-17 18:01:15,0 W,4.72 W,525 mW,25.0 mW,11.6 W
2025-01-17 18:01:30,0 W,4.71 W,409 mW,25.6 mW,12.0 W
2025-01-17 18:01:45,0 W,4.51 W,473 mW,49.8 mW,11.7 W
2025-01-17 18:02:00,0 W,4.22 W,400 mW,25.0 mW,11.7 W
2025-01-17 18:02:15,0 W,4.01 W,449 mW,24.9 mW,11.6 W
2025-01-17 18:02:30,0 W,5.13 W,309 mW,258 mW,12.6 W
2025-01-17 18:02:45,0 W,5.23 W,107 mW,53.3 mW,13.5 W
2025-01-17 18:03:00,0 W,4.97 W,54.3 mW,217 mW,13.7 W
2025-01-17 18:03:15,0 W,4.44 W,133 mW,26.6 mW,13.4 W
2025-01-17 18:03:30,0 W,4.88 W,80.5 mW,26.8 mW,13.5 W
2025-01-17 18:03:45,0 W,4.22 W,80.2 mW,0 W,13.4 W
2025-01-17 18:04:00,0 W,4.66 W,132 mW,26.5 mW,13.3 W
2025-01-17 18:04:15,0 W,4.43 W,105 mW,0 W,13.3 W
2025-01-17 18:04:30,0 W,4.43 W,286 mW,104 mW,12.9 W
2025-01-17 18:04:45,0 W,4.56 W,303 mW,50.4 mW,11.7 W
2025-01-17 18:05:00,0 W,4.21 W,706 mW,25.2 mW,11.8 W
2025-01-17 18:05:15,0 W,4.12 W,481 mW,0 W,11.9 W
2025-01-17 18:05:30,0 W,4.32 W,328 mW,50.5 mW,11.8 W
2025-01-17 18:05:45,0 W,4.89 W,621 mW,49.7 mW,11.5 W
2025-01-17 18:06:00,0 W,4.59 W,277 mW,25.2 mW,11.7 W
2025-01-17 18:06:15,0 W,4.30 W,525 mW,25.0 mW,11.7 W
2025-01-17 18:06:30,0 W,4.42 W,432 mW,356 mW,11.9 W
2025-01-17 18:06:45,0 W,4.42 W,185 mW,26.4 mW,13.2 W
2025-01-17 18:07:00,0 W,4.64 W,133 mW,26.5 mW,13.4 W
2025-01-17 18:07:15,0 W,5.23 W,53.9 mW,27.0 mW,13.6 W
