"Time","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp - /opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp-Ww-MBasageffcbf-MHasageffcbf-MBlmbcs512-MHlmbcs512-MMmcs30-pcunicode-P1048576-t5000000-stbtdb-zdbbl128000-sbwtnone-sbwtdcpunone-sbwtdionone-Bi---root/opt/erlang/lib/erlang-bindir/opt/erlang/lib/erlang/erts-14.2.5/bin-prognameerl---home/var/lib/rabbitmq---pa-noshell-noinput-srabbitboot-bootstart_sasl-sysloglogger[]-syslogsyslog_error_loggerfalse-kernelprevent_overlapping_partitionsfalse","/usr/local/bin/scaphandre - /usr/local/bin/scaphandreprometheus","/bin/bash - bash/usr/local/bin/docker-entrypoint.shrabbitmq-server","/usr/bin/mongod - mongod--auth--bind_ip_all"
2024-12-19 17:06:30,95.7 mW,95.7 mW,0 W,12.0 W
2024-12-19 17:06:45,855 mW,122 mW,0 W,12.3 W
2024-12-19 17:07:00,2.66 W,103 mW,0 W,13.0 W
2024-12-19 17:07:15,5.18 W,128 mW,0 W,12.8 W
2024-12-19 17:07:30,6.91 W,501 mW,0 W,11.1 W
2024-12-19 17:07:45,7.50 W,498 mW,0 W,11.0 W
2024-12-19 17:08:00,7.65 W,435 mW,0 W,11.2 W
2024-12-19 17:08:15,6.88 W,557 mW,0 W,11.4 W
2024-12-19 17:08:30,7.77 W,245 mW,0 W,11.4 W
2024-12-19 17:08:45,7.07 W,585 mW,0 W,11.4 W
2024-12-19 17:09:00,8.11 W,342 mW,0 W,11.4 W
2024-12-19 17:09:15,7.24 W,641 mW,0 W,11.5 W
2024-12-19 17:09:30,6.66 W,268 mW,0 W,11.4 W
2024-12-19 17:09:45,7.08 W,103 mW,0 W,13.0 W
2024-12-19 17:10:00,7.45 W,104 mW,0 W,13.1 W
2024-12-19 17:10:15,7.09 W,128 mW,0 W,12.8 W
2024-12-19 17:10:30,6.91 W,102 mW,0 W,12.8 W
2024-12-19 17:10:45,6.03 W,76.7 mW,0 W,12.9 W
2024-12-19 17:11:00,7.06 W,76.2 mW,0 W,12.8 W
2024-12-19 17:11:15,6.99 W,154 mW,0 W,12.9 W
2024-12-19 17:11:30,4.86 W,176 mW,0 W,12.1 W
2024-12-19 17:11:45,6.75 W,521 mW,0 W,10.9 W
2024-12-19 17:12:00,7.51 W,546 mW,0 W,11.0 W
2024-12-19 17:12:15,7.23 W,530 mW,0 W,11.2 W
2024-12-19 17:12:30,7.77 W,386 mW,0 W,11.2 W
2024-12-19 17:12:45,7.45 W,481 mW,0 W,11.2 W
2024-12-19 17:13:00,7.68 W,559 mW,0 W,11.3 W
2024-12-19 17:13:15,7.73 W,413 mW,0 W,11.4 W
2024-12-19 17:13:30,7.87 W,562 mW,0 W,11.4 W
2024-12-19 17:13:45,8.12 W,411 mW,0 W,12.6 W
2024-12-19 17:14:00,7.90 W,129 mW,0 W,13.0 W
2024-12-19 17:14:15,7.56 W,128 mW,0 W,12.9 W
2024-12-19 17:14:30,7.03 W,130 mW,0 W,13.1 W
2024-12-19 17:14:45,7.25 W,75.8 mW,0 W,12.6 W
2024-12-19 17:15:00,6.62 W,105 mW,0 W,13.2 W
2024-12-19 17:15:15,7.46 W,102 mW,0 W,12.8 W
2024-12-19 17:15:30,6.54 W,103 mW,0 W,12.9 W
2024-12-19 17:15:45,7.78 W,293 mW,0 W,11.4 W
2024-12-19 17:16:00,7.78 W,506 mW,0 W,11.3 W
2024-12-19 17:16:15,7.30 W,632 mW,0 W,11.4 W
2024-12-19 17:16:30,7.51 W,579 mW,0 W,11.2 W
2024-12-19 17:16:45,7.02 W,463 mW,0 W,11.4 W
2024-12-19 17:17:00,7.28 W,509 mW,0 W,11.3 W
2024-12-19 17:17:15,7.91 W,556 mW,0 W,11.2 W
2024-12-19 17:17:30,8.29 W,435 mW,0 W,11.2 W
2024-12-19 17:17:45,7.12 W,464 mW,0 W,11.3 W
2024-12-19 17:18:00,7.52 W,51.2 mW,0 W,12.9 W
2024-12-19 17:18:15,7.68 W,103 mW,0 W,13.0 W
2024-12-19 17:18:30,8.44 W,129 mW,0 W,13.0 W
2024-12-19 17:18:45,7.88 W,103 mW,0 W,13.0 W
2024-12-19 17:19:00,7.96 W,130 mW,0 W,13.1 W
2024-12-19 17:19:15,7.79 W,78.4 mW,0 W,13.1 W
2024-12-19 17:19:30,7.66 W,51.9 mW,0 W,13.1 W
2024-12-19 17:19:45,7.71 W,129 mW,0 W,12.9 W
2024-12-19 17:20:00,8.43 W,173 mW,0 W,11.6 W
2024-12-19 17:20:15,8.18 W,614 mW,0 W,11.5 W
2024-12-19 17:20:30,8.45 W,540 mW,0 W,11.4 W
2024-12-19 17:20:45,7.83 W,465 mW,0 W,11.4 W
2024-12-19 17:21:00,7.97 W,611 mW,0 W,11.5 W
2024-12-19 17:21:15,7.37 W,560 mW,0 W,11.3 W
2024-12-19 17:21:30,7.64 W,368 mW,0 W,11.5 W
2024-12-19 17:21:45,7.13 W,437 mW,0 W,11.3 W
2024-12-19 17:22:00,7.84 W,490 mW,0 W,11.4 W
2024-12-19 17:22:15,7.59 W,398 mW,0 W,11.9 W
2024-12-19 17:22:30,7.80 W,103 mW,0 W,13.0 W
2024-12-19 17:22:45,7.55 W,76.8 mW,0 W,12.9 W
2024-12-19 17:23:00,8.05 W,104 mW,0 W,13.1 W
