"Time","core","dram"
2024-12-19 14:40:30,11.0 W,4.60 W
2024-12-19 14:41:00,11.4 W,4.62 W
2024-12-19 14:41:30,10.8 W,4.59 W
2024-12-19 14:42:00,11.3 W,4.59 W
2024-12-19 14:42:30,11.0 W,4.58 W
2024-12-19 14:43:00,11.0 W,4.59 W
2024-12-19 14:43:30,10.8 W,4.59 W
2024-12-19 14:44:00,11.7 W,4.66 W
2024-12-19 14:44:30,11.7 W,4.63 W
2024-12-19 14:45:00,11.9 W,4.66 W
2024-12-19 14:45:30,11.9 W,4.64 W
2024-12-19 14:46:00,11.2 W,4.60 W
2024-12-19 14:46:30,10.9 W,4.59 W
2024-12-19 14:47:00,10.8 W,4.60 W
2024-12-19 14:47:30,11.0 W,4.59 W
2024-12-19 14:48:00,11.0 W,4.60 W
2024-12-19 14:48:30,11.8 W,4.63 W
2024-12-19 14:49:00,11.9 W,4.65 W
2024-12-19 14:49:30,11.7 W,4.63 W
2024-12-19 14:50:00,11.8 W,4.66 W
2024-12-19 14:50:30,11.5 W,4.63 W
2024-12-19 14:51:00,11.0 W,4.61 W
2024-12-19 14:51:30,10.9 W,4.62 W
2024-12-19 14:52:00,11.0 W,4.62 W
2024-12-19 14:52:30,10.8 W,4.60 W
2024-12-19 14:53:00,11.3 W,4.61 W
2024-12-19 14:53:30,11.6 W,4.65 W
2024-12-19 14:54:00,11.8 W,4.67 W
2024-12-19 14:54:30,11.7 W,4.65 W
2024-12-19 14:55:00,11.9 W,4.69 W
2024-12-19 14:55:30,11.0 W,4.62 W
2024-12-19 14:56:00,11.1 W,4.62 W
2024-12-19 14:56:30,10.9 W,4.60 W
2024-12-19 14:57:00,11.1 W,4.62 W
2024-12-19 14:57:30,10.9 W,4.60 W
2024-12-19 14:58:00,12.0 W,4.68 W
2024-12-19 14:58:30,11.5 W,4.64 W
2024-12-19 14:59:00,11.8 W,4.66 W
2024-12-19 14:59:30,11.8 W,4.65 W
2024-12-19 15:00:00,12.0 W,4.69 W
2024-12-19 15:00:30,11.0 W,4.62 W
2024-12-19 15:01:00,11.2 W,4.63 W
2024-12-19 15:01:30,11.1 W,4.60 W
2024-12-19 15:02:00,11.2 W,4.64 W
2024-12-19 15:02:30,11.2 W,4.61 W
2024-12-19 15:03:00,11.9 W,4.66 W
2024-12-19 15:03:30,11.8 W,4.66 W
2024-12-19 15:04:00,12.0 W,4.66 W
2024-12-19 15:04:30,11.7 W,4.65 W
2024-12-19 15:05:00,11.7 W,4.68 W
2024-12-19 15:05:30,11.0 W,4.60 W
2024-12-19 15:06:00,11.1 W,4.63 W
2024-12-19 15:06:30,11.0 W,4.60 W
2024-12-19 15:07:00,11.2 W,4.61 W
2024-12-19 15:07:30,10.9 W,4.62 W
2024-12-19 15:08:00,11.9 W,4.67 W
2024-12-19 15:08:30,11.6 W,4.66 W
2024-12-19 15:09:00,11.8 W,4.68 W
2024-12-19 15:09:30,11.7 W,4.66 W
2024-12-19 15:10:00,11.2 W,4.65 W
2024-12-19 15:10:30,10.4 W,4.58 W
