"Time","/bin/busybox - /bin/sh/opt/rabbitmq/sbin/rabbitmq-server","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp - /opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp-Ww-MBasageffcbf-MHasageffcbf-MBlmbcs512-MHlmbcs512-MMmcs30-pcunicode-P1048576-t5000000-stbtdb-zdbbl128000-sbwtnone-sbwtdcpunone-sbwtdionone-Bi---root/opt/erlang/lib/erlang-bindir/opt/erlang/lib/erlang/erts-14.2.5/bin-prognameerl---home/var/lib/rabbitmq---pa-noshell-noinput-srabbitboot-bootstart_sasl-sysloglogger[]-syslogsyslog_error_loggerfalse-kernelprevent_overlapping_partitionsfalse","/usr/local/bin/scaphandre - /usr/local/bin/scaphandreprometheus","/usr/bin/mongod - mongod--auth--bind_ip_all"
2024-12-19 12:45:45,0 W,3.13 W,103 mW,13.0 W
2024-12-19 12:46:00,0 W,3.15 W,102 mW,12.9 W
2024-12-19 12:46:15,0 W,2.76 W,103 mW,13.0 W
2024-12-19 12:46:30,0 W,3.05 W,103 mW,12.9 W
2024-12-19 12:46:45,0 W,3.00 W,77.0 mW,13.0 W
2024-12-19 12:47:00,0 W,2.93 W,500 mW,10.9 W
2024-12-19 12:47:15,0 W,3.00 W,480 mW,11.0 W
2024-12-19 12:47:30,0 W,2.68 W,502 mW,11.0 W
2024-12-19 12:47:45,0 W,2.99 W,478 mW,11.0 W
2024-12-19 12:48:00,0 W,2.75 W,431 mW,11.0 W
2024-12-19 12:48:15,0 W,2.80 W,530 mW,11.1 W
2024-12-19 12:48:30,0 W,2.40 W,485 mW,11.2 W
2024-12-19 12:48:45,0 W,2.43 W,486 mW,11.2 W
2024-12-19 12:49:00,0 W,3.01 W,128 mW,12.9 W
2024-12-19 12:49:15,0 W,2.95 W,103 mW,12.9 W
2024-12-19 12:49:30,0 W,2.59 W,127 mW,12.6 W
2024-12-19 12:49:45,0 W,2.56 W,127 mW,12.7 W
2024-12-19 12:50:00,0 W,2.84 W,128 mW,12.8 W
2024-12-19 12:50:15,0 W,2.72 W,77.0 mW,13.0 W
2024-12-19 12:50:30,0 W,2.41 W,77.6 mW,13.0 W
2024-12-19 12:50:45,0 W,2.49 W,220 mW,11.6 W
2024-12-19 12:51:00,0 W,2.69 W,595 mW,10.9 W
2024-12-19 12:51:15,0 W,2.71 W,311 mW,11.1 W
2024-12-19 12:51:30,0 W,2.78 W,546 mW,11.0 W
2024-12-19 12:51:45,0 W,2.94 W,479 mW,11.0 W
2024-12-19 12:52:00,0 W,3.01 W,611 mW,10.8 W
2024-12-19 12:52:15,0 W,2.78 W,527 mW,11.1 W
2024-12-19 12:52:30,0 W,3.24 W,381 mW,11.0 W
2024-12-19 12:52:45,0 W,3.31 W,348 mW,12.0 W
2024-12-19 12:53:00,0 W,2.72 W,130 mW,13.0 W
2024-12-19 12:53:15,0 W,3.55 W,77.8 mW,13.1 W
2024-12-19 12:53:30,0 W,2.66 W,76.8 mW,12.9 W
2024-12-19 12:53:45,0 W,3.14 W,127 mW,12.8 W
2024-12-19 12:54:00,0 W,2.95 W,77.6 mW,12.9 W
2024-12-19 12:54:15,0 W,2.12 W,151 mW,12.7 W
2024-12-19 12:54:30,0 W,993 mW,218 mW,11.6 W
2024-12-19 12:54:45,0 W,1.15 W,517 mW,10.7 W
2024-12-19 12:55:00,0 W,1.50 W,446 mW,10.7 W
2024-12-19 12:55:15,0 W,908 mW,303 mW,10.6 W
2024-12-19 12:55:30,0 W,1.33 W,444 mW,10.6 W
