"Time","core","dram"
2024-12-19 12:25:30,10.4 W,4.55 W
2024-12-19 12:26:00,10.8 W,4.59 W
2024-12-19 12:26:30,11.3 W,4.60 W
2024-12-19 12:27:00,11.4 W,4.61 W
2024-12-19 12:27:30,10.7 W,4.57 W
2024-12-19 12:28:00,10.5 W,4.57 W
2024-12-19 12:28:30,10.4 W,4.56 W
2024-12-19 12:29:00,10.5 W,4.56 W
2024-12-19 12:29:30,10.6 W,4.59 W
2024-12-19 12:30:00,11.4 W,4.63 W
2024-12-19 12:30:30,11.4 W,4.63 W
2024-12-19 12:31:00,11.6 W,4.62 W
2024-12-19 12:31:30,10.5 W,4.57 W
2024-12-19 12:32:00,10.6 W,4.56 W
2024-12-19 12:32:30,10.3 W,4.56 W
2024-12-19 12:33:00,10.5 W,4.57 W
2024-12-19 12:33:30,11.3 W,4.62 W
2024-12-19 12:34:00,11.2 W,4.61 W
2024-12-19 12:34:30,11.3 W,4.62 W
2024-12-19 12:35:00,11.4 W,4.63 W
2024-12-19 12:35:30,10.5 W,4.57 W
2024-12-19 12:36:00,10.7 W,4.56 W
2024-12-19 12:36:30,10.5 W,4.56 W
2024-12-19 12:37:00,10.4 W,4.56 W
2024-12-19 12:37:30,11.4 W,4.63 W
2024-12-19 12:38:00,11.6 W,4.64 W
2024-12-19 12:38:30,11.6 W,4.64 W
2024-12-19 12:39:00,11.6 W,4.63 W
2024-12-19 12:39:30,10.3 W,4.57 W
2024-12-19 12:40:00,10.5 W,4.57 W
2024-12-19 12:40:30,10.2 W,4.57 W
2024-12-19 12:41:00,10.4 W,4.56 W
2024-12-19 12:41:30,11.4 W,4.62 W
2024-12-19 12:42:00,11.6 W,4.64 W
2024-12-19 12:42:30,11.4 W,4.64 W
2024-12-19 12:43:00,11.1 W,4.62 W
2024-12-19 12:43:30,10.4 W,4.57 W
2024-12-19 12:44:00,10.4 W,4.58 W
2024-12-19 12:44:30,10.5 W,4.59 W
2024-12-19 12:45:00,10.7 W,4.61 W
2024-12-19 12:45:30,11.3 W,4.63 W
2024-12-19 12:46:00,11.5 W,4.64 W
2024-12-19 12:46:30,11.5 W,4.63 W
2024-12-19 12:47:00,10.4 W,4.58 W
2024-12-19 12:47:30,10.4 W,4.57 W
2024-12-19 12:48:00,10.5 W,4.57 W
2024-12-19 12:48:30,10.7 W,4.56 W
2024-12-19 12:49:00,11.4 W,4.63 W
2024-12-19 12:49:30,11.3 W,4.63 W
2024-12-19 12:50:00,11.4 W,4.65 W
2024-12-19 12:50:30,11.7 W,4.64 W
2024-12-19 12:51:00,10.4 W,4.57 W
2024-12-19 12:51:30,10.4 W,4.57 W
2024-12-19 12:52:00,10.2 W,4.58 W
2024-12-19 12:52:30,10.4 W,4.58 W
2024-12-19 12:53:00,11.7 W,4.63 W
2024-12-19 12:53:30,11.5 W,4.64 W
2024-12-19 12:54:00,11.7 W,4.63 W
2024-12-19 12:54:30,10.7 W,4.58 W
2024-12-19 12:55:00,10.2 W,4.57 W
2024-12-19 12:55:30,10.1 W,4.57 W
