"Time","/bin/busybox","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp","/usr/local/bin/scaphandre","/usr/bin/mongod"
2024-12-19 12:52:15,0 B,0 B,0 B,0 B
2024-12-19 12:52:30,0 B,0 B,0 B,0 B
2024-12-19 12:52:45,0 B,0 B,0 B,0 B
2024-12-19 12:53:00,0 B,0 B,0 B,0 B
2024-12-19 12:53:15,0 B,0 B,0 B,0 B
2024-12-19 12:53:30,0 B,0 B,0 B,0 B
2024-12-19 12:53:45,0 B,0 B,0 B,0 B
2024-12-19 12:54:00,0 B,0 B,0 B,0 B
2024-12-19 12:54:15,0 B,0 B,0 B,0 B
2024-12-19 12:54:30,0 B,0 B,0 B,0 B
2024-12-19 12:54:45,0 B,0 B,0 B,0 B
2024-12-19 12:55:00,0 B,0 B,0 B,0 B
2024-12-19 12:55:15,0 B,0 B,0 B,0 B
2024-12-19 12:55:30,0 B,0 B,0 B,0 B
