"Time","/bin/busybox - /bin/sh/opt/rabbitmq/sbin/rabbitmq-server","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp - /opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp-Ww-MBasageffcbf-MHasageffcbf-MBlmbcs512-MHlmbcs512-MMmcs30-pcunicode-P1048576-t5000000-stbtdb-zdbbl128000-sbwtnone-sbwtdcpunone-sbwtdionone-Bi---root/opt/erlang/lib/erlang-bindir/opt/erlang/lib/erlang/erts-14.2.5/bin-prognameerl---home/var/lib/rabbitmq---pa-noshell-noinput-srabbitboot-bootstart_sasl-sysloglogger[]-syslogsyslog_error_loggerfalse-kernelprevent_overlapping_partitionsfalse","/usr/local/bin/scaphandre - /usr/local/bin/scaphandreprometheus","/usr/bin/mongod - mongod--auth--bind_ip_all"
2024-12-18 15:34:00,0 W,170 mW,121 mW,12.2 W
2024-12-18 15:34:15,0 W,122 mW,97.9 mW,12.3 W
2024-12-18 15:34:30,0 W,94.3 mW,141 mW,11.4 W
2024-12-18 15:34:45,0 W,158 mW,451 mW,10.2 W
2024-12-18 15:35:00,0 W,547 mW,433 mW,10.2 W
2024-12-18 15:35:15,0 W,454 mW,340 mW,10.2 W
2024-12-18 15:35:30,0 W,1.03 W,552 mW,10.4 W
2024-12-18 15:35:45,0 W,1.20 W,414 mW,10.4 W
2024-12-18 15:36:00,0 W,1.55 W,417 mW,10.5 W
2024-12-18 15:36:15,0 W,1.46 W,268 mW,11.8 W
2024-12-18 15:36:30,0 W,1.23 W,125 mW,12.6 W
2024-12-18 15:36:45,0 W,1.22 W,99.8 mW,12.6 W
2024-12-18 15:37:00,0 W,1.25 W,97.8 mW,12.2 W
2024-12-18 15:37:15,0 W,1.39 W,127 mW,12.8 W
2024-12-18 15:37:30,0 W,1.37 W,97.9 mW,12.4 W
2024-12-18 15:37:45,0 W,1.34 W,191 mW,11.4 W
2024-12-18 15:38:00,0 W,1.36 W,329 mW,10.8 W
2024-12-18 15:38:15,0 W,1.38 W,538 mW,10.6 W
2024-12-18 15:38:30,0 W,1.30 W,433 mW,10.3 W
2024-12-18 15:38:45,0 W,1.40 W,642 mW,10.5 W
2024-12-18 15:39:00,0 W,1.49 W,490 mW,10.7 W
2024-12-18 15:39:15,0 W,1.36 W,468 mW,10.6 W
2024-12-18 15:39:30,0 W,1.49 W,75.8 mW,12.7 W
2024-12-18 15:39:45,0 W,1.34 W,99.0 mW,12.5 W
2024-12-18 15:40:00,0 W,1.39 W,74.5 mW,12.5 W
2024-12-18 15:40:15,0 W,1.39 W,122 mW,12.3 W
2024-12-18 15:40:30,0 W,1.40 W,100.0 mW,12.6 W
2024-12-18 15:40:45,0 W,1.36 W,149 mW,12.5 W
2024-12-18 15:41:00,0 W,1.32 W,336 mW,11.7 W
2024-12-18 15:41:15,0 W,1.31 W,438 mW,10.5 W
2024-12-18 15:41:30,0 W,1.44 W,465 mW,10.6 W
2024-12-18 15:41:45,0 W,1.31 W,583 mW,10.7 W
2024-12-18 15:42:00,0 W,1.50 W,514 mW,10.7 W
2024-12-18 15:42:15,0 W,1.25 W,501 mW,10.4 W
2024-12-18 15:42:30,0 W,1.21 W,524 mW,10.4 W
2024-12-18 15:42:45,0 W,1.36 W,384 mW,10.2 W
2024-12-18 15:43:00,0 W,1.33 W,123 mW,12.4 W
2024-12-18 15:43:15,0 W,1.33 W,100 mW,12.6 W
2024-12-18 15:43:30,0 W,1.17 W,102 mW,12.7 W
2024-12-18 15:43:45,0 W,1.32 W,99.5 mW,12.5 W
2024-12-18 15:44:00,0 W,1.34 W,74.2 mW,12.5 W
2024-12-18 15:44:15,0 W,1.33 W,100 mW,12.6 W
2024-12-18 15:44:30,0 W,1.33 W,459 mW,10.5 W
2024-12-18 15:44:45,0 W,1.22 W,598 mW,10.5 W
2024-12-18 15:45:00,0 W,1.25 W,544 mW,10.3 W
2024-12-18 15:45:15,0 W,1.19 W,458 mW,10.4 W
2024-12-18 15:45:30,0 W,1.26 W,511 mW,10.6 W
2024-12-18 15:45:45,0 W,1.25 W,431 mW,10.2 W
2024-12-18 15:46:00,0 W,1.34 W,455 mW,10.3 W
2024-12-18 15:46:15,0 W,1.30 W,312 mW,11.6 W
2024-12-18 15:46:30,0 W,1.28 W,75.1 mW,12.5 W
2024-12-18 15:46:45,0 W,1.31 W,98.6 mW,12.3 W
2024-12-18 15:47:00,0 W,1.33 W,126 mW,12.6 W
2024-12-18 15:47:15,0 W,1.46 W,126 mW,12.7 W
2024-12-18 15:47:30,0 W,1.33 W,126 mW,12.7 W
2024-12-18 15:47:45,0 W,1.31 W,126 mW,12.7 W
2024-12-18 15:48:00,0 W,1.28 W,319 mW,10.3 W
2024-12-18 15:48:15,0 W,1.31 W,620 mW,10.4 W
2024-12-18 15:48:30,0 W,1.31 W,458 mW,10.4 W
2024-12-18 15:48:45,0 W,1.35 W,518 mW,10.2 W
2024-12-18 15:49:00,0 W,1.49 W,632 mW,10.2 W
2024-12-18 15:49:15,0 W,1.35 W,320 mW,10.3 W
2024-12-18 15:49:30,0 W,1.46 W,317 mW,12.2 W
2024-12-18 15:49:45,0 W,1.27 W,124 mW,12.5 W
2024-12-18 15:50:00,0 W,1.38 W,50.3 mW,12.7 W
2024-12-18 15:50:15,0 W,1.23 W,151 mW,12.7 W
2024-12-18 15:50:30,0 W,1.27 W,74.6 mW,12.5 W
2024-12-18 15:50:45,0 W,1.26 W,101 mW,12.7 W
2024-12-18 15:51:00,0 W,1.36 W,299 mW,10.5 W
2024-12-18 15:51:15,0 W,1.25 W,364 mW,10.4 W
2024-12-18 15:51:30,0 W,1.31 W,281 mW,10.6 W
2024-12-18 15:51:45,0 W,1.31 W,445 mW,10.6 W
