"Time","/bin/busybox - /bin/sh/opt/rabbitmq/sbin/rabbitmq-server","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp - /opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp-Ww-MBasageffcbf-MHasageffcbf-MBlmbcs512-MHlmbcs512-MMmcs30-pcunicode-P1048576-t5000000-stbtdb-zdbbl128000-sbwtnone-sbwtdcpunone-sbwtdionone-Bi---root/opt/erlang/lib/erlang-bindir/opt/erlang/lib/erlang/erts-14.2.5/bin-prognameerl---home/var/lib/rabbitmq---pa-noshell-noinput-srabbitboot-bootstart_sasl-sysloglogger[]-syslogsyslog_error_loggerfalse-kernelprevent_overlapping_partitionsfalse","/usr/local/bin/scaphandre - /usr/local/bin/scaphandreprometheus","/usr/bin/mongod - mongod--auth--bind_ip_all"
2024-12-18 16:19:45,0 W,391 mW,299 mW,10.5 W
2024-12-18 16:20:00,0 W,368 mW,391 mW,10.5 W
2024-12-18 16:20:15,0 W,1.38 W,446 mW,10.9 W
2024-12-18 16:20:30,0 W,2.30 W,569 mW,11.0 W
2024-12-18 16:20:45,0 W,2.67 W,476 mW,11.1 W
2024-12-18 16:21:00,0 W,1.68 W,330 mW,11.0 W
2024-12-18 16:21:15,0 W,1.54 W,122 mW,11.8 W
2024-12-18 16:21:30,0 W,1.59 W,50.4 mW,12.7 W
2024-12-18 16:21:45,0 W,1.81 W,100 mW,12.7 W
2024-12-18 16:22:00,0 W,1.57 W,123 mW,12.3 W
2024-12-18 16:22:15,0 W,1.70 W,125 mW,12.6 W
2024-12-18 16:22:30,0 W,1.69 W,101 mW,12.7 W
2024-12-18 16:22:45,0 W,1.79 W,101 mW,12.7 W
2024-12-18 16:23:00,0 W,1.85 W,337 mW,11.4 W
2024-12-18 16:23:15,0 W,1.82 W,349 mW,10.7 W
2024-12-18 16:23:30,0 W,2.12 W,494 mW,10.8 W
2024-12-18 16:23:45,0 W,2.17 W,471 mW,10.9 W
2024-12-18 16:24:00,0 W,2.53 W,474 mW,10.9 W
2024-12-18 16:24:15,0 W,2.65 W,310 mW,11.0 W
2024-12-18 16:24:30,0 W,2.98 W,480 mW,11.2 W
2024-12-18 16:24:45,0 W,2.62 W,543 mW,11.0 W
2024-12-18 16:25:00,0 W,2.32 W,338 mW,11.6 W
2024-12-18 16:25:15,0 W,2.34 W,126 mW,12.6 W
2024-12-18 16:25:30,0 W,2.43 W,101 mW,12.7 W
2024-12-18 16:25:45,0 W,2.34 W,151 mW,12.7 W
2024-12-18 16:26:00,0 W,1.89 W,99.3 mW,12.5 W
2024-12-18 16:26:15,0 W,1.90 W,100 mW,12.6 W
2024-12-18 16:26:30,0 W,1.97 W,125 mW,12.6 W
2024-12-18 16:26:45,0 W,2.00 W,100 mW,12.6 W
2024-12-18 16:27:00,0 W,1.80 W,237 mW,10.9 W
2024-12-18 16:27:15,0 W,2.06 W,685 mW,10.9 W
2024-12-18 16:27:30,0 W,1.85 W,600 mW,10.6 W
2024-12-18 16:27:45,0 W,2.04 W,374 mW,10.8 W
2024-12-18 16:28:00,0 W,1.91 W,326 mW,10.7 W
2024-12-18 16:28:15,0 W,1.93 W,377 mW,10.9 W
2024-12-18 16:28:30,0 W,1.86 W,376 mW,10.9 W
2024-12-18 16:28:45,0 W,2.17 W,699 mW,10.8 W
2024-12-18 16:29:00,0 W,2.34 W,263 mW,11.2 W
2024-12-18 16:29:15,0 W,2.32 W,150 mW,12.6 W
2024-12-18 16:29:30,0 W,2.24 W,75.5 mW,12.7 W
2024-12-18 16:29:45,0 W,2.67 W,124 mW,12.2 W
2024-12-18 16:30:00,0 W,2.40 W,74.9 mW,12.5 W
2024-12-18 16:30:15,0 W,2.11 W,126 mW,12.6 W
2024-12-18 16:30:30,0 W,2.21 W,152 mW,12.8 W
2024-12-18 16:30:45,0 W,2.31 W,100 mW,12.6 W
2024-12-18 16:31:00,0 W,1.85 W,121 mW,11.8 W
2024-12-18 16:31:15,0 W,2.10 W,426 mW,10.9 W
