"Time","/bin/busybox","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp","/usr/local/bin/scaphandre","/usr/bin/mongod"
2024-12-18 16:19:45,0 B,0 B,0 B,0 B
2024-12-18 16:20:00,0 B,0 B,0 B,0 B
2024-12-18 16:20:15,0 B,0 B,0 B,0 B
2024-12-18 16:20:30,0 B,0 B,0 B,0 B
2024-12-18 16:20:45,0 B,0 B,0 B,0 B
2024-12-18 16:21:00,0 B,0 B,0 B,0 B
2024-12-18 16:21:15,0 B,0 B,0 B,0 B
2024-12-18 16:21:30,0 B,0 B,0 B,0 B
2024-12-18 16:21:45,0 B,0 B,0 B,0 B
2024-12-18 16:22:00,0 B,0 B,0 B,0 B
2024-12-18 16:22:15,0 B,0 B,0 B,0 B
2024-12-18 16:22:30,0 B,0 B,0 B,0 B
2024-12-18 16:22:45,0 B,0 B,0 B,0 B
2024-12-18 16:23:00,0 B,0 B,0 B,0 B
2024-12-18 16:23:15,0 B,0 B,0 B,0 B
2024-12-18 16:23:30,0 B,0 B,0 B,0 B
2024-12-18 16:23:45,0 B,0 B,0 B,0 B
2024-12-18 16:24:00,0 B,0 B,0 B,0 B
2024-12-18 16:24:15,0 B,0 B,0 B,0 B
2024-12-18 16:24:30,0 B,0 B,0 B,0 B
2024-12-18 16:24:45,0 B,0 B,0 B,0 B
2024-12-18 16:25:00,0 B,0 B,0 B,0 B
2024-12-18 16:25:15,0 B,0 B,0 B,0 B
2024-12-18 16:25:30,0 B,0 B,0 B,0 B
2024-12-18 16:25:45,0 B,0 B,0 B,0 B
2024-12-18 16:26:00,0 B,0 B,0 B,0 B
2024-12-18 16:26:15,0 B,0 B,0 B,0 B
2024-12-18 16:26:30,0 B,0 B,0 B,0 B
2024-12-18 16:26:45,0 B,0 B,0 B,0 B
2024-12-18 16:27:00,0 B,0 B,0 B,0 B
2024-12-18 16:27:15,0 B,0 B,0 B,0 B
2024-12-18 16:27:30,0 B,0 B,0 B,0 B
2024-12-18 16:27:45,0 B,0 B,0 B,0 B
2024-12-18 16:28:00,0 B,0 B,0 B,0 B
2024-12-18 16:28:15,0 B,0 B,0 B,0 B
2024-12-18 16:28:30,0 B,0 B,0 B,0 B
2024-12-18 16:28:45,0 B,0 B,0 B,0 B
2024-12-18 16:29:00,0 B,0 B,0 B,0 B
2024-12-18 16:29:15,0 B,0 B,0 B,0 B
2024-12-18 16:29:30,0 B,0 B,0 B,0 B
2024-12-18 16:29:45,0 B,0 B,0 B,0 B
