"Time","/bin/busybox - /bin/sh/opt/rabbitmq/sbin/rabbitmq-server","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp - /opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp-Ww-MBasageffcbf-MHasageffcbf-MBlmbcs512-MHlmbcs512-MMmcs30-pcunicode-P1048576-t5000000-stbtdb-zdbbl128000-sbwtnone-sbwtdcpunone-sbwtdionone-Bi---root/opt/erlang/lib/erlang-bindir/opt/erlang/lib/erlang/erts-14.2.5/bin-prognameerl---home/var/lib/rabbitmq---pa-noshell-noinput-srabbitboot-bootstart_sasl-sysloglogger[]-syslogsyslog_error_loggerfalse-kernelprevent_overlapping_partitionsfalse","/usr/local/bin/scaphandre - /usr/local/bin/scaphandreprometheus","/usr/share/grafana/bin/grafana - grafanaserver--homepath=/usr/share/grafana--config=/etc/grafana/grafana.ini--packaging=dockercfg:default.log.mode=consolecfg:default.paths.data=/var/lib/grafanacfg:default.paths.logs=/var/log/grafanacfg:default.paths.plugins=/var/lib/grafana/pluginscfg:default.paths.provisioning=/etc/grafana/provisioning","/usr/bin/mongod - mongod--auth--bind_ip_all"
2025-01-17 18:21:15,0 W,1.28 W,116 mW,12.9 mW,45.1 mW
2025-01-17 18:21:30,0 W,1.99 W,518 mW,27.3 mW,15.6 W
2025-01-17 18:21:45,0 W,1.79 W,557 mW,24.2 mW,11.3 W
2025-01-17 18:22:00,0 W,2.83 W,431 mW,23.9 mW,11.0 W
2025-01-17 18:22:15,0 W,3.02 W,507 mW,24.1 mW,11.2 W
2025-01-17 18:22:30,0 W,2.92 W,486 mW,0 W,11.3 W
2025-01-17 18:22:45,0 W,2.63 W,458 mW,48.2 mW,11.1 W
2025-01-17 18:23:00,0 W,2.63 W,463 mW,0 W,11.4 W
2025-01-17 18:23:15,0 W,2.60 W,554 mW,24.1 mW,11.2 W
2025-01-17 18:23:30,0 W,3.15 W,223 mW,24.8 mW,11.6 W
2025-01-17 18:23:45,0 W,2.29 W,105 mW,26.3 mW,13.2 W
2025-01-17 18:24:00,0 W,2.34 W,105 mW,52.6 mW,13.2 W
2025-01-17 18:24:15,0 W,2.48 W,78.3 mW,26.1 mW,13.2 W
2025-01-17 18:24:30,0 W,2.85 W,131 mW,26.2 mW,13.3 W
2025-01-17 18:24:45,0 W,2.26 W,156 mW,0 W,13.1 W
2025-01-17 18:25:00,0 W,2.41 W,104 mW,26.0 mW,13.1 W
2025-01-17 18:25:15,0 W,2.60 W,104 mW,26.0 mW,13.1 W
2025-01-17 18:25:30,0 W,2.64 W,103 mW,25.6 mW,13.0 W
2025-01-17 18:25:45,0 W,2.50 W,533 mW,0 W,11.2 W
2025-01-17 18:26:00,0 W,2.71 W,488 mW,48.8 mW,11.3 W
2025-01-17 18:26:15,0 W,2.39 W,482 mW,24.1 mW,11.1 W
2025-01-17 18:26:30,0 W,2.89 W,465 mW,24.5 mW,11.3 W
2025-01-17 18:26:45,0 W,2.61 W,488 mW,24.4 mW,11.3 W
2025-01-17 18:27:00,0 W,2.45 W,515 mW,49.1 mW,11.3 W
2025-01-17 18:27:15,0 W,2.49 W,660 mW,24.4 mW,11.2 W
2025-01-17 18:27:30,0 W,3.11 W,194 mW,24.3 mW,11.3 W
2025-01-17 18:27:45,0 W,2.70 W,104 mW,26.0 mW,13.1 W
2025-01-17 18:28:00,0 W,2.21 W,104 mW,52.0 mW,13.1 W
2025-01-17 18:28:15,0 W,2.61 W,104 mW,26.1 mW,13.1 W
2025-01-17 18:28:30,0 W,2.82 W,132 mW,26.3 mW,13.3 W
2025-01-17 18:28:45,0 W,2.70 W,132 mW,0 W,13.4 W
2025-01-17 18:29:00,0 W,2.50 W,104 mW,52.0 mW,13.1 W
2025-01-17 18:29:15,0 W,2.56 W,256 mW,25.6 mW,12.6 W
2025-01-17 18:29:30,0 W,2.63 W,362 mW,24.2 mW,11.2 W
2025-01-17 18:29:45,0 W,2.51 W,695 mW,24.8 mW,11.4 W
2025-01-17 18:30:00,0 W,2.63 W,491 mW,24.5 mW,11.3 W
2025-01-17 18:30:15,0 W,2.98 W,315 mW,24.2 mW,11.1 W
2025-01-17 18:30:30,0 W,3.16 W,641 mW,24.7 mW,11.4 W
2025-01-17 18:30:45,0 W,2.81 W,587 mW,48.9 mW,11.3 W
2025-01-17 18:31:00,0 W,2.88 W,342 mW,24.4 mW,11.3 W
2025-01-17 18:31:15,0 W,2.71 W,222 mW,49.3 mW,11.5 W
2025-01-17 18:31:30,0 W,2.90 W,130 mW,26.1 mW,13.2 W
2025-01-17 18:31:45,0 W,2.57 W,106 mW,26.5 mW,13.3 W
