"Time","core","dram"
2024-12-19 17:41:30,10.8 W,4.58 W
2024-12-19 17:42:00,10.7 W,4.59 W
2024-12-19 17:42:30,10.0 W,4.52 W
2024-12-19 17:43:00,10.3 W,4.54 W
2024-12-19 17:43:30,10.5 W,4.54 W
2024-12-19 17:44:00,11.3 W,4.60 W
2024-12-19 17:44:30,11.5 W,4.61 W
2024-12-19 17:45:00,11.4 W,4.59 W
2024-12-19 17:45:30,11.1 W,4.59 W
2024-12-19 17:46:00,10.1 W,4.53 W
2024-12-19 17:46:30,10.4 W,4.54 W
2024-12-19 17:47:00,10.3 W,4.53 W
2024-12-19 17:47:30,10.8 W,4.55 W
2024-12-19 17:48:00,11.4 W,4.60 W
2024-12-19 17:48:30,11.1 W,4.61 W
2024-12-19 17:49:00,11.3 W,4.60 W
2024-12-19 17:49:30,10.2 W,4.53 W
2024-12-19 17:50:00,10.1 W,4.54 W
2024-12-19 17:50:30,10.6 W,4.54 W
2024-12-19 17:51:00,10.2 W,4.54 W
2024-12-19 17:51:30,11.1 W,4.59 W
2024-12-19 17:52:00,10.9 W,4.58 W
2024-12-19 17:52:30,11.3 W,4.61 W
2024-12-19 17:53:00,10.2 W,4.54 W
2024-12-19 17:53:30,10.1 W,4.53 W
2024-12-19 17:54:00,10.2 W,4.53 W
2024-12-19 17:54:30,10.0 W,4.52 W
2024-12-19 17:55:00,11.2 W,4.61 W
2024-12-19 17:55:30,11.3 W,4.60 W
2024-12-19 17:56:00,11.3 W,4.61 W
2024-12-19 17:56:30,10.3 W,4.53 W
2024-12-19 17:57:00,10.4 W,4.54 W
2024-12-19 17:57:30,10.2 W,4.54 W
2024-12-19 17:58:00,10.1 W,4.53 W
2024-12-19 17:58:30,11.3 W,4.59 W
2024-12-19 17:59:00,11.5 W,4.60 W
2024-12-19 17:59:30,11.3 W,4.59 W
2024-12-19 18:00:00,10.8 W,4.55 W
2024-12-19 18:00:30,10.3 W,4.55 W
2024-12-19 18:01:00,10.2 W,4.52 W
2024-12-19 18:01:30,10.1 W,4.52 W
2024-12-19 18:02:00,11.4 W,4.60 W
2024-12-19 18:02:30,11.1 W,4.60 W
2024-12-19 18:03:00,11.0 W,4.60 W
2024-12-19 18:03:30,11.1 W,4.59 W
2024-12-19 18:04:00,10.2 W,4.54 W
2024-12-19 18:04:30,10.5 W,4.53 W
2024-12-19 18:05:00,10.3 W,4.55 W
2024-12-19 18:05:30,10.8 W,4.59 W
2024-12-19 18:06:00,11.3 W,4.59 W
2024-12-19 18:06:30,11.1 W,4.59 W
2024-12-19 18:07:00,11.3 W,4.60 W
2024-12-19 18:07:30,10.1 W,4.53 W
2024-12-19 18:08:00,10.1 W,4.53 W
2024-12-19 18:08:30,9.99 W,4.53 W
2024-12-19 18:09:00,10.4 W,4.55 W
2024-12-19 18:09:30,11.3 W,4.60 W
2024-12-19 18:10:00,11.2 W,4.60 W
2024-12-19 18:10:30,11.0 W,4.60 W
2024-12-19 18:11:00,10.1 W,4.52 W
2024-12-19 18:11:30,10.1 W,4.52 W
