"Time","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp - /opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp-Ww-MBasageffcbf-MHasageffcbf-MBlmbcs512-MHlmbcs512-MMmcs30-pcunicode-P1048576-t5000000-stbtdb-zdbbl128000-sbwtnone-sbwtdcpunone-sbwtdionone-Bi---root/opt/erlang/lib/erlang-bindir/opt/erlang/lib/erlang/erts-14.2.5/bin-prognameerl---home/var/lib/rabbitmq---pa-noshell-noinput-srabbitboot-bootstart_sasl-sysloglogger[]-syslogsyslog_error_loggerfalse-kernelprevent_overlapping_partitionsfalse","/usr/local/bin/scaphandre - /usr/local/bin/scaphandreprometheus","/bin/bash - bash/usr/local/bin/docker-entrypoint.shrabbitmq-server","/usr/bin/mongod - mongod--auth--bind_ip_all"
2024-12-19 17:41:30,318 mW,122 mW,0 W,12.2 W
2024-12-19 17:41:45,442 mW,123 mW,0 W,12.3 W
2024-12-19 17:42:00,610 mW,122 mW,0 W,12.2 W
2024-12-19 17:42:15,762 mW,300 mW,0 W,10.5 W
2024-12-19 17:42:30,1.02 W,440 mW,0 W,10.6 W
2024-12-19 17:42:45,1.25 W,462 mW,0 W,10.6 W
2024-12-19 17:43:00,1.29 W,306 mW,0 W,10.8 W
2024-12-19 17:43:15,1.37 W,663 mW,0 W,10.8 W
2024-12-19 17:43:30,1.43 W,453 mW,0 W,10.9 W
2024-12-19 17:43:45,1.77 W,574 mW,0 W,10.5 W
2024-12-19 17:44:00,2.04 W,101 mW,0 W,12.7 W
2024-12-19 17:44:15,1.76 W,127 mW,0 W,12.8 W
2024-12-19 17:44:30,1.38 W,76.4 mW,0 W,12.8 W
2024-12-19 17:44:45,2.29 W,150 mW,0 W,12.4 W
2024-12-19 17:45:00,1.75 W,127 mW,0 W,12.5 W
2024-12-19 17:45:15,1.88 W,100 mW,0 W,12.6 W
2024-12-19 17:45:30,1.90 W,74.8 mW,0 W,12.5 W
2024-12-19 17:45:45,1.13 W,312 mW,0 W,11.3 W
2024-12-19 17:46:00,2.07 W,466 mW,0 W,10.7 W
2024-12-19 17:46:15,2.21 W,628 mW,0 W,10.6 W
2024-12-19 17:46:30,1.97 W,356 mW,0 W,11.0 W
2024-12-19 17:46:45,1.89 W,489 mW,0 W,10.7 W
2024-12-19 17:47:00,1.84 W,519 mW,0 W,10.8 W
2024-12-19 17:47:15,2.16 W,332 mW,0 W,11.0 W
2024-12-19 17:47:30,1.72 W,294 mW,0 W,11.6 W
2024-12-19 17:47:45,1.93 W,125 mW,0 W,12.6 W
2024-12-19 17:48:00,2.18 W,178 mW,0 W,12.8 W
2024-12-19 17:48:15,2.17 W,50.5 mW,0 W,12.7 W
2024-12-19 17:48:30,1.88 W,125 mW,0 W,12.6 W
2024-12-19 17:48:45,1.87 W,101 mW,0 W,12.7 W
2024-12-19 17:49:00,2.30 W,101 mW,0 W,12.8 W
2024-12-19 17:49:15,2.07 W,125 mW,0 W,12.3 W
2024-12-19 17:49:30,1.87 W,468 mW,0 W,10.7 W
2024-12-19 17:49:45,2.11 W,445 mW,0 W,10.8 W
2024-12-19 17:50:00,2.09 W,511 mW,0 W,10.7 W
2024-12-19 17:50:15,1.79 W,377 mW,0 W,10.8 W
2024-12-19 17:50:30,1.49 W,456 mW,0 W,11.0 W
2024-12-19 17:50:45,1.68 W,237 mW,0 W,10.8 W
2024-12-19 17:51:00,1.71 W,141 mW,0 W,10.8 W
2024-12-19 17:51:15,1.67 W,74.7 mW,0 W,12.5 W
2024-12-19 17:51:30,1.74 W,125 mW,0 W,12.5 W
2024-12-19 17:51:45,1.95 W,98.9 mW,0 W,12.4 W
2024-12-19 17:52:00,2.12 W,98.4 mW,0 W,12.2 W
2024-12-19 17:52:15,2.08 W,125 mW,0 W,12.6 W
2024-12-19 17:52:30,2.01 W,101 mW,0 W,12.7 W
2024-12-19 17:52:45,1.95 W,152 mW,0 W,12.8 W
2024-12-19 17:53:00,2.24 W,257 mW,0 W,10.7 W
2024-12-19 17:53:15,1.93 W,378 mW,0 W,10.8 W
2024-12-19 17:53:30,1.94 W,397 mW,0 W,10.7 W
2024-12-19 17:53:45,2.09 W,328 mW,0 W,10.7 W
2024-12-19 17:54:00,2.06 W,305 mW,0 W,10.8 W
2024-12-19 17:54:15,2.09 W,375 mW,0 W,10.8 W
2024-12-19 17:54:30,1.71 W,485 mW,0 W,10.6 W
2024-12-19 17:54:45,2.09 W,146 mW,0 W,11.9 W
2024-12-19 17:55:00,2.06 W,101 mW,0 W,12.7 W
2024-12-19 17:55:15,1.83 W,124 mW,0 W,12.2 W
2024-12-19 17:55:30,2.12 W,75.6 mW,0 W,12.7 W
2024-12-19 17:55:45,2.01 W,76.5 mW,0 W,12.8 W
2024-12-19 17:56:00,1.82 W,127 mW,0 W,12.7 W
