"Time","/bin/busybox","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp","/usr/local/bin/scaphandre","/usr/share/grafana/bin/grafana","/usr/bin/mongod"
2025-01-17 13:19:00,0 B,0 B,0 B,0 B,20.5 kB
2025-01-17 13:19:15,0 B,0 B,0 B,0 B,20.5 kB
2025-01-17 13:19:30,0 B,0 B,0 B,0 B,135 kB
2025-01-17 13:19:45,0 B,0 B,0 B,0 B,24.6 kB
2025-01-17 13:20:00,0 B,57.3 kB,0 B,0 B,24.6 kB
2025-01-17 13:20:15,0 B,0 B,0 B,0 B,24.6 kB
2025-01-17 13:20:30,0 B,0 B,0 B,0 B,106 kB
2025-01-17 13:20:45,0 B,0 B,0 B,0 B,28.7 kB
2025-01-17 13:21:00,0 B,0 B,0 B,0 B,28.7 kB
2025-01-17 13:21:15,0 B,0 B,0 B,0 B,28.7 kB
2025-01-17 13:21:30,0 B,0 B,0 B,0 B,86.0 kB
2025-01-17 13:21:45,0 B,0 B,0 B,0 B,32.8 kB
2025-01-17 13:22:00,0 B,0 B,0 B,0 B,32.8 kB
2025-01-17 13:22:15,0 B,0 B,0 B,0 B,32.8 kB
2025-01-17 13:22:30,0 B,0 B,0 B,0 B,94.2 kB
2025-01-17 13:22:45,0 B,0 B,0 B,36.9 kB,36.9 kB
2025-01-17 13:23:00,0 B,0 B,0 B,0 B,36.9 kB
2025-01-17 13:23:15,0 B,0 B,0 B,0 B,36.9 kB
2025-01-17 13:23:30,0 B,0 B,0 B,0 B,156 kB
2025-01-17 13:23:45,0 B,0 B,0 B,0 B,20.5 kB
2025-01-17 13:24:00,0 B,0 B,0 B,0 B,20.5 kB
2025-01-17 13:24:15,0 B,0 B,0 B,0 B,20.5 kB
2025-01-17 13:24:30,0 B,0 B,0 B,0 B,106 kB
2025-01-17 13:24:45,0 B,0 B,0 B,0 B,24.6 kB
2025-01-17 13:25:00,0 B,0 B,0 B,0 B,24.6 kB
2025-01-17 13:25:15,0 B,0 B,0 B,0 B,24.6 kB
2025-01-17 13:25:30,0 B,0 B,0 B,0 B,86.0 kB
2025-01-17 13:25:45,0 B,0 B,0 B,0 B,28.7 kB
2025-01-17 13:26:00,0 B,0 B,0 B,0 B,28.7 kB
2025-01-17 13:26:15,0 B,0 B,0 B,0 B,28.7 kB
2025-01-17 13:26:30,0 B,0 B,0 B,0 B,86.0 kB
