"Time","/bin/busybox - /bin/sh/opt/rabbitmq/sbin/rabbitmq-server","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp - /opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp-Ww-MBasageffcbf-MHasageffcbf-MBlmbcs512-MHlmbcs512-MMmcs30-pcunicode-P1048576-t5000000-stbtdb-zdbbl128000-sbwtnone-sbwtdcpunone-sbwtdionone-Bi---root/opt/erlang/lib/erlang-bindir/opt/erlang/lib/erlang/erts-14.2.5/bin-prognameerl---home/var/lib/rabbitmq---pa-noshell-noinput-srabbitboot-bootstart_sasl-sysloglogger[]-syslogsyslog_error_loggerfalse-kernelprevent_overlapping_partitionsfalse","/usr/local/bin/scaphandre - /usr/local/bin/scaphandreprometheus","/usr/share/grafana/bin/grafana - grafanaserver--homepath=/usr/share/grafana--config=/etc/grafana/grafana.ini--packaging=dockercfg:default.log.mode=consolecfg:default.paths.data=/var/lib/grafanacfg:default.paths.logs=/var/log/grafanacfg:default.paths.plugins=/var/lib/grafana/pluginscfg:default.paths.provisioning=/etc/grafana/provisioning","/usr/bin/mongod - mongod--auth--bind_ip_all"
2025-01-17 13:19:00,0 W,93.7 mW,375 mW,46.8 mW,10.7 W
2025-01-17 13:19:15,0 W,2.04 W,398 mW,46.8 mW,10.6 W
2025-01-17 13:19:30,0 W,13.7 W,594 mW,25.8 mW,12.1 W
2025-01-17 13:19:45,0 W,41.2 W,221 mW,63.3 mW,15.6 W
2025-01-17 13:20:00,0 W,40.5 W,382 mW,797 mW,15.8 W
2025-01-17 13:20:15,0 W,42.4 W,488 mW,32.5 mW,16.1 W
2025-01-17 13:20:30,0 W,47.1 W,720 mW,65.4 mW,16.2 W
2025-01-17 13:20:45,0 W,42.6 W,520 mW,357 mW,15.9 W
2025-01-17 13:21:00,0 W,44.2 W,460 mW,32.9 mW,16.5 W
2025-01-17 13:21:15,0 W,42.9 W,363 mW,33.0 mW,16.6 W
2025-01-17 13:21:30,0 W,44.0 W,497 mW,33.2 mW,16.5 W
2025-01-17 13:21:45,0 W,41.9 W,326 mW,0 W,16.2 W
2025-01-17 13:22:00,0 W,44.2 W,231 mW,66.0 mW,16.4 W
2025-01-17 13:22:15,0 W,47.4 W,652 mW,32.6 mW,16.2 W
2025-01-17 13:22:30,0 W,46.6 W,521 mW,32.5 mW,16.1 W
2025-01-17 13:22:45,0 W,42.3 W,582 mW,97.0 mW,16.0 W
2025-01-17 13:23:00,0 W,45.9 W,513 mW,0 W,15.9 W
2025-01-17 13:23:15,0 W,41.8 W,670 mW,31.9 mW,15.9 W
2025-01-17 13:23:30,0 W,41.4 W,640 mW,64.0 mW,15.8 W
2025-01-17 13:23:45,0 W,45.6 W,291 mW,64.6 mW,16.1 W
2025-01-17 13:24:00,0 W,45.9 W,417 mW,32.1 mW,15.9 W
2025-01-17 13:24:15,0 W,39.6 W,488 mW,32.5 mW,16.3 W
2025-01-17 13:24:30,0 W,46.7 W,98.1 mW,32.7 mW,16.3 W
2025-01-17 13:24:45,0 W,42.7 W,164 mW,65.5 mW,16.4 W
2025-01-17 13:25:00,0 W,39.3 W,132 mW,32.9 mW,16.5 W
2025-01-17 13:25:15,0 W,41.9 W,162 mW,64.8 mW,16.2 W
2025-01-17 13:25:30,0 W,49.9 W,162 mW,32.4 mW,16.2 W
2025-01-17 13:25:45,0 W,42.1 W,163 mW,32.7 mW,16.3 W
2025-01-17 13:26:00,0 W,46.2 W,97.7 mW,32.6 mW,16.3 W
2025-01-17 13:26:15,0 W,40.6 W,130 mW,0 W,16.3 W
2025-01-17 13:26:30,0 W,39.1 W,164 mW,65.5 mW,16.4 W
2025-01-17 13:26:45,0 W,48.9 W,132 mW,0 W,16.6 W
2025-01-17 13:27:00,0 W,37.3 W,165 mW,65.9 mW,16.5 W
2025-01-17 13:27:15,0 W,51.1 W,100 mW,33.4 mW,16.7 W
2025-01-17 13:27:30,0 W,45.0 W,132 mW,33.0 mW,16.5 W
2025-01-17 13:27:45,0 W,50.4 W,99.0 mW,33.0 mW,16.5 W
2025-01-17 13:28:00,0 W,43.2 W,167 mW,33.4 mW,16.8 W
2025-01-17 13:28:15,0 W,35.9 W,129 mW,32.2 mW,15.9 W
2025-01-17 13:28:30,0 W,41.5 W,66.3 mW,33.1 mW,16.5 W
2025-01-17 13:28:45,0 W,46.7 W,164 mW,32.8 mW,16.5 W
2025-01-17 13:29:00,0 W,43.8 W,130 mW,65.2 mW,16.2 W
2025-01-17 13:29:15,0 W,43.3 W,130 mW,65.2 mW,16.4 W
2025-01-17 13:29:30,0 W,43.7 W,131 mW,32.8 mW,16.5 W
2025-01-17 13:29:45,0 W,35.0 W,193 mW,32.2 mW,16.0 W
2025-01-17 13:30:00,0 W,38.9 W,127 mW,31.8 mW,15.2 W
2025-01-17 13:30:15,0 W,34.8 W,160 mW,31.9 mW,15.9 W
2025-01-17 13:30:30,0 W,41.3 W,162 mW,32.4 mW,16.4 W
2025-01-17 13:30:45,0 W,42.2 W,194 mW,32.3 mW,16.2 W
2025-01-17 13:31:00,0 W,43.9 W,97.5 mW,32.5 mW,16.3 W
2025-01-17 13:31:15,0 W,43.3 W,129 mW,32.3 mW,16.2 W
2025-01-17 13:31:30,0 W,42.9 W,160 mW,64.1 mW,16.0 W
2025-01-17 13:31:45,0 W,44.4 W,129 mW,64.5 mW,16.2 W
2025-01-17 13:32:00,0 W,42.5 W,130 mW,32.5 mW,16.3 W
2025-01-17 13:32:15,0 W,41.7 W,160 mW,63.9 mW,15.9 W
2025-01-17 13:32:30,0 W,41.9 W,130 mW,64.9 mW,16.2 W
2025-01-17 13:32:45,0 W,43.3 W,159 mW,63.8 mW,15.9 W
2025-01-17 13:33:00,0 W,40.2 W,96.9 mW,32.3 mW,16.2 W
2025-01-17 13:33:15,0 W,43.4 W,129 mW,32.3 mW,16.2 W
2025-01-17 13:33:30,0 W,41.8 W,193 mW,64.4 mW,16.1 W
2025-01-17 13:33:45,0 W,42.3 W,161 mW,64.5 mW,16.2 W
2025-01-17 13:34:00,0 W,41.4 W,128 mW,0 W,16.0 W
2025-01-17 13:34:15,0 W,36.3 W,164 mW,65.4 mW,16.4 W
2025-01-17 13:34:30,0 W,33.9 W,127 mW,31.8 mW,15.5 W
2025-01-17 13:34:45,0 W,37.8 W,162 mW,32.4 mW,16.2 W
2025-01-17 13:35:00,0 W,35.6 W,97.1 mW,0 W,16.2 W
2025-01-17 13:35:15,0 W,36.7 W,128 mW,31.9 mW,15.8 W
2025-01-17 13:35:30,0 W,39.0 W,95.4 mW,31.8 mW,15.9 W
2025-01-17 13:35:45,0 W,42.7 W,193 mW,64.4 mW,16.2 W
2025-01-17 13:36:00,0 W,41.8 W,96.6 mW,32.2 mW,16.1 W
2025-01-17 13:36:15,0 W,40.5 W,96.7 mW,32.2 mW,16.2 W
2025-01-17 13:36:30,0 W,41.9 W,161 mW,64.3 mW,16.0 W
2025-01-17 13:36:45,0 W,39.6 W,128 mW,31.9 mW,15.9 W
2025-01-17 13:37:00,0 W,43.3 W,130 mW,32.4 mW,16.3 W
2025-01-17 13:37:15,0 W,36.3 W,161 mW,64.4 mW,15.9 W
2025-01-17 13:37:30,0 W,38.4 W,96.9 mW,0 W,16.2 W
2025-01-17 13:37:45,0 W,37.8 W,98.3 mW,0 W,16.5 W
2025-01-17 13:38:00,0 W,31.6 W,128 mW,928 mW,15.8 W
2025-01-17 13:38:15,0 W,40.5 W,128 mW,32.0 mW,16.1 W
2025-01-17 13:38:30,0 W,36.0 W,126 mW,31.5 mW,15.7 W
2025-01-17 13:38:45,0 W,43.1 W,96.0 mW,32.0 mW,16.1 W
2025-01-17 13:39:00,0 W,47.0 W,161 mW,516 mW,16.2 W
2025-01-17 13:39:15,0 W,48.5 W,129 mW,32.2 mW,16.2 W
2025-01-17 13:39:30,0 W,43.8 W,97.5 mW,32.5 mW,16.2 W
2025-01-17 13:39:45,0 W,45.0 W,161 mW,32.2 mW,16.2 W
2025-01-17 13:40:00,0 W,46.3 W,129 mW,0 W,16.2 W
