"Time","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp","/usr/local/bin/scaphandre","/bin/bash","/usr/bin/mongod"
2024-12-17 21:33:15,0 B,0 B,0 B,0 B
2024-12-17 21:33:30,0 B,0 B,0 B,0 B
2024-12-17 21:33:45,0 B,0 B,0 B,0 B
2024-12-17 21:34:00,0 B,0 B,0 B,0 B
2024-12-17 21:34:15,0 B,0 B,0 B,0 B
2024-12-17 21:34:30,0 B,0 B,0 B,0 B
2024-12-17 21:34:45,0 B,0 B,0 B,0 B
2024-12-17 21:35:00,0 B,0 B,0 B,0 B
2024-12-17 21:35:15,0 B,0 B,0 B,0 B
2024-12-17 21:35:30,0 B,0 B,0 B,0 B
2024-12-17 21:35:45,0 B,0 B,0 B,0 B
2024-12-17 21:36:00,0 B,4.10 kB,0 B,0 B
2024-12-17 21:36:15,0 B,0 B,0 B,0 B
