"Time","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp - /opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp-Ww-MBasageffcbf-MHasageffcbf-MBlmbcs512-MHlmbcs512-MMmcs30-pcunicode-P1048576-t5000000-stbtdb-zdbbl128000-sbwtnone-sbwtdcpunone-sbwtdionone-Bi---root/opt/erlang/lib/erlang-bindir/opt/erlang/lib/erlang/erts-14.2.5/bin-prognameerl---home/var/lib/rabbitmq---pa-noshell-noinput-srabbitboot-bootstart_sasl-sysloglogger[]-syslogsyslog_error_loggerfalse-kernelprevent_overlapping_partitionsfalse","/usr/local/bin/scaphandre - /usr/local/bin/scaphandreprometheus","/bin/bash - bash/usr/local/bin/docker-entrypoint.shrabbitmq-server","/usr/bin/mongod - mongod--auth--bind_ip_all"
2024-12-17 21:06:30,510 mW,132 mW,0 W,37.8 mW
2024-12-17 21:06:45,286 mW,82.8 mW,0 W,299 mW
2024-12-17 21:07:00,2.56 W,497 mW,0 W,10.3 W
2024-12-17 21:07:15,5.14 W,463 mW,0 W,10.7 W
2024-12-17 21:07:30,10.7 W,192 mW,0 W,11.1 W
2024-12-17 21:07:45,12.4 W,270 mW,0 W,11.4 W
2024-12-17 21:08:00,19.4 W,230 mW,0 W,12.0 W
2024-12-17 21:08:15,19.8 W,288 mW,0 W,12.4 W
2024-12-17 21:08:30,29.6 W,301 mW,0 W,13.1 W
2024-12-17 21:08:45,27.2 W,504 mW,0 W,13.6 W
2024-12-17 21:09:00,36.3 W,117 mW,0 W,14.6 W
2024-12-17 21:09:15,37.3 W,149 mW,0 W,14.8 W
2024-12-17 21:09:30,41.8 W,153 mW,0 W,15.3 W
2024-12-17 21:09:45,39.0 W,123 mW,0 W,15.4 W
2024-12-17 21:10:00,43.6 W,182 mW,0 W,15.2 W
2024-12-17 21:10:15,39.7 W,154 mW,0 W,15.4 W
2024-12-17 21:10:30,40.2 W,154 mW,0 W,15.4 W
2024-12-17 21:10:45,41.5 W,124 mW,0 W,15.6 W
2024-12-17 21:11:00,42.1 W,124 mW,0 W,15.6 W
2024-12-17 21:11:15,36.1 W,152 mW,0 W,15.3 W
