"Time","/bin/busybox - /bin/sh/opt/rabbitmq/sbin/rabbitmq-server","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp - /opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp-Ww-MBasageffcbf-MHasageffcbf-MBlmbcs512-MHlmbcs512-MMmcs30-pcunicode-P1048576-t5000000-stbtdb-zdbbl128000-sbwtnone-sbwtdcpunone-sbwtdionone-Bi---root/opt/erlang/lib/erlang-bindir/opt/erlang/lib/erlang/erts-14.2.5/bin-prognameerl---home/var/lib/rabbitmq---pa-noshell-noinput-srabbitboot-bootstart_sasl-sysloglogger[]-syslogsyslog_error_loggerfalse-kernelprevent_overlapping_partitionsfalse","/usr/local/bin/scaphandre - /usr/local/bin/scaphandreprometheus","/usr/bin/mongod - mongod--auth--bind_ip_all"
2024-12-18 12:09:00,0 W,2.72 W,146 mW,59.8 mW
2024-12-18 12:09:15,0 W,2.15 W,196 mW,7.52 W
2024-12-18 12:09:30,0 W,405 mW,95.3 mW,11.7 W
2024-12-18 12:09:45,0 W,799 mW,121 mW,12.2 W
2024-12-18 12:10:00,0 W,1.42 W,98.1 mW,12.4 W
2024-12-18 12:10:15,0 W,1.82 W,123 mW,12.3 W
2024-12-18 12:10:30,0 W,2.22 W,123 mW,12.3 W
2024-12-18 12:10:45,0 W,2.24 W,217 mW,11.9 W
2024-12-18 12:11:00,0 W,2.27 W,318 mW,11.7 W
2024-12-18 12:11:15,0 W,2.07 W,524 mW,11.4 W
2024-12-18 12:11:30,0 W,2.23 W,504 mW,11.5 W
2024-12-18 12:11:45,0 W,2.15 W,501 mW,11.5 W
2024-12-18 12:12:00,0 W,2.50 W,472 mW,11.3 W
2024-12-18 12:12:15,0 W,2.31 W,428 mW,11.4 W
2024-12-18 12:12:30,0 W,2.38 W,389 mW,11.7 W
2024-12-18 12:12:45,0 W,2.36 W,511 mW,11.6 W
2024-12-18 12:13:00,0 W,2.40 W,508 mW,11.7 W
2024-12-18 12:13:15,0 W,2.04 W,474 mW,11.3 W
2024-12-18 12:13:30,0 W,2.18 W,450 mW,11.3 W
2024-12-18 12:13:45,0 W,2.25 W,422 mW,11.2 W
2024-12-18 12:14:00,0 W,2.40 W,388 mW,11.6 W
