"Time","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp - /opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp-Ww-MBasageffcbf-MHasageffcbf-MBlmbcs512-MHlmbcs512-MMmcs30-pcunicode-P1048576-t5000000-stbtdb-zdbbl128000-sbwtnone-sbwtdcpunone-sbwtdionone-Bi---root/opt/erlang/lib/erlang-bindir/opt/erlang/lib/erlang/erts-14.2.5/bin-prognameerl---home/var/lib/rabbitmq---pa-noshell-noinput-srabbitboot-bootstart_sasl-sysloglogger[]-syslogsyslog_error_loggerfalse-kernelprevent_overlapping_partitionsfalse","/usr/local/bin/scaphandre - /usr/local/bin/scaphandreprometheus","/bin/bash - bash/usr/local/bin/docker-entrypoint.shrabbitmq-server","/usr/bin/mongod - mongod--auth--bind_ip_all"
2024-12-17 22:34:30,26.2 W,388 mW,0 W,13.6 W
2024-12-17 22:34:45,53.6 W,244 mW,0 W,18.4 W
2024-12-17 22:35:00,97.3 W,300 mW,0 W,28.9 W
2024-12-17 22:35:15,74.8 W,205 mW,0 W,27.4 W
2024-12-17 22:35:30,61.4 W,255 mW,0 W,27.3 W
2024-12-17 22:35:45,227 W,263 mW,0 W,38.8 W
2024-12-17 22:36:00,579 W,606 mW,0 W,57.7 W
2024-12-17 22:36:15,598 W,314 mW,0 W,80.4 W
2024-12-17 22:36:30,507 W,465 mW,0 W,41.2 W
2024-12-17 22:36:45,492 W,530 mW,0 W,75.8 W
2024-12-17 22:37:00,530 W,509 mW,0 W,38.2 W
2024-12-17 22:37:15,503 W,426 mW,0 W,73.6 W
2024-12-17 22:37:30,510 W,245 mW,0 W,35.8 W
2024-12-17 22:37:45,458 W,489 mW,0 W,70.3 W
2024-12-17 22:38:00,66.3 W,288 mW,0 W,28.8 W
2024-12-17 22:38:15,65.4 W,172 mW,0 W,28.6 W
2024-12-17 22:38:30,64.2 W,225 mW,0 W,28.2 W
2024-12-17 22:38:45,60.2 W,221 mW,0 W,27.7 W
2024-12-17 22:39:00,58.9 W,219 mW,0 W,27.4 W
2024-12-17 22:39:15,74.0 W,283 mW,0 W,28.4 W
2024-12-17 22:39:30,82.6 W,275 mW,0 W,27.0 W
2024-12-17 22:39:45,65.1 W,210 mW,0 W,26.0 W
2024-12-17 22:40:00,63.4 W,208 mW,0 W,25.9 W
2024-12-17 22:40:15,59.1 W,263 mW,0 W,26.4 W
2024-12-17 22:40:30,66.9 W,268 mW,0 W,26.7 W
2024-12-17 22:40:45,68.5 W,218 mW,0 W,27.0 W
2024-12-17 22:41:00,65.5 W,215 mW,0 W,26.7 W
2024-12-17 22:41:15,72.7 W,163 mW,0 W,28.5 W
2024-12-17 22:41:30,81.2 W,339 mW,0 W,30.9 W
2024-12-17 22:41:45,158 W,197 mW,0 W,35.4 W
2024-12-17 22:42:00,109 W,299 mW,0 W,30.5 W
2024-12-17 22:42:15,56.8 W,155 mW,0 W,25.4 W
2024-12-17 22:42:30,61.5 W,265 mW,0 W,25.9 W
2024-12-17 22:42:45,60.9 W,209 mW,0 W,26.1 W
2024-12-17 22:43:00,54.0 W,206 mW,0 W,25.9 W
2024-12-17 22:43:15,65.2 W,212 mW,0 W,26.9 W
2024-12-17 22:43:30,65.7 W,263 mW,0 W,26.3 W
2024-12-17 22:43:45,65.2 W,157 mW,0 W,26.0 W
2024-12-17 22:44:00,62.5 W,205 mW,0 W,25.4 W
2024-12-17 22:44:15,86.8 W,216 mW,0 W,26.5 W
2024-12-17 22:44:30,53.5 W,202 mW,0 W,25.3 W
2024-12-17 22:44:45,67.4 W,204 mW,0 W,25.2 W
2024-12-17 22:45:00,55.5 W,199 mW,0 W,24.9 W
2024-12-17 22:45:15,85.6 W,212 mW,0 W,25.7 W
2024-12-17 22:45:30,62.0 W,255 mW,0 W,25.3 W
2024-12-17 22:45:45,58.1 W,247 mW,0 W,24.7 W
2024-12-17 22:46:00,119 W,230 mW,0 W,27.0 W
2024-12-17 22:46:15,63.0 W,154 mW,0 W,25.6 W
2024-12-17 22:46:30,61.6 W,203 mW,0 W,25.3 W
2024-12-17 22:46:45,130 W,302 mW,0 W,35.0 W
2024-12-17 22:47:00,51.9 W,149 mW,0 W,26.1 W
2024-12-17 22:47:15,64.1 W,206 mW,0 W,25.8 W
2024-12-17 22:47:30,52.4 W,250 mW,0 W,24.5 W
2024-12-17 22:47:45,53.1 W,151 mW,0 W,24.8 W
2024-12-17 22:48:00,152 W,393 mW,0 W,36.3 W
2024-12-17 22:48:15,53.4 W,150 mW,0 W,25.5 W
2024-12-17 22:48:30,59.8 W,248 mW,0 W,25.0 W
2024-12-17 22:48:45,93.0 W,229 mW,0 W,28.5 W
2024-12-17 22:49:00,55.1 W,254 mW,0 W,25.5 W
2024-12-17 22:49:15,53.4 W,255 mW,0 W,25.5 W
2024-12-17 22:49:30,53.8 W,254 mW,0 W,25.5 W
2024-12-17 22:49:45,56.8 W,254 mW,0 W,25.4 W
2024-12-17 22:50:00,70.9 W,318 mW,0 W,26.3 W
2024-12-17 22:50:15,55.9 W,201 mW,0 W,25.1 W
2024-12-17 22:50:30,59.4 W,259 mW,0 W,25.7 W
2024-12-17 22:50:45,64.3 W,264 mW,0 W,26.4 W
2024-12-17 22:51:00,54.7 W,202 mW,0 W,25.3 W
2024-12-17 22:51:15,63.3 W,255 mW,0 W,25.3 W
2024-12-17 22:51:30,59.6 W,250 mW,0 W,24.9 W
2024-12-17 22:51:45,55.4 W,151 mW,0 W,25.2 W
2024-12-17 22:52:00,62.0 W,260 mW,0 W,25.8 W
2024-12-17 22:52:15,63.2 W,103 mW,0 W,25.6 W
2024-12-17 22:52:30,136 W,297 mW,0 W,28.7 W
2024-12-17 22:52:45,53.5 W,202 mW,0 W,25.7 W
2024-12-17 22:53:00,58.7 W,254 mW,0 W,25.7 W
2024-12-17 22:53:15,60.0 W,247 mW,0 W,24.3 W
2024-12-17 22:53:30,58.3 W,102 mW,0 W,25.6 W
2024-12-17 22:53:45,58.0 W,357 mW,0 W,25.8 W
2024-12-17 22:54:00,58.7 W,258 mW,0 W,25.7 W
2024-12-17 22:54:15,64.5 W,156 mW,0 W,26.2 W
2024-12-17 22:54:30,81.4 W,154 mW,0 W,25.8 W
2024-12-17 22:54:45,98.1 W,288 mW,0 W,30.5 W
2024-12-17 22:55:00,52.1 W,201 mW,0 W,24.1 W
2024-12-17 22:55:15,52.2 W,251 mW,0 W,24.1 W
2024-12-17 22:55:30,61.4 W,205 mW,0 W,25.9 W
2024-12-17 22:55:45,129 W,184 mW,0 W,36.0 W
2024-12-17 22:56:15,53.1 W,203 mW,0 W,24.9 W
2024-12-17 22:56:30,61.3 W,258 mW,0 W,25.9 W
2024-12-17 22:56:45,129 W,184 mW,0 W,36.0 W
2024-12-17 22:57:00,52.7 W,252 mW,0 W,24.8 W
2024-12-17 22:57:15,52.3 W,201 mW,0 W,24.7 W
2024-12-17 22:57:30,53.0 W,251 mW,0 W,25.2 W
2024-12-17 22:57:45,65.6 W,209 mW,0 W,26.4 W
2024-12-17 22:58:00,103 W,220 mW,0 W,30.8 W
2024-12-17 22:58:15,61.6 W,154 mW,0 W,25.3 W
2024-12-17 22:58:30,57.5 W,150 mW,0 W,25.7 W
2024-12-17 22:58:45,59.8 W,203 mW,0 W,25.5 W
2024-12-17 22:59:00,60.0 W,205 mW,0 W,25.4 W
2024-12-17 22:59:15,54.9 W,150 mW,0 W,25.3 W
2024-12-17 22:59:30,53.0 W,198 mW,0 W,24.7 W
2024-12-17 22:59:45,53.0 W,149 mW,0 W,25.1 W
2024-12-17 23:00:00,104 W,195 mW,0 W,25.6 W
2024-12-17 23:00:15,67.1 W,258 mW,0 W,25.6 W
2024-12-17 23:00:30,65.0 W,268 mW,0 W,26.7 W
2024-12-17 23:00:45,58.5 W,153 mW,0 W,25.5 W
2024-12-17 23:01:00,58.3 W,207 mW,0 W,25.5 W
2024-12-17 23:01:15,56.5 W,309 mW,0 W,25.5 W
2024-12-17 23:01:30,70.5 W,214 mW,0 W,26.7 W
2024-12-17 23:01:45,58.3 W,256 mW,0 W,26.1 W
2024-12-17 23:02:00,63.1 W,348 mW,0 W,28.5 W
2024-12-17 23:02:15,60.8 W,161 mW,0 W,29.7 W
2024-12-17 23:02:30,81.0 W,237 mW,0 W,29.3 W
2024-12-17 23:02:45,60.4 W,169 mW,0 W,28.2 W
2024-12-17 23:03:00,151 W,265 mW,0 W,33.2 W
2024-12-17 23:03:15,69.2 W,216 mW,0 W,27.1 W
2024-12-17 23:03:30,58.8 W,205 mW,0 W,25.6 W
2024-12-17 23:03:45,456 W,628 mW,0 W,40.7 W
2024-12-17 23:04:00,541 W,605 mW,0 W,77.7 W
2024-12-17 23:04:15,514 W,453 mW,0 W,50.4 W
2024-12-17 23:04:30,514 W,453 mW,0 W,50.4 W
