"Time","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp - /opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp-Ww-MBasageffcbf-MHasageffcbf-MBlmbcs512-MHlmbcs512-MMmcs30-pcunicode-P1048576-t5000000-stbtdb-zdbbl128000-sbwtnone-sbwtdcpunone-sbwtdionone-Bi---root/opt/erlang/lib/erlang-bindir/opt/erlang/lib/erlang/erts-14.2.5/bin-prognameerl---home/var/lib/rabbitmq---pa-noshell-noinput-srabbitboot-bootstart_sasl-sysloglogger[]-syslogsyslog_error_loggerfalse-kernelprevent_overlapping_partitionsfalse","/usr/local/bin/scaphandre - /usr/local/bin/scaphandreprometheus","/bin/bash - bash/usr/local/bin/docker-entrypoint.shrabbitmq-server","/usr/bin/mongod - mongod--auth--bind_ip_all"
2024-12-18 11:48:00,1.54 W,149 mW,0 W,12.5 W
2024-12-18 11:48:15,1.61 W,300 mW,0 W,10.6 W
2024-12-18 11:48:30,1.39 W,531 mW,0 W,10.5 W
2024-12-18 11:48:45,1.43 W,363 mW,0 W,10.3 W
2024-12-18 11:49:00,1.64 W,376 mW,0 W,10.7 W
2024-12-18 11:49:15,1.43 W,517 mW,0 W,10.7 W
2024-12-18 11:49:30,1.40 W,442 mW,0 W,10.6 W
2024-12-18 11:49:45,1.35 W,367 mW,0 W,10.5 W
2024-12-18 11:50:00,1.57 W,270 mW,0 W,11.8 W
2024-12-18 11:50:15,1.54 W,99.7 mW,0 W,12.3 W
2024-12-18 11:50:30,1.62 W,127 mW,0 W,12.6 W
2024-12-18 11:50:45,1.48 W,75.2 mW,0 W,12.7 W
2024-12-18 11:51:00,1.58 W,100 mW,0 W,12.7 W
2024-12-18 11:51:15,1.40 W,102 mW,0 W,12.9 W
2024-12-18 11:51:30,1.79 W,101 mW,0 W,12.7 W
2024-12-18 11:51:45,1.37 W,192 mW,0 W,11.7 W
2024-12-18 11:52:00,1.56 W,419 mW,0 W,10.6 W
2024-12-18 11:52:15,1.69 W,603 mW,0 W,10.5 W
2024-12-18 11:52:30,1.58 W,457 mW,0 W,10.4 W
2024-12-18 11:52:45,1.76 W,462 mW,0 W,10.5 W
2024-12-18 11:53:00,1.64 W,374 mW,0 W,10.6 W
2024-12-18 11:53:15,1.59 W,397 mW,0 W,10.7 W
2024-12-18 11:53:30,1.74 W,368 mW,0 W,12.1 W
2024-12-18 11:53:45,1.66 W,101 mW,0 W,12.7 W
2024-12-18 11:54:00,1.65 W,98.2 mW,0 W,12.4 W
2024-12-18 11:54:15,1.67 W,150 mW,0 W,12.6 W
2024-12-18 11:54:30,1.68 W,100 mW,0 W,12.7 W
2024-12-18 11:54:45,1.46 W,126 mW,0 W,12.7 W
2024-12-18 11:55:00,1.29 W,140 mW,0 W,17.5 W
2024-12-18 11:55:15,1.57 W,328 mW,0 W,10.9 W
2024-12-18 11:55:30,1.73 W,467 mW,0 W,10.7 W
2024-12-18 11:55:45,1.54 W,466 mW,0 W,10.7 W
2024-12-18 11:56:00,1.69 W,516 mW,0 W,10.7 W
2024-12-18 11:56:15,1.72 W,518 mW,0 W,10.8 W
2024-12-18 11:56:30,1.74 W,343 mW,0 W,10.5 W
2024-12-18 11:56:45,1.47 W,528 mW,0 W,10.5 W
2024-12-18 11:57:00,1.55 W,243 mW,0 W,11.7 W
2024-12-18 11:57:15,1.62 W,97.9 mW,0 W,12.1 W
2024-12-18 11:57:30,1.62 W,75.0 mW,0 W,12.6 W
2024-12-18 11:57:45,1.71 W,125 mW,0 W,12.7 W
2024-12-18 11:58:00,1.48 W,100 mW,0 W,12.6 W
2024-12-18 11:58:15,1.63 W,74.1 mW,0 W,12.3 W
2024-12-18 11:58:30,1.65 W,98.7 mW,0 W,12.3 W
2024-12-18 11:58:45,1.67 W,123 mW,0 W,12.1 W
2024-12-18 11:59:00,1.69 W,445 mW,0 W,10.7 W
2024-12-18 11:59:15,299 mW,437 mW,0 W,10.4 W
2024-12-18 11:59:30,230 mW,437 mW,0 W,10.4 W
2024-12-18 11:59:45,229 mW,366 mW,0 W,10.4 W
2024-12-18 12:00:00,340 mW,272 mW,0 W,10.3 W
2024-12-18 12:00:15,206 mW,298 mW,0 W,10.4 W
2024-12-18 12:00:30,188 mW,400 mW,0 W,10.8 W
2024-12-18 12:00:45,222 mW,98.5 mW,0 W,12.4 W
