"Time","/bin/busybox - /bin/sh/opt/rabbitmq/sbin/rabbitmq-server","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp - /opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp-Ww-MBasageffcbf-MHasageffcbf-MBlmbcs512-MHlmbcs512-MMmcs30-pcunicode-P1048576-t5000000-stbtdb-zdbbl128000-sbwtnone-sbwtdcpunone-sbwtdionone-Bi---root/opt/erlang/lib/erlang-bindir/opt/erlang/lib/erlang/erts-14.2.5/bin-prognameerl---home/var/lib/rabbitmq---pa-noshell-noinput-srabbitboot-bootstart_sasl-sysloglogger[]-syslogsyslog_error_loggerfalse-kernelprevent_overlapping_partitionsfalse","/usr/local/bin/scaphandre - /usr/local/bin/scaphandreprometheus","/usr/bin/mongod - mongod--auth--bind_ip_all"
2024-12-18 12:55:00,0 W,485 mW,96.9 mW,12.2 W
2024-12-18 12:55:15,0 W,486 mW,97.2 mW,12.2 W
2024-12-18 12:55:30,0 W,476 mW,100 mW,12.6 W
2024-12-18 12:55:45,0 W,617 mW,98.8 mW,12.2 W
2024-12-18 12:56:00,0 W,666 mW,597 mW,10.4 W
2024-12-18 12:56:15,0 W,1.08 W,234 mW,10.6 W
2024-12-18 12:56:30,0 W,1.93 W,517 mW,10.7 W
2024-12-18 12:56:45,0 W,2.57 W,543 mW,10.8 W
2024-12-18 12:57:00,0 W,2.86 W,520 mW,10.8 W
2024-12-18 12:57:15,0 W,2.91 W,450 mW,10.9 W
2024-12-18 12:57:30,0 W,2.69 W,214 mW,10.9 W
2024-12-18 12:57:45,0 W,2.90 W,126 mW,12.7 W
2024-12-18 12:58:00,0 W,3.01 W,51.1 mW,12.9 W
2024-12-18 12:58:15,0 W,3.12 W,152 mW,12.7 W
2024-12-18 12:58:30,0 W,2.73 W,76.5 mW,12.8 W
2024-12-18 12:58:45,0 W,2.80 W,151 mW,12.6 W
2024-12-18 12:59:00,0 W,3.03 W,103 mW,12.9 W
2024-12-18 12:59:15,0 W,3.03 W,102 mW,12.8 W
2024-12-18 12:59:30,0 W,2.72 W,282 mW,10.8 W
2024-12-18 12:59:45,0 W,2.53 W,421 mW,10.8 W
2024-12-18 13:00:00,0 W,3.07 W,452 mW,11.0 W
2024-12-18 13:00:15,0 W,2.86 W,426 mW,10.9 W
2024-12-18 13:00:30,0 W,2.94 W,406 mW,11.0 W
2024-12-18 13:00:45,0 W,2.86 W,500 mW,11.0 W
2024-12-18 13:01:00,0 W,3.25 W,565 mW,10.8 W
