"Time","core","dram"
2025-01-17 19:09:00,10.4 W,4.52 W
2025-01-17 19:09:30,10.6 W,4.53 W
2025-01-17 19:10:00,11.2 W,4.59 W
2025-01-17 19:10:30,12.4 W,4.63 W
2025-01-17 19:11:00,12.0 W,4.63 W
2025-01-17 19:11:30,12.3 W,4.64 W
2025-01-17 19:12:00,12.5 W,4.63 W
2025-01-17 19:12:30,11.4 W,4.59 W
2025-01-17 19:13:00,11.4 W,4.58 W
2025-01-17 19:13:30,11.4 W,4.57 W
2025-01-17 19:14:00,11.2 W,4.58 W
2025-01-17 19:14:30,11.4 W,4.60 W
2025-01-17 19:15:00,12.2 W,4.65 W
2025-01-17 19:15:30,12.5 W,4.64 W
2025-01-17 19:16:00,12.2 W,4.63 W
2025-01-17 19:16:30,12.2 W,4.62 W
2025-01-17 19:17:00,11.3 W,4.58 W
2025-01-17 19:17:30,11.5 W,4.58 W
2025-01-17 19:18:00,11.2 W,4.58 W
2025-01-17 19:18:30,11.2 W,4.57 W
2025-01-17 19:19:00,12.3 W,4.64 W
2025-01-17 19:19:30,11.2 W,4.58 W
2025-01-17 19:20:00,12.2 W,4.64 W
2025-01-17 19:20:30,12.6 W,4.65 W
2025-01-17 19:21:00,12.2 W,4.64 W
2025-01-17 19:21:30,11.3 W,4.59 W
2025-01-17 19:22:00,11.4 W,4.60 W
2025-01-17 19:22:30,11.5 W,4.60 W
2025-01-17 19:23:00,11.0 W,4.59 W
2025-01-17 19:23:30,12.2 W,4.65 W
2025-01-17 19:24:00,12.2 W,4.64 W
2025-01-17 19:24:30,11.8 W,4.61 W
2025-01-17 19:25:00,12.3 W,4.65 W
2025-01-17 19:25:30,12.6 W,4.66 W
2025-01-17 19:26:00,11.4 W,4.60 W
2025-01-17 19:26:30,11.4 W,4.59 W
2025-01-17 19:27:00,11.4 W,4.60 W
2025-01-17 19:27:30,11.4 W,4.60 W
2025-01-17 19:28:00,12.4 W,4.66 W
2025-01-17 19:28:30,12.3 W,4.66 W
2025-01-17 19:29:00,12.5 W,4.66 W
2025-01-17 19:29:30,12.2 W,4.65 W
2025-01-17 19:30:00,11.6 W,4.60 W
2025-01-17 19:30:30,11.6 W,4.59 W
2025-01-17 19:31:00,11.3 W,4.59 W
2025-01-17 19:31:30,11.4 W,4.59 W
2025-01-17 19:32:00,11.3 W,4.59 W
2025-01-17 19:32:30,12.4 W,4.65 W
2025-01-17 19:33:00,12.5 W,4.64 W
2025-01-17 19:33:30,12.3 W,4.65 W
2025-01-17 19:34:00,12.3 W,4.65 W
2025-01-17 19:34:30,11.5 W,4.60 W
2025-01-17 19:35:00,11.2 W,4.58 W
2025-01-17 19:35:30,11.4 W,4.59 W
2025-01-17 19:36:00,11.3 W,4.60 W
2025-01-17 19:36:30,12.0 W,4.63 W
2025-01-17 19:37:00,12.4 W,4.65 W
2025-01-17 19:37:30,12.2 W,4.64 W
2025-01-17 19:38:00,12.3 W,4.66 W
2025-01-17 19:38:30,12.0 W,4.64 W
2025-01-17 19:39:00,11.4 W,4.60 W
