"Time","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp - /opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp-Ww-MBasageffcbf-MHasageffcbf-MBlmbcs512-MHlmbcs512-MMmcs30-pcunicode-P1048576-t5000000-stbtdb-zdbbl128000-sbwtnone-sbwtdcpunone-sbwtdionone-Bi---root/opt/erlang/lib/erlang-bindir/opt/erlang/lib/erlang/erts-14.2.5/bin-prognameerl---home/var/lib/rabbitmq---pa-noshell-noinput-srabbitboot-bootstart_sasl-sysloglogger[]-syslogsyslog_error_loggerfalse-kernelprevent_overlapping_partitionsfalse","/usr/local/bin/scaphandre - /usr/local/bin/scaphandreprometheus","/bin/bash - bash/usr/local/bin/docker-entrypoint.shrabbitmq-server","/usr/share/grafana/bin/grafana - grafanaserver--homepath=/usr/share/grafana--config=/etc/grafana/grafana.ini--packaging=dockercfg:default.log.mode=consolecfg:default.paths.data=/var/lib/grafanacfg:default.paths.logs=/var/log/grafanacfg:default.paths.plugins=/var/lib/grafana/pluginscfg:default.paths.provisioning=/etc/grafana/provisioning","/usr/bin/mongod - mongod--auth--bind_ip_all"
2025-01-17 19:09:15,918 mW,386 mW,0 W,0 W,10.9 W
2025-01-17 19:09:30,575 mW,240 mW,0 W,47.9 mW,10.8 W
2025-01-17 19:09:45,3.87 W,468 mW,0 W,24.6 mW,11.4 W
2025-01-17 19:10:00,5.56 W,606 mW,0 W,1.31 W,11.6 W
2025-01-17 19:10:15,5.42 W,231 mW,0 W,25.7 mW,12.1 W
2025-01-17 19:10:30,5.54 W,108 mW,0 W,54.1 mW,13.7 W
2025-01-17 19:10:45,4.99 W,80.0 mW,0 W,26.7 mW,13.4 W
2025-01-17 19:11:00,5.74 W,159 mW,0 W,52.9 mW,13.3 W
2025-01-17 19:11:15,6.01 W,162 mW,0 W,53.9 mW,13.6 W
2025-01-17 19:11:30,5.97 W,108 mW,0 W,53.8 mW,13.6 W
2025-01-17 19:11:45,5.69 W,136 mW,0 W,0 W,13.7 W
2025-01-17 19:12:00,6.31 W,137 mW,0 W,137 mW,13.8 W
2025-01-17 19:12:15,5.22 W,348 mW,0 W,26.8 mW,13.1 W
2025-01-17 19:12:30,4.97 W,637 mW,0 W,25.5 mW,11.8 W
2025-01-17 19:12:45,5.38 W,384 mW,0 W,25.6 mW,11.9 W
2025-01-17 19:13:00,5.62 W,560 mW,0 W,0 W,11.8 W
2025-01-17 19:13:15,5.54 W,655 mW,0 W,50.4 mW,11.7 W
2025-01-17 19:13:30,5.01 W,509 mW,0 W,0 W,11.9 W
2025-01-17 19:13:45,4.93 W,483 mW,0 W,25.4 mW,11.9 W
2025-01-17 19:14:00,5.39 W,403 mW,0 W,252 mW,11.7 W
2025-01-17 19:14:15,5.70 W,502 mW,0 W,50.2 mW,11.7 W
2025-01-17 19:14:30,5.68 W,257 mW,0 W,0 W,12.2 W
2025-01-17 19:14:45,5.97 W,81.0 mW,0 W,54.0 mW,13.7 W
2025-01-17 19:15:00,5.71 W,134 mW,0 W,26.8 mW,13.5 W
2025-01-17 19:15:15,5.64 W,25.4 mW,0 W,50.9 mW,11.8 W
2025-01-17 19:15:30,5.76 W,163 mW,0 W,27.2 mW,13.7 W
2025-01-17 19:15:45,5.06 W,106 mW,0 W,26.6 mW,13.4 W
2025-01-17 19:16:00,4.97 W,134 mW,0 W,53.4 mW,13.4 W
2025-01-17 19:16:15,5.60 W,135 mW,0 W,0 W,13.6 W
2025-01-17 19:16:30,6.08 W,107 mW,0 W,26.6 mW,13.1 W
2025-01-17 19:16:45,5.64 W,335 mW,0 W,51.5 mW,12.3 W
2025-01-17 19:17:00,5.63 W,456 mW,0 W,0 W,11.7 W
2025-01-17 19:17:15,5.19 W,540 mW,0 W,25.7 mW,11.8 W
2025-01-17 19:17:30,5.24 W,281 mW,0 W,25.6 mW,11.9 W
2025-01-17 19:17:45,4.88 W,651 mW,0 W,25.0 mW,11.6 W
2025-01-17 19:18:00,5.09 W,504 mW,0 W,151 mW,11.7 W
2025-01-17 19:18:15,4.75 W,528 mW,0 W,25.1 mW,11.7 W
2025-01-17 19:18:30,4.93 W,478 mW,0 W,50.3 mW,11.7 W
2025-01-17 19:18:45,5.13 W,229 mW,0 W,25.4 mW,11.8 W
2025-01-17 19:19:00,5.00 W,108 mW,0 W,53.8 mW,13.6 W
2025-01-17 19:19:15,5.51 W,79.9 mW,0 W,26.6 mW,13.4 W
2025-01-17 19:19:30,4.75 W,100 mW,0 W,50.2 mW,11.6 W
2025-01-17 19:19:45,5.09 W,108 mW,0 W,26.9 mW,13.5 W
2025-01-17 19:20:00,5.29 W,161 mW,0 W,107 mW,13.3 W
2025-01-17 19:20:15,6.08 W,136 mW,0 W,0 W,13.7 W
2025-01-17 19:20:30,6.18 W,137 mW,0 W,27.4 mW,13.8 W
2025-01-17 19:20:45,5.64 W,106 mW,0 W,0 W,13.1 W
2025-01-17 19:21:00,5.73 W,134 mW,0 W,53.5 mW,13.3 W
2025-01-17 19:21:15,5.89 W,635 mW,0 W,178 mW,11.8 W
2025-01-17 19:21:30,6.17 W,278 mW,0 W,50.6 mW,11.7 W
2025-01-17 19:21:45,6.14 W,486 mW,0 W,0 W,11.9 W
2025-01-17 19:22:00,6.02 W,434 mW,0 W,102 mW,12.0 W
2025-01-17 19:22:15,6.19 W,306 mW,0 W,0 W,11.8 W
2025-01-17 19:22:30,6.08 W,744 mW,0 W,51.3 mW,12.0 W
2025-01-17 19:22:45,4.88 W,379 mW,0 W,25.3 mW,11.7 W
2025-01-17 19:23:00,4.83 W,349 mW,0 W,24.9 mW,11.5 W
2025-01-17 19:23:15,4.75 W,639 mW,0 W,25.6 mW,11.8 W
2025-01-17 19:23:30,5.66 W,296 mW,0 W,53.9 mW,13.6 W
2025-01-17 19:23:45,6.03 W,133 mW,0 W,53.2 mW,13.2 W
2025-01-17 19:24:00,5.70 W,53.5 mW,0 W,267 mW,13.4 W
2025-01-17 19:24:15,5.63 W,107 mW,0 W,26.8 mW,13.5 W
2025-01-17 19:24:30,5.45 W,130 mW,0 W,26.1 mW,12.6 W
2025-01-17 19:24:45,5.85 W,109 mW,0 W,0 W,13.7 W
2025-01-17 19:25:00,5.89 W,108 mW,0 W,27.0 mW,13.6 W
2025-01-17 19:25:15,6.33 W,53.9 mW,0 W,53.9 mW,13.6 W
2025-01-17 19:25:30,6.28 W,137 mW,0 W,0 W,13.9 W
2025-01-17 19:25:45,5.69 W,432 mW,0 W,0 W,11.7 W
2025-01-17 19:26:00,4.99 W,636 mW,0 W,76.4 mW,11.8 W
2025-01-17 19:26:15,5.04 W,532 mW,0 W,25.3 mW,11.8 W
2025-01-17 19:26:30,5.87 W,636 mW,0 W,25.4 mW,11.9 W
2025-01-17 19:26:45,5.16 W,813 mW,0 W,50.8 mW,11.8 W
2025-01-17 19:27:00,5.28 W,204 mW,0 W,25.5 mW,11.9 W
2025-01-17 19:27:15,5.63 W,336 mW,0 W,362 mW,12.1 W
2025-01-17 19:27:30,5.96 W,716 mW,0 W,25.6 mW,12.0 W
2025-01-17 19:27:45,5.68 W,182 mW,0 W,25.9 mW,12.3 W
2025-01-17 19:28:00,4.88 W,135 mW,0 W,217 mW,13.5 W
2025-01-17 19:28:15,5.82 W,109 mW,0 W,54.7 mW,13.8 W
2025-01-17 19:28:30,5.85 W,135 mW,0 W,54.2 mW,13.6 W
2025-01-17 19:28:45,5.75 W,81.4 mW,0 W,54.2 mW,13.6 W
2025-01-17 19:29:00,5.41 W,136 mW,0 W,54.4 mW,13.7 W
2025-01-17 19:29:15,5.72 W,109 mW,0 W,27.3 mW,13.8 W
2025-01-17 19:29:30,5.46 W,134 mW,0 W,0 W,13.4 W
2025-01-17 19:29:45,5.17 W,107 mW,0 W,26.8 mW,13.5 W
2025-01-17 19:30:00,5.46 W,308 mW,0 W,76.9 mW,12.1 W
2025-01-17 19:30:15,6.07 W,587 mW,0 W,0 W,11.8 W
2025-01-17 19:30:30,5.94 W,257 mW,0 W,51.5 mW,11.9 W
2025-01-17 19:30:45,5.76 W,356 mW,0 W,25.4 mW,11.8 W
2025-01-17 19:31:00,5.94 W,505 mW,0 W,25.3 mW,11.8 W
2025-01-17 19:31:15,6.47 W,508 mW,0 W,25.4 mW,11.8 W
2025-01-17 19:31:30,6.37 W,535 mW,0 W,50.9 mW,11.9 W
2025-01-17 19:31:45,5.69 W,526 mW,0 W,50.1 mW,11.7 W
2025-01-17 19:32:00,6.16 W,456 mW,0 W,228 mW,11.8 W
2025-01-17 19:32:15,6.23 W,137 mW,0 W,27.3 mW,13.8 W
2025-01-17 19:32:30,6.33 W,109 mW,0 W,54.4 mW,13.7 W
2025-01-17 19:32:45,5.58 W,135 mW,0 W,108 mW,13.6 W
2025-01-17 19:33:00,6.26 W,81.7 mW,0 W,54.5 mW,13.7 W
2025-01-17 19:33:15,5.91 W,135 mW,0 W,27.0 mW,13.6 W
2025-01-17 19:33:30,6.21 W,81.0 mW,0 W,27.0 mW,13.6 W
2025-01-17 19:33:45,6.18 W,107 mW,0 W,53.7 mW,13.5 W
2025-01-17 19:34:00,5.84 W,135 mW,0 W,81.1 mW,13.7 W
2025-01-17 19:34:15,5.91 W,406 mW,0 W,25.4 mW,11.8 W
2025-01-17 19:34:30,5.86 W,360 mW,0 W,0 W,11.9 W
2025-01-17 19:34:45,5.73 W,404 mW,0 W,25.2 mW,11.7 W
2025-01-17 19:35:00,5.93 W,530 mW,0 W,0 W,11.8 W
2025-01-17 19:35:15,6.08 W,606 mW,0 W,50.5 mW,11.8 W
2025-01-17 19:35:30,5.39 W,358 mW,0 W,25.5 mW,12.0 W
2025-01-17 19:35:45,5.52 W,642 mW,0 W,25.7 mW,11.8 W
2025-01-17 19:36:00,5.52 W,585 mW,0 W,254 mW,11.8 W
2025-01-17 19:36:15,5.99 W,331 mW,0 W,25.5 mW,11.7 W
2025-01-17 19:36:30,5.37 W,212 mW,0 W,52.9 mW,12.9 W
2025-01-17 19:36:45,5.93 W,110 mW,0 W,54.9 mW,13.9 W
2025-01-17 19:37:00,5.56 W,81.3 mW,0 W,27.1 mW,13.6 W
2025-01-17 19:37:15,5.48 W,163 mW,0 W,27.1 mW,13.6 W
2025-01-17 19:37:30,5.75 W,107 mW,0 W,26.8 mW,13.2 W
2025-01-17 19:37:45,6.00 W,80.4 mW,0 W,26.8 mW,13.4 W
2025-01-17 19:38:00,5.29 W,108 mW,0 W,54.0 mW,13.6 W
2025-01-17 19:38:15,5.22 W,106 mW,0 W,0 W,13.0 W
2025-01-17 19:38:30,5.15 W,158 mW,0 W,26.4 mW,13.0 W
2025-01-17 19:38:45,5.64 W,705 mW,0 W,0 W,11.6 W
2025-01-17 19:39:00,5.80 W,458 mW,0 W,25.4 mW,11.9 W
2025-01-17 19:39:15,6.07 W,437 mW,0 W,0 W,12.0 W
