"Time","/bin/busybox - /bin/sh/opt/rabbitmq/sbin/rabbitmq-server","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp - /opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp-Ww-MBasageffcbf-MHasageffcbf-MBlmbcs512-MHlmbcs512-MMmcs30-pcunicode-P1048576-t5000000-stbtdb-zdbbl128000-sbwtnone-sbwtdcpunone-sbwtdionone-Bi---root/opt/erlang/lib/erlang-bindir/opt/erlang/lib/erlang/erts-14.2.5/bin-prognameerl---home/var/lib/rabbitmq---pa-noshell-noinput-srabbitboot-bootstart_sasl-sysloglogger[]-syslogsyslog_error_loggerfalse-kernelprevent_overlapping_partitionsfalse","/usr/local/bin/scaphandre - /usr/local/bin/scaphandreprometheus","/usr/share/grafana/bin/grafana - grafanaserver--homepath=/usr/share/grafana--config=/etc/grafana/grafana.ini--packaging=dockercfg:default.log.mode=consolecfg:default.paths.data=/var/lib/grafanacfg:default.paths.logs=/var/log/grafanacfg:default.paths.plugins=/var/lib/grafana/pluginscfg:default.paths.provisioning=/etc/grafana/provisioning","/usr/bin/mongod - mongod--auth--bind_ip_all"
2025-01-17 17:08:45,0 W,278 mW,101 mW,50.6 mW,12.7 W
2025-01-17 17:09:00,0 W,1.02 W,102 mW,25.5 mW,12.8 W
2025-01-17 17:09:15,0 W,2.01 W,129 mW,51.4 mW,12.9 W
2025-01-17 17:09:30,0 W,2.21 W,130 mW,1.01 W,13.0 W
2025-01-17 17:09:45,0 W,2.22 W,77.5 mW,51.7 mW,13.1 W
2025-01-17 17:10:00,0 W,2.28 W,103 mW,0 W,12.8 W
2025-01-17 17:10:15,0 W,2.20 W,328 mW,25.2 mW,12.4 W
2025-01-17 17:10:30,0 W,2.31 W,534 mW,24.3 mW,11.2 W
2025-01-17 17:10:45,0 W,1.88 W,404 mW,47.5 mW,10.8 W
2025-01-17 17:11:00,0 W,1.86 W,557 mW,0 W,11.1 W
2025-01-17 17:11:15,0 W,2.04 W,491 mW,49.1 mW,11.3 W
2025-01-17 17:11:30,0 W,1.94 W,467 mW,24.6 mW,11.3 W
2025-01-17 17:11:45,0 W,1.92 W,493 mW,49.3 mW,11.3 W
2025-01-17 17:12:00,0 W,2.02 W,443 mW,24.6 mW,11.3 W
2025-01-17 17:12:15,0 W,2.18 W,588 mW,24.5 mW,11.3 W
2025-01-17 17:12:30,0 W,2.46 W,102 mW,51.2 mW,12.9 W
2025-01-17 17:12:45,0 W,2.57 W,156 mW,51.9 mW,13.1 W
2025-01-17 17:13:00,0 W,2.58 W,103 mW,25.8 mW,13.0 W
2025-01-17 17:13:15,0 W,2.75 W,130 mW,51.9 mW,13.1 W
2025-01-17 17:13:30,0 W,2.61 W,104 mW,0 W,13.1 W
2025-01-17 17:13:45,0 W,2.47 W,105 mW,26.3 mW,13.3 W
2025-01-17 17:14:00,0 W,2.44 W,104 mW,25.9 mW,13.1 W
2025-01-17 17:14:15,0 W,2.31 W,340 mW,24.3 mW,11.1 W
2025-01-17 17:14:30,0 W,2.64 W,391 mW,24.5 mW,11.3 W
2025-01-17 17:14:45,0 W,1.95 W,410 mW,48.2 mW,11.1 W
2025-01-17 17:15:00,0 W,1.93 W,482 mW,0 W,11.1 W
2025-01-17 17:15:15,0 W,1.97 W,457 mW,24.1 mW,11.0 W
2025-01-17 17:15:30,0 W,2.01 W,527 mW,47.9 mW,11.0 W
2025-01-17 17:15:45,0 W,1.91 W,628 mW,48.3 mW,11.1 W
2025-01-17 17:16:00,0 W,1.84 W,294 mW,24.5 mW,11.3 W
2025-01-17 17:16:15,0 W,2.06 W,78.1 mW,26.0 mW,13.1 W
2025-01-17 17:16:30,0 W,2.15 W,155 mW,51.7 mW,13.0 W
2025-01-17 17:16:45,0 W,2.06 W,52.2 mW,52.2 mW,13.2 W
2025-01-17 17:17:00,0 W,2.36 W,156 mW,26.0 mW,13.1 W
2025-01-17 17:17:15,0 W,2.62 W,106 mW,0 W,13.4 W
2025-01-17 17:17:30,0 W,2.60 W,130 mW,51.9 mW,13.0 W
2025-01-17 17:17:45,0 W,2.44 W,374 mW,0 W,11.9 W
2025-01-17 17:18:00,0 W,2.30 W,557 mW,48.5 mW,11.1 W
2025-01-17 17:18:15,0 W,2.05 W,482 mW,0 W,11.1 W
2025-01-17 17:18:30,0 W,2.14 W,463 mW,24.4 mW,11.1 W
2025-01-17 17:18:45,0 W,2.44 W,604 mW,24.2 mW,11.0 W
2025-01-17 17:19:00,0 W,2.35 W,466 mW,49.0 mW,11.2 W
2025-01-17 17:19:15,0 W,2.68 W,540 mW,49.1 mW,11.3 W
2025-01-17 17:19:30,0 W,2.55 W,639 mW,24.6 mW,11.3 W
2025-01-17 17:19:45,0 W,2.34 W,77.1 mW,51.4 mW,12.8 W
2025-01-17 17:20:00,0 W,2.32 W,77.3 mW,51.5 mW,12.8 W
2025-01-17 17:20:15,0 W,2.49 W,106 mW,26.4 mW,13.3 W
2025-01-17 17:20:30,0 W,2.57 W,106 mW,52.9 mW,13.4 W
2025-01-17 17:20:45,0 W,1.97 W,105 mW,26.2 mW,13.3 W
2025-01-17 17:21:00,0 W,2.15 W,129 mW,25.9 mW,13.1 W
