"Time","/bin/busybox","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp","/usr/local/bin/scaphandre","/usr/share/grafana/bin/grafana","/usr/bin/mongod"
2025-01-17 14:40:30,0 B,0 B,0 B,0 B,20.5 kB
2025-01-17 14:40:45,0 B,0 B,0 B,0 B,131 kB
2025-01-17 14:41:00,0 B,0 B,0 B,36.9 kB,24.6 kB
2025-01-17 14:41:15,0 B,171 MB,0 B,53.2 kB,24.6 kB
2025-01-17 14:41:30,0 B,105 MB,0 B,0 B,24.6 kB
2025-01-17 14:41:45,0 B,142 MB,0 B,0 B,115 kB
2025-01-17 14:42:00,0 B,60.2 MB,0 B,0 B,28.7 kB
2025-01-17 14:42:15,0 B,186 MB,0 B,0 B,32.8 kB
2025-01-17 14:42:30,0 B,37.4 MB,0 B,0 B,32.8 kB
2025-01-17 14:42:45,0 B,97.9 MB,0 B,0 B,98.3 kB
2025-01-17 14:43:00,0 B,217 MB,0 B,0 B,32.8 kB
2025-01-17 14:43:15,0 B,336 MB,0 B,0 B,36.9 kB
2025-01-17 14:43:30,0 B,168 MB,0 B,0 B,36.9 kB
2025-01-17 14:43:45,0 B,59.3 MB,0 B,0 B,98.3 kB
2025-01-17 14:44:00,0 B,35.0 MB,0 B,0 B,41.0 kB
2025-01-17 14:44:15,0 B,19.1 MB,0 B,0 B,41.0 kB
2025-01-17 14:44:30,0 B,102 MB,0 B,0 B,41.0 kB
2025-01-17 14:44:45,0 B,96.0 MB,0 B,0 B,168 kB
2025-01-17 14:45:00,0 B,48.2 MB,0 B,0 B,20.5 kB
2025-01-17 14:45:15,0 B,62.0 MB,0 B,0 B,20.5 kB
2025-01-17 14:45:30,0 B,71.5 MB,0 B,0 B,24.6 kB
2025-01-17 14:45:45,0 B,18.9 MB,0 B,0 B,111 kB
2025-01-17 14:46:00,0 B,82.3 MB,0 B,102 kB,24.6 kB
2025-01-17 14:46:15,0 B,36.1 MB,0 B,0 B,28.7 kB
2025-01-17 14:46:30,0 B,79.6 MB,0 B,0 B,28.7 kB
2025-01-17 14:46:45,0 B,37.2 MB,0 B,0 B,28.7 kB
2025-01-17 14:47:00,0 B,71.3 MB,0 B,0 B,98.3 kB
2025-01-17 14:47:15,0 B,33.1 MB,0 B,0 B,32.8 kB
2025-01-17 14:47:30,0 B,0 B,0 B,0 B,32.8 kB
2025-01-17 14:47:45,0 B,0 B,0 B,0 B,32.8 kB
2025-01-17 14:48:00,0 B,0 B,0 B,0 B,94.2 kB
2025-01-17 14:48:15,0 B,0 B,0 B,0 B,36.9 kB
2025-01-17 14:48:30,0 B,0 B,0 B,0 B,36.9 kB
