"Time","/bin/busybox - /bin/sh/opt/rabbitmq/sbin/rabbitmq-server","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp - /opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp-Ww-MBasageffcbf-MHasageffcbf-MBlmbcs512-MHlmbcs512-MMmcs30-pcunicode-P1048576-t5000000-stbtdb-zdbbl128000-sbwtnone-sbwtdcpunone-sbwtdionone-Bi---root/opt/erlang/lib/erlang-bindir/opt/erlang/lib/erlang/erts-14.2.5/bin-prognameerl---home/var/lib/rabbitmq---pa-noshell-noinput-srabbitboot-bootstart_sasl-sysloglogger[]-syslogsyslog_error_loggerfalse-kernelprevent_overlapping_partitionsfalse","/usr/local/bin/scaphandre - /usr/local/bin/scaphandreprometheus","/usr/share/grafana/bin/grafana - grafanaserver--homepath=/usr/share/grafana--config=/etc/grafana/grafana.ini--packaging=dockercfg:default.log.mode=consolecfg:default.paths.data=/var/lib/grafanacfg:default.paths.logs=/var/log/grafanacfg:default.paths.plugins=/var/lib/grafana/pluginscfg:default.paths.provisioning=/etc/grafana/provisioning","/usr/bin/mongod - mongod--auth--bind_ip_all"
2025-01-17 14:40:30,0 W,1.32 W,128 mW,16.1 mW,458 mW
2025-01-17 14:40:45,0 W,4.03 W,376 mW,25.1 mW,12.2 W
2025-01-17 14:41:00,0 W,52.7 W,173 mW,104 mW,17.0 W
2025-01-17 14:41:15,0 W,213 W,276 mW,484 mW,46.1 W
2025-01-17 14:41:30,0 W,103 W,232 mW,57.9 mW,32.1 W
2025-01-17 14:41:45,0 W,165 W,333 mW,133 mW,37.5 W
2025-01-17 14:42:00,0 W,149 W,308 mW,0 W,32.7 W
2025-01-17 14:42:15,0 W,187 W,204 mW,68.1 mW,33.3 W
2025-01-17 14:42:30,0 W,129 W,360 mW,0 W,28.7 W
2025-01-17 14:42:45,0 W,83.4 W,281 mW,0 W,28.0 W
2025-01-17 14:43:00,0 W,63.2 W,156 mW,51.9 mW,25.8 W
2025-01-17 14:43:15,0 W,73.8 W,214 mW,0 W,26.5 W
2025-01-17 14:43:30,0 W,92.0 W,225 mW,0 W,27.6 W
2025-01-17 14:43:45,0 W,66.2 W,212 mW,0 W,26.4 W
2025-01-17 14:44:00,0 W,58.1 W,256 mW,51.2 mW,25.6 W
2025-01-17 14:44:15,0 W,57.0 W,258 mW,51.6 mW,25.8 W
2025-01-17 14:44:30,0 W,90.6 W,291 mW,0 W,31.4 W
2025-01-17 14:44:45,0 W,87.9 W,288 mW,57.6 mW,31.7 W
2025-01-17 14:45:00,0 W,64.7 W,211 mW,52.8 mW,25.9 W
2025-01-17 14:45:15,0 W,57.0 W,208 mW,52.0 mW,26.3 W
2025-01-17 14:45:30,0 W,67.6 W,215 mW,0 W,27.0 W
2025-01-17 14:45:45,0 W,61.6 W,269 mW,0 W,26.9 W
2025-01-17 14:46:00,0 W,63.1 W,209 mW,680 mW,26.5 W
2025-01-17 14:46:15,0 W,62.4 W,214 mW,53.6 mW,26.7 W
2025-01-17 14:46:30,0 W,61.7 W,158 mW,52.6 mW,25.8 W
2025-01-17 14:46:45,0 W,65.9 W,269 mW,0 W,27.3 W
