Type,Scenario Name,Compare with,Messages_per_second,Routing_Keys,Exchanges,Queues ,Consumers,Time_In_Seconds,Actual_Total_Input,Expected_Total_Input,Expected_Total_Output,Actual_Total_Output,Output_Input_Factor,On_Ready_State_RabbitMQ,Messages_Consumed,Messages_Not_Handled_From_RabbitMQ,Avg_Power_Consumption_mW,avg_Message_Rate,avg_disk_access_MB,avg_cpu_usage_%,avg_memory_usage_MB
Topic,100_1_Topic_3_3,300_1_Topic_3_3,100,3,3,3,3,1800,175453,180.000 ,180.000 ,175.453 ,1 ,0,175.453,4.547,"723,07","97,47388889",0,"0,38","158,48"
Topic,100_1_Topic_3_50,300_1_Topic_3_50,100,3,3,50,50,1800,175338,180.000 ,3.000.000 ,2.922.300 ,17 ,0,2.922.300,77.700,"7300,91","97,41",0,"3,7","194,82"
Topic,300_1_Topic_3_3,100_1_Topic_3_3,300,3,3,3,3,1800,509518,540.000 ,540.000 ,509.518 ,1 ,0,509.518,30.482,"1889,4","283,0655556",0,"0,97","159,67"
Topic,300_1_Topic_3_50,100_1_Topic_3_50,300,3,3,50,50,1800,510503,540.000 ,9.000.000 ,8.508.383 ,17 ,0,8.508.383,491.617,"19488,65","283,6127778","0,05","9,13","285,2"
Topic,100_1_Topic_3_100,100_1_Fanout_3_100,100,3,3,100,300,1800,123748,180.000 ,6.000.000 ,4.124.933 ,33 ,0,4.124.933,1.875.067,"14156,54","68,74888889",0,"6,82","247,78"
Topic,100_1_Topic_3_500,100_1_Fanout_3_500,100,3,3,500,500,1800,169390,180.000 ,30.000.000 ,28.231.667 ,167 ,23.082.419,5.149.248,1.768.333,"42468,95","94,10555556","120,91","10,81","5437,89"
Topic,100_1_Topic_3_1000,100_1_Fanout_3_1000,100,3,3,1000,1000,1800,115037,180.000 ,60.000.000 ,38.345.667 ,333 ,31.536.333,6.809.334,21.654.333,"122257,36","63,90944444","148,13","22,68","8655,87"
Topic,300_1_Topic_3_100,300_1_Fanout_3_100,300,3,3,300,300,1800,509868,540.000 ,54.000.000 ,50.986.800 ,100 ,0,50.986.800,3.013.200,"36579,5","283,26",0,"14,95","304,08"
Topic,300_1_Topic_3_500,300_1_Fanout_3_500,300,3,3,500,500,1800,218132,540.000 ,90.000.000 ,36.355.333 ,167 ,23.238.788,13.116.545,53.644.667,"145405,95","121,1844444","148,69","26,52","6353,14"
Topic,300_1_Topic_3_1000,300_1_Fanout_3_1000,300,3,3,1000,1000,1800,130431,540.000 ,180.000.000 ,43.477.000 ,333 ,32.170.655,11.306.345,136.523.000,"144885,44","72,46166667","147,37","24,95","11147,59"
Fanout,100_1_Fanout_3_100,100_1_Direct_3_100,100,3,3,100,100,1800,175650,180.000 ,6.000.000 ,5.855.000 ,33 ,0,5.855.000,145.000,"15098,75","97,58333333",0,"7,27","249,97"
Fanout,100_1_Fanout_3_500,100_1_Direct_3_500,100,3,3,500,500,1800,175683,180.000 ,30.000.000 ,29.280.500 ,167 ,21.667.982,7.612.518,719.500,"127188,42","97,60166667","123,92","23,17","4706,97"
Fanout,100_1_Fanout_3_1000,100_1_Direct_3_1000,100,3,3,1000,1000,1800,119549,180.000 ,60.000.000 ,39.849.667 ,333 ,38.345.947,1.503.720,20.150.333,"148390,58","66,41611111","151,21","25,42","9384,35"
Fanout,300_1_Fanout_3_100,300_1_Direct_3_100,300,3,3,100,100,1800,510377,540.000 ,18.000.000 ,17.012.567 ,33 ,0,17.012.567,987.433,"39603,3","283,5427778","0,01","16,55","297,52"
Fanout,300_1_Fanout_3_500,300_1_Direct_3_500,300,3,3,500,500,1800,218325,540.000 ,90.000.000 ,36.387.500 ,167 ,22.187.416,14.200.084,53.612.500,"165369,74","121,2916667","130,29","29,51","6730,03"
