Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
x_direct_3_1000,x_direct_3_1000_topic_0,43517,0,6,2902.5331639359338,0.079,315666.146,0.0,24.392561344889145,0.0,6,8,10,11,23,690,21000,101000,315000,316000,316000
x_direct_3_1000,x_direct_3_1000_topic_1,43348,0,6,2941.7628590707764,0.043000000000000003,315667.189,0.0,24.297831862910005,0.0,6,8,10,11,22,690,21000,101000,315000,316000,316000
x_direct_3_1000,x_direct_3_1000_topic_2,43566,0,6,2931.3801677913975,0.059,315667.65099999995,0.0,24.420027289368306,0.0,6,8,10,11,23,690,21000,101000,316000,316000,316000
,Aggregated,130431,0,6,2925.2062814821643,0.043000000000000003,315667.65099999995,0.0,73.11042049716745,0.0,6,8,10,11,23,690,21000,101000,315000,316000,316000
