"Time","/bin/busybox","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp","/usr/local/bin/scaphandre","/usr/bin/mongod"
2024-12-19 16:51:15,0 B,0 B,0 B,0 B
2024-12-19 16:51:30,0 B,0 B,0 B,0 B
2024-12-19 16:51:45,0 B,0 B,0 B,0 B
2024-12-19 16:52:00,0 B,0 B,0 B,0 B
2024-12-19 16:52:15,0 B,0 B,0 B,0 B
2024-12-19 16:52:30,0 B,0 B,0 B,0 B
2024-12-19 16:52:45,0 B,0 B,0 B,0 B
2024-12-19 16:53:00,0 B,0 B,0 B,0 B
2024-12-19 16:53:15,0 B,0 B,0 B,0 B
2024-12-19 16:53:30,0 B,0 B,0 B,0 B
2024-12-19 16:53:45,0 B,0 B,0 B,0 B
2024-12-19 16:54:00,0 B,0 B,0 B,0 B
2024-12-19 16:54:15,0 B,0 B,0 B,0 B
2024-12-19 16:54:30,0 B,0 B,0 B,0 B
