Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
x_topic_3_3,x_topic_3_3_topic_0,58751,0,8,7.779980970536667,0.13699999999999998,121.887,0.0,32.64600456090415,0.0,8,10,10,11,12,13,15,16,38,120,120
x_topic_3_3,x_topic_3_3_topic_1,58637,0,8,7.816775738867958,0.127,250.77100000000002,0.0,32.582658498370016,0.0,8,10,10,11,12,13,15,16,36,110,250
x_topic_3_3,x_topic_3_3_topic_2,58065,0,8,7.820733574442433,0.116,115.295,0.0,32.264816851268904,0.0,8,10,10,11,12,13,15,16,36,110,120
,Aggregated,175453,0,8,7.805764711917154,0.116,250.77100000000002,0.0,97.49347991054307,0.0,8,10,10,11,12,13,15,16,37,110,250
