"Time","/bin/busybox - /bin/sh/opt/rabbitmq/sbin/rabbitmq-server","/opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp - /opt/erlang/lib/erlang/erts-14.2.5/bin/beam.smp-Ww-MBasageffcbf-MHasageffcbf-MBlmbcs512-MHlmbcs512-MMmcs30-pcunicode-P1048576-t5000000-stbtdb-zdbbl128000-sbwtnone-sbwtdcpunone-sbwtdionone-Bi---root/opt/erlang/lib/erlang-bindir/opt/erlang/lib/erlang/erts-14.2.5/bin-prognameerl---home/var/lib/rabbitmq---pa-noshell-noinput-srabbitboot-bootstart_sasl-sysloglogger[]-syslogsyslog_error_loggerfalse-kernelprevent_overlapping_partitionsfalse","/usr/local/bin/scaphandre - /usr/local/bin/scaphandreprometheus","/usr/bin/mongod - mongod--auth--bind_ip_all"
2024-12-19 16:24:30,0 W,274 mW,456 mW,10.4 W
2024-12-19 16:24:45,0 W,315 mW,248 mW,10.2 W
2024-12-19 16:25:00,0 W,537 mW,653 mW,10.7 W
2024-12-19 16:25:15,0 W,699 mW,326 mW,10.6 W
2024-12-19 16:25:30,0 W,764 mW,301 mW,10.6 W
2024-12-19 16:25:45,0 W,759 mW,490 mW,12.3 W
2024-12-19 16:26:00,0 W,694 mW,74.4 mW,12.5 W
2024-12-19 16:26:15,0 W,743 mW,124 mW,12.5 W
2024-12-19 16:26:30,0 W,627 mW,125 mW,12.6 W
2024-12-19 16:26:45,0 W,925 mW,150 mW,12.6 W
2024-12-19 16:27:00,0 W,652 mW,125 mW,12.6 W
2024-12-19 16:27:15,0 W,747 mW,120 mW,11.4 W
2024-12-19 16:27:30,0 W,778 mW,252 mW,10.4 W
2024-12-19 16:27:45,0 W,577 mW,738 mW,10.4 W
2024-12-19 16:28:00,0 W,799 mW,411 mW,10.4 W
2024-12-19 16:28:15,0 W,545 mW,523 mW,10.3 W
2024-12-19 16:28:30,0 W,725 mW,317 mW,10.3 W
2024-12-19 16:28:45,0 W,715 mW,600 mW,10.5 W
2024-12-19 16:29:00,0 W,768 mW,49.5 mW,12.5 W
2024-12-19 16:29:15,0 W,775 mW,125 mW,12.6 W
2024-12-19 16:29:30,0 W,795 mW,149 mW,12.5 W
2024-12-19 16:29:45,0 W,739 mW,98.6 mW,12.4 W
2024-12-19 16:30:00,0 W,803 mW,50.2 mW,12.6 W
2024-12-19 16:30:15,0 W,674 mW,125 mW,12.6 W
2024-12-19 16:30:30,0 W,715 mW,346 mW,10.5 W
2024-12-19 16:30:45,0 W,713 mW,414 mW,10.5 W
2024-12-19 16:31:00,0 W,738 mW,254 mW,10.5 W
2024-12-19 16:31:15,0 W,708 mW,662 mW,10.4 W
2024-12-19 16:31:30,0 W,593 mW,524 mW,10.4 W
2024-12-19 16:31:45,0 W,757 mW,665 mW,10.4 W
2024-12-19 16:32:00,0 W,715 mW,369 mW,10.5 W
2024-12-19 16:32:15,0 W,755 mW,365 mW,11.8 W
2024-12-19 16:32:30,0 W,725 mW,150 mW,12.6 W
2024-12-19 16:32:45,0 W,767 mW,98.9 mW,12.4 W
2024-12-19 16:33:00,0 W,792 mW,149 mW,12.3 W
2024-12-19 16:33:15,0 W,710 mW,24.5 mW,12.3 W
2024-12-19 16:33:30,0 W,646 mW,149 mW,12.5 W
2024-12-19 16:33:45,0 W,777 mW,243 mW,12.0 W
2024-12-19 16:34:00,0 W,854 mW,277 mW,10.5 W
2024-12-19 16:34:15,0 W,766 mW,650 mW,10.6 W
2024-12-19 16:34:30,0 W,714 mW,392 mW,10.5 W
2024-12-19 16:34:45,0 W,651 mW,395 mW,10.6 W
2024-12-19 16:35:00,0 W,780 mW,459 mW,10.4 W
2024-12-19 16:35:15,0 W,727 mW,493 mW,10.7 W
2024-12-19 16:35:30,0 W,698 mW,409 mW,11.6 W
2024-12-19 16:35:45,0 W,427 mW,100 mW,12.6 W
2024-12-19 16:36:00,0 W,793 mW,124 mW,12.5 W
2024-12-19 16:36:15,0 W,751 mW,48.5 mW,12.0 W
2024-12-19 16:36:30,0 W,772 mW,125 mW,12.5 W
2024-12-19 16:36:45,0 W,575 mW,75.0 mW,12.6 W
2024-12-19 16:37:00,0 W,891 mW,272 mW,12.2 W
2024-12-19 16:37:15,0 W,559 mW,419 mW,10.6 W
2024-12-19 16:37:30,0 W,716 mW,508 mW,10.4 W
2024-12-19 16:37:45,0 W,716 mW,392 mW,10.5 W
2024-12-19 16:38:00,0 W,688 mW,459 mW,10.5 W
2024-12-19 16:38:15,0 W,609 mW,515 mW,10.7 W
2024-12-19 16:38:30,0 W,754 mW,457 mW,10.4 W
2024-12-19 16:38:45,0 W,754 mW,388 mW,10.4 W
2024-12-19 16:39:00,0 W,711 mW,98.0 mW,12.2 W
2024-12-19 16:39:15,0 W,599 mW,125 mW,12.6 W
2024-12-19 16:39:30,0 W,835 mW,73.7 mW,12.3 W
2024-12-19 16:39:45,0 W,701 mW,75.1 mW,12.6 W
2024-12-19 16:40:00,0 W,828 mW,122 mW,12.1 W
2024-12-19 16:40:15,0 W,743 mW,24.8 mW,12.4 W
2024-12-19 16:40:30,0 W,755 mW,412 mW,10.4 W
2024-12-19 16:40:45,0 W,646 mW,600 mW,10.5 W
2024-12-19 16:41:00,0 W,737 mW,414 mW,10.5 W
2024-12-19 16:41:15,0 W,668 mW,553 mW,10.4 W
2024-12-19 16:41:30,0 W,647 mW,416 mW,10.5 W
2024-12-19 16:41:45,0 W,641 mW,298 mW,10.4 W
2024-12-19 16:42:00,0 W,740 mW,231 mW,10.5 W
2024-12-19 16:42:15,0 W,744 mW,99.2 mW,12.5 W
2024-12-19 16:42:30,0 W,612 mW,73.4 mW,12.3 W
2024-12-19 16:42:45,0 W,655 mW,121 mW,12.1 W
2024-12-19 16:43:00,0 W,898 mW,99.8 mW,12.5 W
2024-12-19 16:43:15,0 W,789 mW,123 mW,12.4 W
2024-12-19 16:43:30,0 W,791 mW,49.4 mW,12.4 W
2024-12-19 16:43:45,0 W,800 mW,235 mW,11.2 W
2024-12-19 16:44:00,0 W,906 mW,627 mW,10.5 W
2024-12-19 16:44:15,0 W,761 mW,415 mW,10.4 W
2024-12-19 16:44:30,0 W,713 mW,529 mW,10.5 W
2024-12-19 16:44:45,0 W,691 mW,345 mW,10.5 W
2024-12-19 16:45:00,0 W,714 mW,437 mW,10.5 W
2024-12-19 16:45:15,0 W,646 mW,369 mW,10.5 W
2024-12-19 16:45:30,0 W,744 mW,99.2 mW,12.5 W
2024-12-19 16:45:45,0 W,740 mW,98.7 mW,12.4 W
2024-12-19 16:46:00,0 W,746 mW,49.7 mW,12.5 W
2024-12-19 16:46:15,0 W,743 mW,124 mW,12.4 W
2024-12-19 16:46:30,0 W,631 mW,126 mW,12.6 W
2024-12-19 16:46:45,0 W,780 mW,101 mW,12.7 W
2024-12-19 16:47:00,0 W,695 mW,324 mW,10.8 W
2024-12-19 16:47:15,0 W,647 mW,508 mW,10.5 W
2024-12-19 16:47:30,0 W,691 mW,369 mW,10.4 W
2024-12-19 16:47:45,0 W,715 mW,577 mW,10.4 W
2024-12-19 16:48:00,0 W,699 mW,373 mW,10.5 W
2024-12-19 16:48:15,0 W,699 mW,489 mW,10.6 W
2024-12-19 16:48:30,0 W,615 mW,478 mW,10.3 W
2024-12-19 16:48:45,0 W,745 mW,288 mW,11.8 W
2024-12-19 16:49:00,0 W,818 mW,74.3 mW,12.5 W
2024-12-19 16:49:15,0 W,852 mW,125 mW,12.6 W
